"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"CH200",80.19,96.02,99.21,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MA136",80.1,96.04,99.19,99.84,99.96,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"EE1000",80.14,95.84,99.19,99.86,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"GS1001",80.12,96.09,99.28,99.86,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MA137",0.0,64.11,89.79,97.31,99.31,99.83,99.96,100.0,100.0,100.0,100.0,100.0
"CE1901",0.0,79.38,95.95,99.19,99.84,99.96,99.99,100.0,100.0,100.0,100.0,100.0
"EE1910",0.0,71.76,94.43,98.9,99.77,99.95,99.99,100.0,100.0,100.0,100.0,100.0
"GS1002",0.0,41.19,87.75,97.55,99.53,99.92,99.98,99.99,100.0,100.0,100.0,100.0
"MA231",0.0,0.0,50.36,81.92,94.32,98.35,99.56,99.89,99.98,100.0,100.0,100.0
"EE2050",0.0,0.0,69.26,93.07,98.41,99.66,99.94,99.99,100.0,100.0,100.0,100.0
"CE1911",0.0,0.0,47.55,85.69,96.54,99.17,99.79,99.94,99.99,99.99,100.0,100.0
"GS1003",0.0,0.0,27.81,82.28,96.34,99.27,99.86,99.97,99.99,100.0,100.0,100.0
"PH2011",0.0,0.0,1.01,67.94,93.28,98.67,99.73,99.95,99.99,100.0,100.0,100.0
"MA235",0.0,0.0,0.0,30.95,70.83,89.73,96.58,98.94,99.68,99.91,99.98,100.0
"EE2060",0.0,0.0,0.0,29.46,76.8,93.78,98.37,99.59,99.9,99.98,100.0,100.0
"EE2920",0.0,0.0,0.0,11.63,68.09,91.95,98.08,99.56,99.89,99.98,100.0,100.0
"PH2021",0.0,0.0,0.0,0.59,47.58,83.45,95.61,98.89,99.73,99.94,99.99,99.99
"MA232",0.0,0.0,0.0,1.35,33.01,78.22,94.19,98.45,99.6,99.92,99.98,100.0
"MA262",0.0,0.0,0.0,2.5,37.59,82.76,96.3,99.21,99.83,99.97,100.0,100.0
"EE2070",0.0,0.0,0.0,0.0,9.1,46.91,77.45,91.65,97.24,99.14,99.74,99.93
"EE2931",0.0,0.0,0.0,0.0,7.2,53.12,83.95,95.18,98.7,99.66,99.91,99.98
"PH2031",0.0,0.0,0.0,0.0,0.0,33.94,71.99,90.53,97.19,99.19,99.8,99.95
"MA383",0.0,0.0,0.0,0.0,1.64,35.03,80.72,95.6,99.02,99.79,99.96,99.99
"EE2510",0.0,0.0,0.0,1.08,5.68,32.14,77.35,94.76,98.87,99.77,99.95,99.99
"MS2220",0.0,0.0,0.0,2.2,3.42,13.54,62.01,90.68,98.1,99.65,99.93,99.99
"HUSS",0.0,0.0,0.0,2.25,3.26,5.67,46.84,85.39,96.92,99.37,99.89,99.97
"ME354",0.0,0.0,0.0,0.0,0.0,0.0,20.5,59.99,84.34,94.59,98.28,99.48
"EE3050",0.0,0.0,0.0,0.0,0.0,0.0,19.99,61.61,85.21,94.73,98.26,99.42
"EE3102",0.0,0.0,0.0,0.0,0.0,0.0,10.23,52.05,82.48,94.29,98.15,99.44
"EE3921",0.0,0.0,0.0,0.24,0.75,1.48,10.27,53.49,86.97,97.33,99.46,99.89
"EE3204",0.0,0.0,0.0,0.0,0.0,0.0,1.18,33.17,76.38,94.17,98.7,99.72
"EE3720",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.71,44.8,76.22,90.93,96.72
"EE3112",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,36.58,71.94,89.71,96.53
"EE3032",0.0,0.0,0.0,0.0,0.0,0.0,0.01,3.34,36.71,77.08,93.94,98.5
"GE300",80.12,96.02,99.21,99.81,99.92,99.96,99.99,100.0,100.0,100.0,100.0,100.0
"EE3214",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,20.48,60.37,86.48,96.16
"EE3401",0.0,0.0,0.0,0.0,0.0,0.05,0.59,4.14,15.18,54.73,86.11,96.85
"EE3221",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.1,25.43,64.88,87.83
"IE423",0.0,0.0,0.0,0.13,0.51,0.91,5.81,23.94,47.74,69.71,88.94,97.26
"PH360",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,2.81,21.14,62.65,89.13
"MASCI",0.0,0.0,0.0,0.0,0.25,0.49,0.72,2.67,10.69,34.13,69.54,91.12
"EE407",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,8.97,47.49,82.23
"TECH",0.0,0.0,0.0,0.0,0.09,0.26,0.41,0.64,1.24,5.04,36.14,76.07
"EE4022",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,21.21,63.12
