"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"BIOS1700",80.13,96.08,99.23,99.86,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ENGL1050",79.94,95.97,99.16,99.82,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ART1480",80.24,96.05,99.24,99.85,99.98,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"HOL1000",79.97,96.03,99.22,99.85,99.99,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"ED2900",79.88,96.01,99.15,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"PHYS 1800",0.0,79.97,96.08,99.19,99.81,99.96,99.99,100.0,100.0,100.0,100.0,100.0
"MATH1500",0.0,79.38,95.92,99.15,99.86,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"PSCI2000",0.0,75.4,94.99,99.04,99.8,99.96,99.99,100.0,100.0,100.0,100.0,100.0
"ECON1000",0.0,58.99,91.71,98.36,99.67,99.92,99.98,100.0,100.0,100.0,100.0,100.0
"GEOG1900",0.0,26.22,84.72,96.97,99.39,99.89,99.97,99.99,100.0,100.0,100.0,100.0
"MATH1510",0.0,0.0,62.44,89.23,97.28,99.34,99.85,99.96,99.99,100.0,100.0,100.0
"ED2500",0.0,0.0,73.64,94.68,98.99,99.8,99.96,99.99,100.0,100.0,100.0,100.0
"ENGL3830",0.0,0.0,59.12,91.62,98.37,99.68,99.93,99.99,100.0,100.0,100.0,100.0
"HIST2100",0.0,0.0,34.9,86.01,97.22,99.43,99.89,99.97,99.99,100.0,100.0,100.0
"MATH2650",0.0,0.0,8.66,74.59,94.18,98.72,99.73,99.95,99.99,100.0,100.0,100.0
"CHEM2800",0.0,0.0,2.19,69.03,93.8,98.7,99.74,99.94,99.98,100.0,100.0,100.0
"HIST3020",0.0,0.0,0.0,53.52,89.82,98.01,99.61,99.91,99.99,100.0,100.0,100.0
"ED3090",0.0,0.0,0.0,29.86,80.11,95.21,98.87,99.77,99.95,99.99,100.0,100.0
"LS3770",0.0,0.0,0.0,13.41,73.53,93.85,98.57,99.67,99.93,99.98,100.0,100.0
"HPHE3520",0.0,0.0,0.0,27.41,77.39,94.54,98.73,99.72,99.95,99.98,100.0,100.0
"MATH3520",0.0,0.0,0.0,3.86,53.21,84.52,95.58,98.82,99.69,99.93,99.99,100.0
"ENGL 3690",0.0,0.0,0.0,2.98,53.6,89.59,97.89,99.58,99.92,99.99,100.0,100.0
"LS3780",0.0,0.0,0.0,0.0,10.26,60.48,87.07,96.33,99.04,99.75,99.94,99.99
"ED 3690",0.0,0.0,0.0,0.0,20.65,66.61,89.46,96.98,99.22,99.8,99.95,99.98
"ED 3500",0.0,0.0,0.0,0.38,30.82,76.66,94.95,99.04,99.82,99.96,99.99,100.0
"HPHE3400",0.0,51.48,61.43,63.65,71.67,89.14,97.56,99.55,99.91,99.98,100.0,100.0
"ED4070",0.0,0.0,0.0,0.0,0.82,44.81,83.6,95.81,98.96,99.74,99.94,99.99
"ED4300",0.0,0.0,0.0,0.0,0.0,7.85,49.7,79.52,92.82,97.81,99.36,99.82
"EDT3470",0.0,0.0,0.0,0.0,2.43,41.25,83.71,96.54,99.32,99.86,99.98,99.99
"SPED4270",0.0,0.0,0.0,0.0,0.69,24.48,73.98,94.31,98.85,99.76,99.96,99.99
"ED 5750",0.0,0.0,0.0,0.0,0.24,10.54,61.36,90.94,98.1,99.67,99.93,99.99
"ED4010",0.0,0.0,0.0,0.0,0.0,1.91,45.26,85.12,96.74,99.31,99.87,99.97
"ED 3710",0.0,0.0,0.0,0.0,0.0,0.0,0.66,20.82,58.16,83.02,94.2,98.19
"ED 4500",0.0,0.0,0.0,0.0,0.0,0.0,0.65,20.82,58.12,82.86,94.06,98.19
"ED 4090",79.97,85.08,94.39,97.09,98.42,99.3,99.78,99.95,99.99,100.0,100.0,100.0
"ED 4700",0.0,0.0,0.0,0.0,0.0,0.55,24.82,74.69,94.38,98.86,99.78,99.95
"ED4100",0.0,0.0,0.0,0.0,0.0,0.01,1.05,24.45,73.15,101.88,110.38,112.15
"ED4710",0.0,0.0,0.0,0.0,0.0,0.0,0.06,15.5,59.38,87.72,97.14,99.38
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.73,29.29,65.49,87.68,96.32
