"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"MATH 1220",79.97,96.08,99.22,99.82,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"CHEM 1100",79.98,96.02,99.19,99.83,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"CHEM 1110",80.0,96.04,99.22,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"IME 1020",79.95,95.92,99.17,99.81,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ECE 2500",79.93,96.01,99.19,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"General Education- Area 8",80.09,96.06,99.26,99.85,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"MATH 1230",0.0,63.91,89.63,97.25,99.31,99.84,99.96,99.99,100.0,100.0,100.0,100.0
"PHYS 2050",0.0,63.79,89.83,97.52,99.43,99.97,100.09,100.12,100.12,100.12,100.12,100.12
"PHYS 2060",0.0,63.72,89.53,97.33,99.35,99.85,99.97,99.99,100.0,100.0,100.0,100.0
"CS 1200",0.0,72.27,94.38,98.87,99.78,99.95,99.99,100.0,100.0,100.0,100.0,100.0
"General Education- Area 1",0.0,52.18,90.47,98.05,99.63,99.92,99.98,100.0,100.0,100.0,100.0,100.0
"MATH 2720",0.0,0.0,51.11,81.9,94.19,98.26,99.54,99.89,99.98,99.99,100.0,100.0
"PHYS 2070",0.0,0.0,40.65,76.83,92.92,98.76,100.6,101.15,101.31,101.35,101.36,101.36
"PHYS 2080",0.0,0.0,39.24,75.16,91.55,97.37,99.29,99.78,99.94,99.99,100.0,100.0
"ECE 2510",0.0,0.0,53.75,85.63,96.11,99.01,99.77,99.94,99.99,100.0,100.0,100.0
"General Education- Area 2",0.0,13.06,57.19,90.83,98.12,99.63,99.91,99.99,100.0,100.0,100.0,100.0
"MATH 3740",0.0,0.0,0.0,40.27,73.55,90.06,96.59,98.98,99.69,99.92,99.98,100.0
"ECE 2100",0.0,0.0,0.0,30.73,66.46,86.43,95.22,98.44,99.52,99.85,99.96,99.99
"PHYS 3090 or CHEM 1120",0.0,0.0,0.0,17.69,58.64,82.85,93.77,97.95,99.35,99.83,99.95,99.99
"PHYS 3100 or CHEM 1130",0.0,0.0,0.0,23.79,60.2,83.31,93.84,97.92,99.36,99.84,99.95,99.99
"General Education- Area 3",0.0,6.56,25.88,59.41,89.84,97.9,99.57,99.91,99.99,100.0,100.0,100.0
"ECE 2210",0.0,0.0,0.0,0.0,23.56,57.71,80.54,92.18,97.2,99.05,99.69,99.92
"ECE 3100",0.0,0.0,0.0,0.0,15.22,47.5,74.31,89.21,96.0,98.6,99.57,99.87
"ECE 3610",0.0,0.0,0.0,0.0,11.97,46.57,74.01,89.15,95.95,98.61,99.57,99.87
"Engineering Science Elective 1",0.0,0.0,9.98,41.34,74.02,93.45,98.7,99.72,99.95,99.99,100.0,100.0
"General Education- Area 4",0.0,0.0,1.86,25.8,54.51,86.68,97.2,99.46,99.91,99.98,100.0,100.0
"ECE 3200",0.0,0.0,0.0,0.0,0.0,9.53,35.34,62.97,81.97,92.3,96.96,98.98
"ECE 3710",0.0,0.0,0.0,0.0,0.0,10.95,40.11,67.58,84.96,93.81,97.63,99.19
"ECE 3800",0.0,0.0,0.0,0.0,0.0,8.02,38.76,67.17,84.93,93.79,97.61,99.19
"IEE 3160",0.0,0.0,0.65,13.32,37.74,68.51,90.62,97.95,99.58,99.92,99.98,100.0
"Engineering Science Elective 2",0.0,0.0,0.0,5.33,24.37,52.69,82.76,95.9,99.2,99.82,99.96,99.99
"ECE 4810",0.0,0.0,0.0,0.0,0.0,0.0,1.89,24.48,53.82,76.01,89.01,95.39
"ECE 3300",0.0,0.0,0.0,0.0,0.0,0.0,22.78,58.29,80.36,91.54,96.7,98.85
"IEE 3100",0.0,0.0,0.0,0.0,11.6,36.68,64.29,89.52,97.68,99.55,99.91,99.98
"ECE ELECTIVE 1",0.0,0.0,0.0,1.39,7.56,24.7,49.19,81.96,95.97,99.17,99.83,99.97
"Engineering Science Elective 3",0.0,0.0,0.0,0.32,3.44,14.64,35.32,71.8,93.13,98.62,99.69,99.94
"ECE 4820",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,19.94,47.02,70.26,85.23
"ECE ELECTIVE 2",0.0,0.0,0.0,0.04,1.47,7.85,24.24,58.64,88.59,97.53,99.5,99.9
"ECE ELECTIVE 3",0.0,0.0,0.0,0.0,0.64,3.89,15.51,43.93,82.1,96.01,99.12,99.82
"Engineering Science Elective 4",0.0,0.0,0.0,0.0,0.19,1.7,8.97,29.34,72.45,93.45,98.65,99.73
"General Education- Area 5",0.0,0.0,0.0,0.0,0.04,0.67,4.62,17.59,60.2,89.69,97.89,99.54
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,9.89,38.17,66.37,84.04
