"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"BIOS1120",80.19,95.96,99.16,99.82,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"ED2500",80.08,95.99,99.21,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MATH1180",80.04,96.01,99.19,99.84,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"PSY1000",79.97,96.08,99.26,99.87,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"ACTY2100",80.02,95.94,99.16,99.84,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ART1480",0.0,79.86,96.0,99.18,99.83,99.97,100.0,100.0,100.0,100.0,100.0,100.0
"BUS1750",0.0,77.85,95.48,99.1,99.81,99.95,99.99,100.0,100.0,100.0,100.0,100.0
"COM1700",0.0,71.36,94.23,98.88,99.78,99.96,99.99,100.0,100.0,100.0,100.0,100.0
"ED2900",0.0,52.44,90.19,98.07,99.6,99.93,99.99,100.0,100.0,100.0,100.0,100.0
"ENGL1050",0.0,26.31,83.69,96.72,99.34,99.88,99.97,99.99,100.0,100.0,100.0,100.0
"ENGL1100",0.0,0.0,73.72,94.6,98.92,99.76,99.94,99.99,100.0,100.0,100.0,100.0
"HIST2110",0.0,0.0,68.64,93.58,98.68,99.73,99.95,99.99,100.0,100.0,100.0,100.0
"MATH1500",0.0,0.0,44.04,87.92,97.57,99.53,99.91,99.98,99.99,100.0,100.0,100.0
"PSCI2000",0.0,0.0,34.55,85.02,96.94,99.36,99.87,99.98,99.99,100.0,100.0,100.0
"GEOG1020",0.0,0.0,8.58,75.26,94.95,99.04,99.8,99.96,99.99,100.0,100.0,100.0
"HIST3030",0.0,0.0,0.0,64.03,92.33,98.48,99.67,99.95,99.98,99.99,100.0,100.0
"MATH1510",0.0,0.0,0.0,32.6,76.52,93.33,98.33,99.62,99.91,99.98,99.99,100.0
"PHYS1800",0.0,0.0,0.0,40.94,85.93,97.11,99.43,99.89,99.99,100.0,100.0,100.0
"ED3100",0.0,0.0,0.0,17.01,76.44,95.03,99.01,99.79,99.94,99.99,100.0,100.0
"ENGL3830",0.0,0.0,0.0,3.63,64.8,92.39,98.49,99.71,99.94,99.99,100.0,100.0
"GEOS2900",0.0,0.0,0.0,0.0,49.93,88.48,97.66,99.52,99.91,99.98,100.0,100.0
"MATH2650",0.0,0.0,0.0,0.0,30.45,79.96,95.46,99.08,99.79,99.95,99.98,99.99
"LS3770",0.0,0.0,0.0,0.0,10.75,61.18,88.18,96.88,99.18,99.79,99.95,99.99
"ANTH1200",0.0,0.0,0.0,0.0,12.01,67.33,92.77,98.55,99.72,99.94,99.99,100.0
"MUS2400",0.0,0.0,0.0,0.0,1.25,50.97,88.0,97.54,99.52,99.91,99.98,100.0
"SPED4270",0.0,0.0,0.0,0.0,0.0,35.0,81.87,96.21,99.23,99.85,99.98,100.0
"MATH3520",0.0,0.0,0.0,0.0,0.0,22.23,74.7,94.51,98.85,99.76,99.94,99.99
"EDT3470",0.0,20.91,23.22,57.91,66.51,82.67,95.29,98.96,99.77,99.96,99.99,100.0
"ENGL3690",0.0,0.0,0.0,0.0,0.0,7.67,60.09,90.75,98.05,99.65,99.92,99.99
"HPHE3520",0.0,0.0,1.05,10.41,17.49,41.55,77.45,94.69,98.95,99.8,99.96,99.99
"LS3780",0.0,0.0,0.0,0.0,0.0,1.39,34.85,75.59,92.52,97.85,99.4,99.82
"BIOS1700",0.0,0.0,0.0,0.0,0.0,1.16,36.87,81.22,96.0,99.17,99.83,99.97
"ECON1000",0.0,0.0,0.0,0.0,0.0,0.0,22.62,72.6,93.8,98.68,99.73,99.95
"ED3980",0.0,0.0,0.0,0.0,0.0,0.0,11.53,62.4,90.92,98.13,99.66,99.93
"ED4070",0.0,0.0,0.0,0.0,0.0,0.0,4.58,50.8,86.88,97.24,99.46,99.87
"HIST3290",0.0,0.0,0.0,0.0,0.0,0.0,2.19,41.08,82.55,96.21,99.27,99.87
"ES3950",0.0,0.0,0.0,0.0,0.0,0.0,0.52,29.37,76.07,94.58,98.87,99.79
"ED4300",0.0,0.0,0.0,0.0,0.0,0.0,0.06,14.04,56.59,84.64,95.24,98.61
"ED4010",0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.17,61.72,90.35,97.94,99.58
"BIOS2700",0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.39,51.31,86.43,97.04,99.4
"ED3710",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86,34.27,75.67,93.07,98.12
"ED4100",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.32,48.68,80.69,94.04
"ENGL3770",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,30.76,75.1,94.18,98.82
"GEOG3110",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,18.82,64.84,90.72,98.0
"ED4500",0.0,0.0,0.69,1.16,2.86,7.8,28.51,42.58,51.83,76.92,93.91,98.73
"ED4710",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.73,39.03,72.1
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,34.41,68.95
