"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"IEE1020",79.91,96.08,99.23,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"EDMM1420",80.29,96.08,99.18,99.85,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"EDMM1423",80.0,96.01,99.15,99.81,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"EDMM1500",80.0,96.02,99.17,99.83,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"MATH1220",79.9,95.96,99.19,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"CHEM1100",0.0,80.11,96.05,99.16,99.82,99.96,99.99,100.0,100.0,100.0,100.0,100.0
"CHEM1110",0.0,79.45,95.89,99.2,99.85,99.96,99.99,100.0,100.0,100.0,100.0,100.0
"EDMM1440",0.0,62.73,89.49,97.31,99.36,99.84,99.96,99.99,100.0,100.0,100.0,100.0
"MATH1230",0.0,65.48,92.92,98.56,99.7,99.94,99.99,100.0,100.0,100.0,100.0,100.0
"PHYS1130",0.0,32.72,85.92,97.17,99.45,99.87,99.97,99.99,100.0,100.0,100.0,100.0
"PHYS1140",80.03,96.0,99.17,99.82,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"CS1021",0.0,69.65,93.76,98.79,99.75,99.95,99.99,100.0,100.0,100.0,100.0,100.0
"CS1023",0.0,22.61,83.99,96.72,99.35,99.87,99.97,99.99,100.0,100.0,100.0,100.0
"EDMM2460",0.0,0.0,73.29,93.96,98.67,99.68,99.93,99.99,100.0,100.0,100.0,100.0
"EDMM2540",0.0,0.0,67.52,92.75,98.41,99.66,99.92,99.98,100.0,100.0,100.0,100.0
"IEE2610",0.0,0.0,55.41,90.71,98.1,99.63,99.93,99.99,100.0,100.0,100.0,100.0
"PHYS1150",0.0,0.0,28.22,83.71,96.61,99.37,99.88,99.97,100.0,100.0,100.0,100.0
"PHYS1160",0.0,1.63,53.37,89.91,97.97,99.6,99.93,99.98,100.0,100.0,100.0,100.0
"EDMM2001",0.0,0.0,0.0,22.67,71.53,91.65,97.8,99.46,99.86,99.97,100.0,100.0
"EDMM2500",0.0,0.0,5.9,75.06,95.05,98.95,99.79,99.97,99.99,100.0,100.0,100.0
"EDMM2810",0.0,0.0,0.0,60.93,91.63,98.38,99.64,99.92,99.99,100.0,100.0,100.0
"EDMM3020",0.0,0.0,0.0,47.11,87.7,97.45,99.5,99.92,99.98,100.0,100.0,100.0
"EDMM2560",0.0,0.0,0.0,20.88,77.15,95.13,98.93,99.77,99.95,99.99,100.0,100.0
"ME2500",0.0,0.0,0.0,2.29,66.13,92.83,98.56,99.71,99.94,99.99,100.0,100.0
"ELECTIVE",0.0,0.0,0.0,0.0,54.12,89.61,97.84,99.56,99.91,99.98,99.99,100.0
"GeneEduVIII",0.0,0.0,6.85,22.48,70.9,93.57,98.71,99.71,99.94,99.98,100.0,100.0
"EDMM2830",0.0,0.0,0.0,1.3,38.67,84.77,96.85,99.37,99.87,99.98,100.0,100.0
"EDMM3460",0.0,0.0,0.0,0.0,18.02,76.02,94.75,98.89,99.78,99.94,99.99,100.0
"EDMM3480",0.0,0.0,0.0,0.0,7.39,65.17,90.97,97.83,99.45,99.88,99.98,99.99
"EDMM3540",0.0,0.0,0.0,0.0,2.45,55.74,88.41,97.21,99.34,99.86,99.97,100.0
"EDMM3200",0.0,0.0,0.0,0.0,1.2,48.23,87.72,97.52,99.52,99.91,99.98,100.0
"EDMM3440",0.0,0.0,0.0,0.0,0.02,30.78,80.72,95.8,99.1,99.8,99.96,99.99
"EDMM3840",0.0,0.0,0.0,0.0,0.0,17.8,73.81,94.18,98.84,99.74,99.94,99.99
"EDMM4460",0.0,0.0,0.0,0.0,0.08,9.87,66.25,92.51,98.54,99.72,99.94,99.99
"ELECTIVE",0.0,0.0,0.0,0.0,0.0,3.79,55.1,89.47,97.84,99.56,99.91,99.98
"GeneEdu",0.0,0.0,0.0,0.0,0.0,1.03,42.29,85.07,96.94,99.39,99.88,99.97
"EDMM4480",0.0,0.0,0.0,0.0,0.0,0.0,18.44,63.44,88.03,96.58,99.07,99.77
"EDMM4490",0.0,0.0,0.0,0.0,0.0,0.0,13.94,60.17,87.17,96.25,99.01,99.76
"EDMM4910",0.0,0.0,0.0,0.13,16.34,32.24,46.05,80.59,95.8,99.14,99.82,99.96
"ELECTIVE",0.0,0.0,0.0,0.0,0.0,0.04,10.77,61.7,91.18,98.22,99.64,99.93
"GeneEduII",0.0,0.0,0.0,0.0,0.0,0.0,3.79,48.81,86.6,97.22,99.47,99.89
"GeneEduIII",0.0,0.0,0.0,0.0,0.0,0.0,1.05,35.47,80.96,95.99,99.22,99.84
"GeneEduIV",0.0,0.0,0.0,0.0,0.0,0.0,0.17,22.93,73.5,94.23,98.84,99.75
"EDMM4920",0.0,0.0,0.0,0.0,0.01,0.6,1.45,12.74,58.78,87.77,96.89,99.25
"EDMM4930",0.0,0.0,0.0,0.0,0.06,4.2,8.2,18.92,61.32,88.3,97.02,99.23
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23,29.58,69.36,90.91,97.65
