"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"BIOS 1120",79.89,95.92,99.15,99.83,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"HPHE 1110",80.0,96.02,99.24,99.84,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"MATH 1110",79.99,95.99,99.17,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"AREA 1",80.08,95.99,99.17,99.82,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"PSY 1000",80.12,95.98,99.21,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"CHEM 1100",0.0,63.87,89.58,97.24,99.34,99.86,99.96,99.99,100.0,100.0,100.0,100.0
"CHEM 1110",0.0,64.12,89.74,97.32,99.34,99.85,99.97,99.99,100.0,100.0,100.0,100.0
"BIOS 2110",0.0,63.91,89.44,97.26,99.29,99.83,99.95,99.99,100.0,100.0,100.0,100.0
"HPHE 1520",79.84,95.92,99.2,99.83,99.98,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"AREA 2",0.0,78.74,95.74,99.14,99.85,99.96,99.99,100.0,100.0,100.0,100.0,100.0
"BIOS 2400",0.0,0.0,50.96,81.67,94.18,98.29,99.52,99.87,99.96,99.99,99.99,100.0
"PHYS 1130",0.0,63.84,111.37,119.33,121.44,121.96,122.08,122.1,122.11,122.11,122.11,122.11
"PHYS 1140",0.0,36.53,83.73,96.17,99.11,99.82,99.96,99.99,100.0,100.0,100.0,100.0
"HPHE 2950",0.0,0.0,47.87,80.96,93.97,98.19,99.5,99.85,99.96,99.99,100.0,100.0
"ENGL 1050",0.0,19.87,75.84,95.19,98.99,99.8,99.96,99.99,100.0,100.0,100.0,100.0
"MATH 1160",0.0,9.33,58.51,91.53,98.28,99.66,99.93,99.99,100.0,100.0,100.0,100.0
"COM 1000",0.0,1.3,31.99,84.83,97.01,99.38,99.88,99.97,99.99,100.0,100.0,100.0
"AREA 3",0.0,0.0,11.35,77.32,95.4,99.08,99.82,99.96,99.99,100.0,100.0,100.0
"HPHE 2980",0.0,0.0,0.0,37.42,72.66,89.84,96.6,98.96,99.7,99.9,99.97,99.99
"HPHE 3150",0.0,0.0,3.23,61.28,91.88,98.33,99.67,99.93,99.99,100.0,100.0,100.0
"AREA 4",0.0,0.0,0.43,41.49,86.94,97.42,99.48,99.91,99.98,99.99,100.0,100.0
"HPHE 3500",0.0,31.05,52.51,76.26,94.77,98.94,99.79,99.96,99.99,100.0,100.0,100.0
"HPHE 1810",0.0,0.0,16.7,40.68,85.76,97.2,99.48,99.88,99.97,100.0,100.0,100.0
"HPHE 3960",0.0,0.0,0.0,0.0,28.25,62.82,84.12,93.86,97.92,99.34,99.79,99.93
"SOC 2000",0.0,0.0,0.0,10.52,72.16,94.26,98.81,99.76,99.95,99.99,100.0,100.0
"HPHE 3970",0.0,0.0,0.0,0.0,23.4,62.83,84.36,94.18,97.96,99.36,99.8,99.93
"HPHP 4440",0.0,0.0,0.0,0.0,13.68,54.92,81.29,93.12,97.73,99.29,99.74,99.92
"HSV 2250",0.0,0.0,0.0,2.53,46.27,86.53,97.22,99.47,99.91,99.98,100.0,100.0
"AREA 7",0.0,0.0,0.0,0.19,28.75,78.95,95.57,99.13,99.83,99.97,100.0,100.0
"MKTG 2500",0.0,0.0,0.0,0.0,14.98,68.51,93.34,98.65,99.74,99.95,99.99,100.0
"GRN 1000",0.0,0.0,0.0,0.0,5.72,54.39,89.49,97.85,99.58,99.91,99.98,100.0
"FCS 2660",0.0,0.0,0.0,0.0,1.55,38.37,84.39,96.82,99.35,99.87,99.98,100.0
"PHIL 3340",0.0,0.0,0.0,0.0,0.02,12.68,67.53,92.83,98.56,99.7,99.95,99.99
"HPHE 4450",0.0,0.0,0.0,0.0,0.0,4.82,37.84,70.48,87.5,95.17,98.25,99.4
"HPHE 4910",0.0,0.0,0.0,0.0,0.0,1.31,32.81,72.29,89.55,96.27,98.74,99.57
"HPHE 4980",0.0,0.0,0.0,0.0,0.0,0.92,22.52,73.3,94.1,98.81,99.76,99.95
"SOC 3730",0.0,0.0,0.0,0.0,0.16,9.21,35.3,76.53,94.66,98.87,99.78,99.96
"PSY 2500",0.0,0.0,0.0,0.0,0.0,0.08,8.77,55.83,88.86,97.7,99.53,99.89
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,1.29,26.47,66.96,89.09,96.66,98.97
