"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"COM1000",80.14,95.98,99.22,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ENGL1050",80.18,96.12,99.24,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"GEOS1500",79.83,96.03,99.22,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"IME1020",79.93,95.99,99.18,99.81,99.96,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"PSY1000",79.97,95.99,99.16,99.81,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"COM2000",0.0,79.94,96.06,99.21,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"COM2800",0.0,64.02,89.66,97.24,99.35,99.85,99.97,99.99,100.0,100.0,100.0,100.0
"ENGL2100",0.0,77.86,95.56,99.1,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"HIST2110",0.0,65.82,93.09,98.58,99.69,99.94,99.99,100.0,100.0,100.0,100.0,100.0
"GEOG3900",0.0,32.96,86.36,97.34,99.46,99.9,99.98,100.0,100.0,100.0,100.0,100.0
"REL2060",0.0,0.0,78.1,95.68,99.17,99.83,99.96,100.0,100.0,100.0,100.0,100.0
"PHIL2200",0.0,0.0,71.84,94.27,98.89,99.78,99.96,99.99,100.0,100.0,100.0,100.0
"COM1040",0.0,0.0,55.57,90.91,98.19,99.64,99.93,99.98,100.0,100.0,100.0,100.0
"COM3320(Orgelect1)",0.0,0.0,27.91,80.96,95.28,98.87,99.73,99.94,99.99,100.0,100.0,100.0
"GEOG1000",0.0,0.0,11.15,78.39,95.51,99.13,99.84,99.97,100.0,100.0,100.0,100.0
"Math1000",0.0,0.0,0.0,68.3,93.47,98.68,99.76,99.95,99.99,100.0,100.0,100.0
"COM2010",0.0,0.0,0.0,52.21,89.07,97.61,99.48,99.87,99.98,100.0,100.0,100.0
"COM3050(Orgelect2)",0.0,0.0,0.0,31.58,83.35,96.52,99.3,99.84,99.96,99.99,100.0,100.0
"SOC2000",0.0,0.0,0.0,15.31,77.19,95.34,99.07,99.82,99.96,100.0,100.0,100.0
"SOC2100",0.0,0.0,0.0,3.66,67.02,93.0,98.65,99.75,99.95,99.99,100.0,100.0
"COM3350",0.0,0.0,0.0,0.0,55.39,89.91,97.9,99.53,99.89,99.98,100.0,100.0
"COM3070(orgelect3)",0.0,0.0,0.0,0.24,44.53,86.53,97.23,99.45,99.88,99.97,100.0,100.0
"REL1000",0.0,0.0,0.0,0.0,16.88,75.63,95.08,98.99,99.79,99.97,99.99,100.0
"SOC2600",0.0,0.0,0.0,0.0,17.92,71.03,93.6,98.69,99.75,99.95,99.99,100.0
"SOC3140",0.0,0.0,0.0,0.0,1.01,53.97,89.45,97.89,99.58,99.91,99.98,100.0
"A-S3990",0.0,0.0,0.0,0.0,0.02,40.12,84.22,96.72,99.34,99.87,99.98,99.99
"COM4790",0.0,0.0,0.0,0.0,0.0,26.41,77.68,95.34,99.01,99.8,99.97,100.0
"COM3540(Comelect1)",0.0,0.0,0.0,0.0,0.0,10.97,66.29,92.5,98.45,99.7,99.93,99.99
"HIST3030",0.0,0.0,0.0,0.0,0.0,2.17,53.48,88.69,97.71,99.56,99.92,99.99
"SOC3000",0.0,0.0,0.0,0.0,0.0,0.29,40.99,83.71,96.49,99.27,99.85,99.97
"SOC3200",0.0,0.0,0.0,0.0,0.0,0.0,31.34,79.24,95.51,99.16,99.84,99.98
"HEPE1110",0.0,0.0,0.0,0.0,0.0,0.0,23.29,72.92,93.78,98.72,99.76,99.95
"ART1480",0.0,0.0,0.0,0.0,0.0,0.0,4.56,53.59,88.3,97.6,99.53,99.91
"COM4800(Ogrelect3)",0.0,0.0,0.0,0.0,0.0,0.0,8.56,50.93,86.33,97.1,99.4,99.88
"COM4830",0.0,0.0,0.0,0.0,0.0,0.0,0.09,30.7,77.6,95.02,98.99,99.82
"GPS1500",0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.61,69.65,92.79,98.54,99.7
"A-S3990",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.24,49.83,86.07,97.0,99.37
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,34.09,74.64,93.42,98.58
