"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"BUS 1000",79.93,95.92,99.17,99.84,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"ENGL 1050",80.05,96.02,99.21,99.85,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"BUS 1750",79.83,95.94,99.19,99.83,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"CIS 1020",79.75,95.93,99.16,99.85,99.95,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MATH 1160",80.06,96.01,99.21,99.85,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"COM 1000",80.12,96.08,99.28,99.84,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"AREA 1",0.0,79.96,96.09,99.17,99.83,99.98,100.0,100.0,100.0,100.0,100.0,100.0
"ECON 2010",0.0,79.9,95.88,99.12,99.84,99.96,99.99,100.0,100.0,100.0,100.0,100.0
"ACTY 2100",0.0,78.46,95.6,99.1,99.83,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"ACTY 2110",0.0,0.0,62.83,89.17,97.1,99.27,99.85,99.96,100.0,100.0,100.0,100.0
"ECON 2020",0.0,72.18,94.39,98.93,99.79,99.96,99.99,100.0,100.0,100.0,100.0,100.0
"STAT 2160",0.0,47.24,86.28,96.58,99.21,99.81,99.97,99.99,100.0,100.0,100.0,100.0
"BUS 2200",0.0,26.0,84.74,97.03,99.4,99.89,99.98,100.0,100.0,100.0,100.0,100.0
"AREA 2",0.0,0.0,76.84,95.37,99.1,99.81,99.96,99.99,100.0,100.0,100.0,100.0
"CIS 2700",0.0,0.0,65.49,91.7,98.08,99.54,99.9,99.98,100.0,100.0,100.0,100.0
"MKTG 2500",0.0,0.0,52.53,90.21,98.07,99.58,99.92,99.98,100.0,100.0,100.0,100.0
"BCM 3700",0.0,0.0,26.94,84.4,96.89,99.38,99.9,99.98,99.99,100.0,100.0,100.0
"AREA 3",0.0,0.0,6.8,77.94,95.49,99.1,99.83,99.96,99.99,100.0,100.0,100.0
"Elective 1",0.0,0.0,0.0,70.52,94.14,98.83,99.76,99.95,99.99,100.0,100.0,100.0
"MGMT 2500",0.0,0.0,0.0,58.65,91.42,98.27,99.65,99.92,99.99,100.0,100.0,100.0
"AREA 4",0.0,0.0,0.0,41.11,87.46,97.58,99.52,99.91,99.98,100.0,100.0,100.0
"MAJOR",0.0,0.0,0.0,22.11,81.44,96.3,99.24,99.84,99.96,99.99,100.0,100.0
"FIN 3200",0.0,0.0,0.0,7.9,72.41,93.59,98.56,99.69,99.94,99.99,100.0,100.0
"LAW 3800",0.0,0.0,0.0,1.48,66.08,92.93,98.55,99.75,99.96,99.99,100.0,100.0
"AREA 5",0.0,0.0,0.0,0.0,53.61,90.07,97.96,99.59,99.92,99.98,99.99,100.0
"BUS 3750",0.0,0.0,0.0,0.0,32.54,78.66,94.33,98.61,99.67,99.92,99.98,100.0
"CHEM 1100",79.78,95.82,99.05,99.73,124.12,189.93,200.53,201.14,201.24,201.26,201.26,201.26
"CHEM 1110",0.0,0.0,0.0,0.0,10.69,73.24,94.4,98.87,99.76,99.96,99.99,100.0
"BUS 4000",0.0,0.0,0.0,0.0,10.63,73.1,94.41,98.82,99.75,99.96,100.0,100.0
"BUS 4500",0.0,0.0,0.0,0.0,2.47,48.27,82.59,95.05,98.65,99.66,99.9,99.98
"AREA 7",0.0,0.0,0.0,0.0,1.05,54.68,89.86,98.0,99.62,99.9,99.98,100.0
"Elective 2",0.0,0.0,0.0,0.0,0.08,37.6,84.43,96.75,99.34,99.86,99.98,99.99
"MAJOR1",0.0,0.0,0.0,0.0,0.0,19.36,76.34,95.14,98.99,99.8,99.95,99.99
"ECON 3040",0.0,0.0,0.0,0.0,0.0,7.87,68.48,93.41,98.61,99.72,99.95,99.99
"FIN 3300",0.0,0.0,0.0,0.0,0.0,3.87,59.12,90.81,98.13,99.63,99.92,99.99
"FIN 3310",0.0,0.0,0.0,0.0,0.0,0.87,43.88,85.14,96.75,99.34,99.85,99.96
"FIN 3350",0.0,0.0,0.0,0.0,0.0,0.1,29.69,79.47,95.42,99.01,99.8,99.96
"AREA 8",0.0,0.0,0.0,0.0,0.0,3.42,38.1,81.85,96.17,99.28,99.86,99.97
"FIN 3510",0.0,0.0,0.0,0.0,0.0,0.0,9.61,66.74,92.44,98.45,99.69,99.93
"BUS 4750",0.0,0.0,0.0,0.0,0.0,0.0,4.08,55.45,88.41,97.19,99.36,99.84
"FIN 3100",0.0,0.0,0.0,0.0,0.0,0.0,2.63,46.8,86.35,97.19,99.45,99.89
"FIN 3450",0.0,0.0,0.0,0.0,0.0,0.0,0.37,31.98,79.87,95.56,99.16,99.85
"FIN 5530",0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.45,54.38,84.74,95.7,98.92
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.71,38.03,75.96,93.3,98.36
