"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"ENGL1050",79.82,95.94,99.17,99.83,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MATH1100",79.92,96.04,99.19,99.83,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"PSY1000",79.88,96.03,99.2,99.83,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"SPAN2000",79.92,95.95,99.22,99.86,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"PHIL2200",80.15,96.03,99.2,99.83,99.95,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"PSY1400",0.0,79.83,95.91,99.2,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"SPAN2010",0.0,63.54,89.58,97.34,99.37,99.86,99.96,99.99,100.0,100.0,100.0,100.0
"STAT1600",0.0,77.83,95.51,99.1,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"ART1200",0.0,65.47,93.15,98.67,99.74,99.96,99.99,100.0,100.0,100.0,100.0,100.0
"GWS3400",0.0,32.57,86.08,97.18,99.42,99.88,99.98,100.0,100.0,100.0,100.0,100.0
"HOL1000",0.0,0.0,78.38,95.55,99.14,99.82,99.97,99.99,100.0,100.0,100.0,100.0
"PSY1600",0.0,0.0,71.95,93.74,98.59,99.68,99.93,99.98,100.0,100.0,100.0,100.0
"REL1000",0.0,0.0,56.14,91.11,98.27,99.66,99.93,99.98,100.0,100.0,100.0,100.0
"GEOG3820",0.0,0.0,40.84,87.14,97.45,99.49,99.91,99.99,100.0,100.0,100.0,100.0
"PSY2500(Elect1)",0.0,0.0,8.48,77.7,95.4,99.08,99.79,99.96,99.99,100.0,100.0,100.0
"PSY3000",0.0,0.0,0.0,68.02,92.54,98.29,99.6,99.92,99.98,100.0,100.0,100.0
"SOC2000",0.0,0.0,0.0,60.65,91.79,98.27,99.63,99.93,99.98,100.0,100.0,100.0
"SOC2600",0.0,0.0,0.0,45.76,87.96,97.58,99.53,99.9,99.97,99.99,100.0,100.0
"ANTH1500",0.0,0.0,0.0,29.67,82.98,96.53,99.33,99.86,99.96,99.99,100.0,100.0
"LANG3750",0.0,0.0,0.0,12.65,75.64,94.94,98.96,99.79,99.96,99.99,100.0,100.0
"PSY3240(Elect2)",0.0,0.0,0.0,2.76,64.38,91.39,98.04,99.53,99.9,99.99,100.0,100.0
"SOC2820",0.0,0.0,0.0,0.04,56.58,90.41,98.03,99.59,99.92,99.99,100.0,100.0
"SOC3200",0.0,0.0,0.0,0.0,42.79,86.42,97.38,99.52,99.92,99.99,100.0,100.0
"PHYS1020",0.0,0.0,0.0,0.0,27.29,80.8,96.13,99.23,99.84,99.98,99.99,100.0
"HIST2110",0.0,0.0,0.0,0.0,13.49,73.29,94.41,98.87,99.77,99.95,99.99,100.0
"PSY3260(Elect3)",0.0,0.0,0.0,0.0,4.46,63.91,92.08,98.41,99.69,99.94,99.99,100.0
"SOC3620",0.0,0.0,0.0,0.0,0.72,52.26,88.89,97.74,99.51,99.89,99.97,99.99
"SOC3640",0.0,0.0,0.0,0.0,0.0,38.84,84.41,96.76,99.37,99.86,99.97,100.0
"GWS3500",0.0,0.0,0.0,0.0,0.0,25.23,78.29,95.5,99.07,99.8,99.97,99.99
"PSY3300",0.0,0.0,0.0,0.0,0.0,13.34,69.92,93.29,98.57,99.69,99.93,99.99
"PSY3517(Elect5)",0.0,0.0,0.0,0.0,0.0,1.45,49.06,87.51,97.37,99.46,99.89,99.98
"SOC3650",0.0,0.0,0.0,0.0,0.0,0.2,36.48,82.28,96.33,99.28,99.85,99.98
"SOC4120",0.0,0.0,0.0,0.0,0.0,3.98,35.47,79.59,95.68,99.11,99.84,99.97
"SWRK2100",0.0,0.0,0.0,0.0,0.0,0.0,13.19,67.12,92.45,98.45,99.7,99.94
"SWRK3000",0.0,0.0,0.0,0.0,0.0,0.0,5.84,55.0,88.53,97.6,99.54,99.89
"INTL2000",0.0,0.0,0.0,0.0,0.0,0.0,1.54,40.38,83.26,96.45,99.26,99.84
"LWIR3000",0.0,0.0,0.0,0.0,0.0,0.0,0.11,28.38,77.22,94.92,98.96,99.8
"PHYS1050(Lab)",79.83,95.93,98.67,99.38,99.41,99.42,99.76,99.94,99.99,100.0,100.0,100.0
"SOC4540",0.0,0.0,0.0,0.0,0.0,0.0,0.05,21.67,71.13,93.38,98.61,99.71
"PSY3780(Elect5)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.61,61.93,90.53,98.04,99.61
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.17,38.3,77.17,94.16,98.7
