"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"GEOG 101",79.8,95.99,99.15,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"GEOG 105L",79.82,96.07,99.24,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ENGL 110",80.02,96.06,99.24,99.84,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"MATH Core",79.87,95.98,99.18,99.83,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"Fine Arts Core",80.02,95.9,99.14,99.82,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"Humanities Core",80.02,95.94,99.2,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"GEOG 102",0.0,80.07,96.0,99.15,99.8,99.97,100.0,100.0,100.0,100.0,100.0,100.0
"GEOG 281",0.0,79.77,95.93,99.21,99.83,99.96,100.0,100.0,100.0,100.0,100.0,100.0
"Minor Requirement",0.0,78.66,95.83,99.2,99.86,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"ENGL 120",0.0,60.29,88.7,97.18,99.28,99.84,99.96,100.0,100.0,100.0,100.0,100.0
"Second Language",0.0,58.9,91.75,98.35,99.67,99.93,99.99,100.0,100.0,100.0,100.0,100.0
"GEOG 195",0.0,26.17,84.89,96.95,99.39,99.87,99.98,100.0,100.0,100.0,100.0,100.0
"GEOG Elective",0.0,0.0,78.67,95.65,99.15,99.81,99.96,99.99,100.0,100.0,100.0,100.0
"Minor Requirement",0.0,0.0,74.68,94.89,99.02,99.79,99.95,99.99,100.0,100.0,100.0,100.0
"ENGL 219",0.0,0.0,43.98,79.75,93.71,98.19,99.51,99.85,99.97,99.99,100.0,100.0
"Physical & Natural Science Core",0.0,0.0,54.94,90.8,98.19,99.65,99.93,99.98,100.0,100.0,100.0,100.0
"GEOG 381L",0.0,0.0,8.71,78.7,95.79,99.15,99.82,99.95,99.99,100.0,100.0,100.0
"GEOG Elective",0.0,0.0,21.2,77.64,95.42,99.11,99.8,99.95,99.98,100.0,100.0,100.0
"Minor Requirement",0.0,0.0,0.0,59.33,91.48,98.29,99.67,99.92,99.99,100.0,100.0,100.0
"Social & Behavioral Science",0.0,0.0,0.0,42.06,87.2,97.45,99.47,99.9,99.98,100.0,100.0,100.0
"Upper Division Elective",0.0,0.0,0.0,22.49,81.18,96.16,99.2,99.83,99.97,99.99,100.0,100.0
"GEOG 481L",0.0,0.0,0.0,5.33,68.89,93.53,98.7,99.73,99.95,99.99,100.0,100.0
"GEOG Elective",0.0,0.0,0.0,3.13,60.99,91.6,98.32,99.66,99.93,99.98,99.99,100.0
"Minor Requirement",0.0,0.0,0.0,0.0,40.02,86.14,97.25,99.45,99.88,99.98,99.99,100.0
"Humanities Core",0.0,0.0,0.0,0.0,23.57,79.88,95.83,99.18,99.84,99.97,100.0,100.0
"Upper Division Elective",0.0,0.0,0.0,0.0,10.51,71.31,93.99,98.78,99.75,99.94,99.99,100.0
"GEOG 4**",0.0,0.0,0.0,0.0,3.9,61.94,91.75,98.37,99.69,99.93,99.99,100.0
"Minor Requirement",0.0,0.0,0.0,0.0,1.73,51.16,88.43,97.67,99.56,99.92,99.99,100.0
"Minor Requirement",0.0,0.0,0.0,0.0,0.0,36.75,83.54,96.68,99.33,99.87,99.97,99.99
"Upper Division Elective",0.0,0.0,0.0,0.0,0.0,23.33,77.13,95.13,99.0,99.82,99.97,100.0
"Any Elective",0.0,0.0,0.0,0.0,0.0,12.07,69.02,93.4,98.69,99.74,99.95,99.99
"GEOG 4**",0.0,0.0,0.0,0.0,0.0,5.14,59.31,90.67,98.08,99.63,99.92,99.98
"GEOG 471",0.0,0.0,0.0,0.0,0.0,1.79,47.66,86.89,97.31,99.47,99.88,99.98
"Minor Requirement",0.0,0.0,0.0,0.0,0.0,0.45,34.72,81.84,96.16,99.23,99.85,99.97
"Upper Division Elective",0.0,0.0,0.0,0.0,0.0,0.0,22.26,74.91,94.52,98.86,99.75,99.93
"Any Elective",0.0,0.0,0.0,0.0,0.0,0.0,12.27,66.54,92.24,98.4,99.71,99.94
"GEOG 4**",0.0,0.0,0.0,0.0,0.0,0.0,5.77,56.45,89.34,97.8,99.57,99.91
"Minor Requirement",0.0,0.0,0.0,0.0,0.0,0.0,2.19,45.06,85.2,96.86,99.39,99.86
"Upper Division Elective",0.0,0.0,0.0,0.0,0.0,0.0,0.63,32.65,79.49,95.64,99.07,99.81
"Upper Division Elective",0.0,0.0,0.0,0.0,0.0,0.0,0.12,21.22,72.61,93.93,98.83,99.75
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.04,9.12,48.49,83.16,96.01,99.12
