"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"ANTH1100",80.3,96.02,99.23,99.84,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ART1040",80.07,96.05,99.17,99.85,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ART1050",80.23,96.09,99.19,99.85,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"ENGL1050",79.91,95.93,99.2,99.84,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MATH1160",80.28,96.06,99.22,99.85,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ART1070",0.0,79.98,96.06,99.19,99.83,99.97,100.0,100.0,100.0,100.0,100.0,100.0
"ART1080",0.0,79.57,95.93,99.24,99.85,99.97,100.0,100.0,100.0,100.0,100.0,100.0
"ART2210",0.0,77.34,95.56,99.1,99.82,99.97,100.0,100.0,100.0,100.0,100.0,100.0
"PEGN1740",80.13,95.74,99.11,99.82,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"PHYS1050",0.0,76.34,95.23,99.08,99.81,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"PHYS1060",0.0,58.05,91.6,98.39,99.66,99.93,99.99,100.0,100.0,100.0,100.0,100.0
"ART2160",0.0,26.29,84.95,96.97,99.34,99.87,99.97,99.99,100.0,100.0,100.0,100.0
"ART2200",0.0,0.0,78.36,95.68,99.15,99.84,99.97,99.99,100.0,100.0,100.0,100.0
"ART2210",0.0,0.0,74.59,95.01,99.01,99.8,99.97,99.99,100.0,100.0,100.0,100.0
"COM1000",0.0,0.0,65.29,92.85,98.56,99.7,99.93,99.99,100.0,100.0,100.0,100.0
"LANG3500",0.0,0.0,47.78,89.27,97.84,99.58,99.91,99.98,100.0,100.0,100.0,100.0
"ART2400",0.0,0.0,21.68,76.17,93.69,98.42,99.64,99.92,99.98,99.99,100.0,100.0
"ART2500",0.0,0.0,0.0,54.03,85.39,95.96,99.03,99.76,99.95,99.99,100.0,100.0
"ART2510",0.0,0.0,9.85,76.87,95.36,99.1,99.82,99.96,99.99,100.0,100.0,100.0
"ART2600",0.0,0.0,0.0,46.29,83.63,95.69,98.89,99.74,99.94,99.98,100.0,100.0
"ART2610",0.0,0.0,0.0,0.0,43.1,77.02,92.23,97.72,99.36,99.81,99.96,99.99
"ART3250",0.0,0.0,0.0,0.0,43.15,77.02,92.06,97.67,99.32,99.83,99.95,99.99
"ART3470",0.0,0.0,0.0,49.21,87.08,97.15,99.37,99.85,99.96,99.99,100.0,100.0
"ART3500",0.0,0.0,0.0,7.59,61.89,88.65,97.01,99.24,99.83,99.95,99.99,100.0
"ART3510",0.0,0.0,0.0,36.11,79.11,95.62,99.2,99.84,99.96,99.99,100.0,100.0
"ART3600",0.0,0.0,0.0,0.0,0.0,32.88,67.61,87.11,95.57,98.59,99.56,99.88
"ART3610",0.0,0.0,0.0,0.0,6.02,50.6,80.98,93.83,98.08,99.5,99.86,99.96
"ART3710",0.0,0.0,0.0,0.0,5.73,50.31,81.02,93.73,98.13,99.51,99.89,99.97
"ART3830(Elective)",0.0,0.0,0.0,10.46,57.34,88.44,97.53,99.5,99.91,99.98,99.99,100.0
"ART3850(Elective)",0.0,0.0,0.0,2.49,37.36,78.99,95.37,99.03,99.79,99.96,100.0,100.0
"ART4600",0.0,0.0,0.0,0.0,0.0,4.41,39.98,72.33,89.45,96.33,98.87,99.63
"ART4610",0.0,0.0,0.0,6.67,24.68,66.47,92.23,98.4,99.66,99.93,99.99,100.0
"ART4920",0.0,0.0,0.0,0.0,2.94,27.47,75.95,94.71,98.91,99.78,99.96,100.0
"ART5000(Elective)",0.0,0.0,0.0,1.74,8.41,33.67,74.15,94.11,98.82,99.78,99.96,99.99
"ART5700",0.0,0.0,0.0,0.0,0.0,0.05,17.11,63.36,87.43,95.86,98.81,99.66
"HNRS2900",0.0,0.0,0.0,0.0,1.0,6.11,42.68,81.51,95.93,99.18,99.85,99.97
"ART5710",0.0,0.0,0.0,0.0,0.0,0.0,1.54,28.04,62.95,84.03,93.91,97.87
"GEOS3120",0.0,0.0,0.0,0.0,0.11,1.32,19.69,63.85,91.0,98.04,99.57,99.92
"HIST2100",0.0,0.0,0.0,0.0,0.0,0.29,9.97,49.87,85.66,96.96,99.4,99.87
"HIST3020",0.0,0.0,0.0,0.0,0.0,0.11,4.22,35.36,78.84,95.25,99.03,99.81
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.01,6.12,39.2,74.02,91.13,97.21
