"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"BIO200",80.09,96.03,99.23,99.83,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"BUS101",79.88,95.97,99.22,99.86,99.98,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MATH111",80.08,96.02,99.19,99.84,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"PSY201",80.16,96.01,99.25,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"WRI121",79.92,95.99,99.15,99.83,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"BUS223",79.71,95.95,99.18,99.83,99.95,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ECO201",0.0,64.09,89.66,97.32,99.38,99.85,99.97,99.99,100.0,100.0,100.0,100.0
"MIS102",0.0,79.98,96.01,99.24,99.86,99.98,100.0,100.0,100.0,100.0,100.0,100.0
"SPE111",0.0,79.65,95.78,99.15,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"WRI122",0.0,63.2,89.51,97.22,99.33,99.83,99.95,99.99,100.0,100.0,100.0,100.0
"ECO202",0.0,57.48,88.28,97.04,99.27,99.83,99.97,99.99,100.0,100.0,100.0,100.0
"SOC204",0.0,45.69,89.15,97.9,99.58,99.93,99.99,99.99,100.0,100.0,100.0,100.0
"SPE321",0.0,0.0,63.36,89.2,97.21,99.31,99.82,99.96,99.99,100.0,100.0,100.0
"WRI227",0.0,0.0,50.39,81.68,94.1,98.34,99.56,99.88,99.96,99.99,100.0,100.0
"ELEC",0.0,6.58,77.19,95.33,99.06,99.82,99.97,99.99,100.0,100.0,100.0,100.0
"ACC201",0.0,0.0,47.19,88.9,97.77,99.54,99.91,99.99,100.0,100.0,100.0,100.0
"BUS313",0.0,0.0,0.0,39.98,73.48,89.87,96.68,98.97,99.7,99.89,99.97,100.0
"BIO103",0.0,0.0,16.76,79.46,95.84,99.12,99.81,99.96,100.0,100.0,100.0,100.0
"MIS113",0.0,0.0,17.27,73.68,94.57,98.89,99.77,99.96,99.99,100.0,100.0,100.0
"BUS256",0.0,0.0,0.0,46.88,86.29,96.72,99.22,99.79,99.96,99.99,100.0,100.0
"BUS316",0.0,0.0,0.0,29.57,82.95,96.58,99.3,99.86,99.97,100.0,100.0,100.0
"COM205",0.0,0.0,0.0,11.44,74.84,94.78,98.96,99.79,99.96,100.0,100.0,100.0
"MATH361",0.0,0.0,0.0,0.53,59.39,91.17,98.27,99.66,99.93,99.99,100.0,100.0
"HUM",0.0,0.0,0.0,5.04,48.57,88.0,97.65,99.52,99.92,99.99,100.0,100.0
"ACC203",0.0,0.0,0.0,0.0,22.72,78.15,95.13,98.95,99.79,99.96,99.99,100.0
"BUS317",0.0,0.0,0.0,0.0,9.53,70.48,93.74,98.73,99.76,99.95,99.99,100.0
"SOC225",0.0,0.0,0.0,0.0,2.99,57.48,90.35,98.07,99.59,99.93,99.98,100.0
"ELEC",0.0,0.0,0.0,0.0,0.7,40.45,84.91,96.8,99.37,99.87,99.98,100.0
"ELEC",0.0,0.0,0.0,0.0,0.0,24.47,78.27,95.5,99.16,99.87,99.98,100.0
"ACC325",0.0,0.0,0.0,0.0,0.0,9.85,58.91,87.67,96.71,99.17,99.8,99.95
"BUS308",0.0,0.0,0.0,0.0,0.0,8.73,62.07,91.27,98.28,99.66,99.93,99.99
"MGT321",0.0,0.0,0.0,0.0,0.0,1.34,38.62,80.62,94.94,98.79,99.71,99.94
