"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"ACC201",80.31,96.14,99.2,99.83,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"BIO231",80.07,96.04,99.21,99.83,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"SPE111",79.98,96.12,99.2,99.86,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"WRI121",79.9,96.02,99.19,99.82,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"BIO232",0.0,64.13,89.62,97.34,99.3,99.83,99.96,99.99,100.0,100.0,100.0,100.0
"MATH111",79.91,96.0,99.21,99.84,99.98,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MIS102",0.0,79.79,96.03,99.26,99.83,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"WRI122",0.0,63.31,89.61,97.34,99.36,99.84,99.97,99.99,100.0,100.0,100.0,100.0
"ELEC",0.0,77.13,95.5,99.09,99.8,99.95,99.99,100.0,100.0,100.0,100.0,100.0
"ACC203",0.0,51.32,87.08,96.78,99.24,99.82,99.95,99.99,99.99,100.0,100.0,100.0
"BIO233",0.0,0.0,51.38,81.97,94.22,98.29,99.52,99.88,99.97,99.99,100.0,100.0
"BUS226",0.0,61.62,91.56,98.26,99.61,99.91,99.98,100.0,100.0,100.0,100.0,100.0
"BUS317",0.0,0.0,72.89,93.99,98.63,99.68,99.93,99.98,100.0,100.0,100.0,100.0
"WRI227",0.0,0.0,45.73,80.93,94.06,98.27,99.53,99.89,99.97,99.99,100.0,100.0
"ACC325",0.0,0.0,37.01,76.49,92.58,97.91,99.45,99.86,99.95,99.99,100.0,100.0
"BUS308",0.0,0.0,36.6,85.01,96.82,99.32,99.86,99.98,100.0,100.0,100.0,100.0
"BUS313",0.0,0.0,0.0,36.23,72.13,89.68,96.57,98.88,99.69,99.91,99.98,99.99
"MIS113",0.0,0.0,2.77,71.46,94.04,98.8,99.76,99.95,99.99,100.0,100.0,100.0
"PSY201",0.0,0.0,1.53,52.64,89.5,97.9,99.58,99.93,99.98,100.0,100.0,100.0
"BIO200",0.0,2.91,6.64,58.18,90.63,98.16,99.62,99.91,99.98,100.0,100.0,100.0
"BUS349",0.0,0.0,0.0,21.83,75.88,94.02,98.52,99.66,99.92,99.98,100.0,100.0
"ECO201",0.0,0.0,0.0,7.89,71.24,93.96,98.77,99.76,99.93,99.99,100.0,100.0
"MATH243",0.0,0.0,0.0,0.38,52.33,89.21,97.83,99.55,99.91,99.98,100.0,100.0
"PHIL342",0.0,0.0,0.0,0.0,41.41,84.56,96.77,99.35,99.87,99.97,99.99,100.0
"BUS356",0.0,0.0,0.0,0.0,15.22,73.63,94.4,98.85,99.75,99.94,99.99,100.0
"BUS223",0.0,0.0,0.0,0.24,8.84,65.13,92.18,98.37,99.67,99.93,99.98,100.0
"BUS495",0.0,0.0,58.83,77.02,89.89,97.45,99.48,99.9,99.98,99.99,100.0,100.0
"COM205",0.0,0.0,0.0,0.03,1.21,50.14,87.96,97.54,99.51,99.9,99.98,100.0
"ECO202",0.0,0.0,0.0,0.0,0.21,33.88,81.78,96.26,99.24,99.85,99.97,100.0
"SPE321",0.0,0.0,0.0,0.0,0.09,19.26,73.99,94.38,98.85,99.76,99.95,99.99
"BUS441",0.0,0.0,0.0,0.0,0.0,9.66,63.47,90.56,97.82,99.5,99.89,99.98
"BUS457",0.0,0.0,0.0,0.0,0.0,5.88,55.85,87.95,97.1,99.33,99.87,99.97
"BUS467",0.0,0.0,0.0,0.0,0.0,1.72,45.58,85.43,96.83,99.38,99.89,99.98
"BUS496",0.0,0.0,0.0,0.83,20.4,44.24,71.8,92.63,98.36,99.66,99.92,99.99
"MIS345",0.0,0.0,0.0,0.0,0.0,0.0,26.2,75.42,93.8,98.53,99.64,99.9
"BUS316",0.0,0.0,0.0,0.0,0.01,0.09,16.65,69.9,93.07,98.61,99.73,99.95
"BUS497",0.0,0.0,0.0,0.0,0.0,0.0,3.21,46.04,82.14,94.96,98.7,99.69
"ELEC",0.0,0.0,0.0,0.0,0.0,0.05,5.56,53.76,88.07,97.47,99.49,99.89
"ELEC",0.0,0.0,0.0,0.0,0.0,0.02,2.14,41.14,82.98,96.27,99.2,99.87
"HUM",0.0,0.0,0.0,0.0,0.0,0.01,0.5,27.62,76.08,94.62,98.89,99.78
"BUS478",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.85,67.44,92.15,98.3,99.65
"PSY347",0.0,0.0,0.0,0.0,0.0,0.01,0.02,8.33,57.45,89.13,97.66,99.53
"WRI410",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.47,46.31,84.84,96.66,99.34
"HUM",0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.12,34.75,79.49,95.38,99.1
"ELEC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,23.79,72.19,93.61,98.68
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,10.36,48.77,82.37,95.64
