"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"ACC201",79.67,96.02,99.19,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MIS113",79.99,95.99,99.16,99.85,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"SPE111",79.95,95.97,99.18,99.83,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"WRI121",80.09,95.98,99.19,99.86,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"BIO200",79.91,96.03,99.21,99.85,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MATH111",0.0,79.98,95.95,99.17,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"MIS102",80.01,95.99,99.26,99.85,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"SPE321",0.0,63.86,89.49,97.26,99.31,99.85,99.97,99.99,100.0,100.0,100.0,100.0
"WRI122",0.0,63.45,89.47,97.16,99.34,99.84,99.96,99.99,100.0,100.0,100.0,100.0
"ACC203",0.0,61.35,89.16,97.22,99.31,99.82,99.96,99.99,100.0,100.0,100.0,100.0
"BUS223",0.0,53.37,90.56,98.15,99.6,99.92,99.98,100.0,100.0,100.0,100.0,100.0
"ECO201",0.0,0.0,78.94,95.65,99.12,99.84,99.97,100.0,100.0,100.0,100.0,100.0
"WRI227",0.0,0.0,49.73,81.63,94.03,98.28,99.52,99.86,99.97,99.99,100.0,100.0
"ACC325",0.0,0.0,38.76,76.27,92.45,97.84,99.42,99.84,99.95,99.99,100.0,100.0
"BIO103",0.0,0.0,59.77,91.78,98.35,99.71,99.94,99.99,100.0,100.0,100.0,100.0
"BUS313",0.0,0.0,0.0,39.84,73.33,89.95,96.59,98.87,99.67,99.93,99.97,99.99
"MATH243",0.0,0.0,24.15,82.35,96.37,99.31,99.88,99.98,99.99,100.0,100.0,100.0
"ECO202",0.0,0.0,3.26,70.1,93.8,98.7,99.75,99.95,99.99,100.0,100.0,100.0
"PSY201",0.0,0.0,0.0,49.89,89.15,97.89,99.57,99.93,99.98,100.0,100.0,100.0
"MS ELEC",0.0,0.0,0.0,24.11,81.21,96.16,99.25,99.86,99.97,100.0,100.0,100.0
"HUM",0.0,0.0,0.0,6.87,71.74,93.96,98.75,99.74,99.96,99.99,100.0,100.0
"BUS226",0.0,0.0,0.0,5.31,61.53,91.51,98.27,99.64,99.94,99.98,100.0,100.0
"BUS317",0.0,0.0,0.0,0.0,47.7,87.63,97.53,99.53,99.91,99.98,100.0,100.0
"BUS356",0.0,0.0,0.0,0.0,19.06,76.56,94.93,98.93,99.78,99.96,99.99,100.0
"BUS495",79.92,93.01,96.16,98.36,99.47,99.89,99.99,100.0,100.0,100.0,100.0,100.0
"ELEC",0.0,0.0,0.0,0.0,21.79,73.19,94.22,98.79,99.76,99.95,99.99,100.0
"BUS308",0.0,0.0,0.0,0.0,3.02,56.62,90.2,98.07,99.59,99.93,99.98,100.0
"BUS457",0.0,0.0,0.0,0.0,0.0,33.36,75.68,93.01,98.24,99.54,99.89,99.97
"BUS496",0.0,9.02,18.81,40.44,66.28,90.0,97.72,99.51,99.9,99.97,99.99,100.0
"MIS345",0.0,0.0,0.0,0.0,0.0,21.65,65.7,88.47,96.46,98.96,99.71,99.92
"BUS316",0.0,0.0,0.0,0.0,0.8,25.89,76.72,94.91,99.04,99.82,99.96,99.99
"BUS497",0.0,0.0,0.0,0.0,0.0,10.49,62.03,89.83,97.5,99.38,99.86,99.97
"PHIL342",0.0,0.0,0.0,0.0,0.0,6.11,57.35,89.5,97.74,99.55,99.9,99.98
"PSY347",0.0,0.0,0.0,0.0,0.02,2.17,44.17,84.86,96.77,99.38,99.88,99.98
"BUS478",0.0,0.0,0.0,0.0,0.0,0.49,29.96,77.88,94.92,98.94,99.77,99.95
"RDSC365",0.0,0.0,0.0,0.0,0.01,0.15,18.3,70.42,93.31,98.65,99.76,99.95
"WRI410",0.0,0.0,0.0,0.0,0.0,0.0,9.03,60.55,90.22,97.96,99.59,99.9
"HUM",0.0,0.0,0.0,0.0,0.0,0.04,3.98,49.65,86.72,97.29,99.45,99.89
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,1.24,24.96,67.27,90.74,97.85,99.52
