"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"MATH 111",79.91,96.01,99.24,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MIS 255",79.86,96.0,99.17,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"SPE 111",80.04,96.09,99.22,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"WRI 121",80.12,96.04,99.22,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"BIO 200",80.02,96.04,99.19,99.84,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ECO 201",80.22,95.98,99.15,99.84,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"MIS 102",0.0,79.84,95.92,99.18,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"MIS 145",0.0,80.02,95.92,99.18,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"WRI 122",0.0,63.58,89.56,97.27,99.3,99.82,99.96,99.99,100.0,100.0,100.0,100.0
"HUM",0.0,75.42,95.07,99.0,99.79,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"ECO 202",0.0,59.18,91.74,98.36,99.69,99.94,99.98,100.0,100.0,100.0,100.0,100.0
"MATH 361",0.0,26.12,81.73,95.76,99.02,99.8,99.95,99.99,100.0,100.0,100.0,100.0
"MIS 251",0.0,0.0,62.74,89.41,97.19,99.28,99.83,99.96,99.99,100.0,100.0,100.0
"MIS 311",0.0,0.0,70.02,93.3,98.53,99.66,99.93,99.98,100.0,100.0,100.0,100.0
"MIS 275",0.0,0.0,57.41,91.07,98.25,99.64,99.93,99.99,100.0,100.0,100.0,100.0
"ACC 201",0.0,0.0,29.45,84.28,96.87,99.39,99.88,99.97,99.99,100.0,100.0,100.0
"BUS 317",0.0,0.0,11.38,76.21,95.09,99.0,99.79,99.95,99.99,100.0,100.0,100.0
"MIS 118",0.0,0.0,0.42,63.74,92.41,98.51,99.71,99.93,99.99,100.0,100.0,100.0
"WRI 227",0.0,0.0,0.0,48.25,86.68,96.77,99.22,99.79,99.95,99.99,100.0,100.0
"MATH 362",0.0,0.0,0.0,28.12,79.92,95.14,98.87,99.71,99.94,99.99,100.0,100.0
"MIS 218",0.0,0.0,0.0,0.15,47.36,82.15,94.95,98.7,99.68,99.93,99.99,99.99
"MIS 357",0.0,0.0,0.27,14.48,74.5,94.78,98.93,99.78,99.94,99.99,100.0,100.0
"SOC 225",0.0,0.0,0.0,2.33,57.08,90.48,98.12,99.61,99.91,99.98,99.99,100.0
"ACC 203",0.0,0.0,0.0,0.01,33.37,81.21,95.71,99.05,99.79,99.94,99.99,100.0
"BIO 103",0.0,0.0,0.0,0.0,15.45,72.36,94.11,98.84,99.77,99.95,99.99,100.0
"BUS 223",0.0,0.0,0.0,0.0,8.1,64.87,92.18,98.41,99.67,99.93,99.98,99.99
"MGT 335",0.0,0.0,0.0,0.0,0.91,47.4,86.66,97.1,99.37,99.87,99.97,100.0
"ACC 325",0.0,0.0,0.0,0.0,0.0,22.5,68.0,90.07,97.28,99.26,99.8,99.95
"BUS 313",0.0,0.0,0.0,0.0,0.0,23.96,74.73,93.99,98.68,99.68,99.94,99.99
"MIS 312",0.0,0.0,0.0,0.0,0.0,8.28,62.85,91.4,98.24,99.63,99.91,99.98
"MIS 334",0.0,0.0,0.0,0.0,0.0,2.2,48.7,86.52,97.04,99.41,99.88,99.98
"BUS 356",0.0,0.0,0.0,0.0,0.0,0.29,32.67,79.54,95.51,99.1,99.8,99.96
"MIS 322",0.0,0.0,0.0,0.0,0.0,0.0,14.43,74.75,112.49,120.94,122.5,122.84
"MIS 341",0.0,0.0,0.0,0.0,0.0,0.0,3.98,48.85,85.95,97.06,99.39,99.87
"PHIL 342",0.0,0.0,0.0,0.0,0.0,0.0,12.91,55.49,87.21,97.17,99.46,99.88
"SOC 305",0.0,0.0,0.0,0.0,0.0,0.0,0.7,31.02,76.22,94.61,98.88,99.77
"BUS 316",0.0,0.0,0.0,0.0,0.0,0.0,0.08,17.11,65.07,91.42,98.21,99.68
"MIS 344",0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,49.28,84.62,96.24,99.14
"MIS 442",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,35.24,74.39,92.42,97.93
"MIS 495",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.72,50.42,82.84,95.08,98.66
"SPE 321",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46,33.39,77.37,94.85,98.97
"BUS 457",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,21.48,67.8,91.87,98.3
"MIS 345",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,10.51,54.91,87.33,97.19
"MIS 445",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98,42.39,81.7,95.85
"MIS 496",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,25.98,66.32,88.79
"WRI 410",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,27.62,71.1,92.74
"ANTH 452",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,17.98,61.76,89.4
"MIS 446",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,9.43,48.87,82.89
"MIS 497",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,20.65,56.76
"STAT 414",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,31.0,72.6
"ELEC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,3.35,29.09,68.87
"BUS 478",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,11.53,51.95
"MIS 498",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,16.13
"PSY 347",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,5.86,40.23
"ELEC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57,29.42
"HUM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,20.76
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,4.77
