"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"BUS1750",80.07,96.07,99.23,99.84,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"DANC1450",79.96,96.06,99.21,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ENGL1000",79.96,95.89,99.14,99.82,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MATH1140",80.18,96.13,99.22,99.85,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"CIS1020",80.16,96.07,99.22,99.85,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"ENGL1050",0.0,79.95,95.96,99.23,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"HOL1000",0.0,79.6,95.9,99.17,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"MATH1160",0.0,75.38,95.08,98.99,99.78,99.96,99.99,100.0,100.0,100.0,100.0,100.0
"SOC2000",0.0,58.99,91.82,98.33,99.68,99.93,99.99,100.0,100.0,100.0,100.0,100.0
"ACTY2100",0.0,26.23,84.83,96.96,99.39,99.88,99.99,100.0,100.0,100.0,100.0,100.0
"ECON2010",0.0,0.0,78.12,95.67,99.18,99.84,99.97,99.99,100.0,100.0,100.0,100.0
"MGMT2500",0.0,0.0,71.54,93.57,98.58,99.68,99.91,99.98,100.0,100.0,100.0,100.0
"STAT2160",0.0,0.0,52.97,86.62,96.44,99.08,99.79,99.94,99.99,100.0,100.0,100.0
"ACTY2110",0.0,0.0,19.31,71.55,91.87,97.82,99.48,99.88,99.97,99.99,100.0,100.0
"BUS2700",0.0,0.0,52.46,89.56,97.93,99.61,99.93,99.99,100.0,100.0,100.0,100.0
"ECON2020",0.0,0.0,27.42,82.6,96.47,99.36,99.85,99.97,99.99,100.0,100.0,100.0
"GWS2000",0.0,0.0,0.0,63.9,92.59,98.46,99.7,99.93,99.99,99.99,100.0,100.0
"MKTG2500",0.0,0.0,0.0,56.5,90.5,98.01,99.63,99.91,99.99,100.0,100.0,100.0
"THEA1000",0.0,0.0,0.0,28.71,83.0,96.53,99.3,99.87,99.98,100.0,100.0,100.0
"REL1000",0.0,0.0,0.0,11.6,74.69,94.8,98.96,99.81,99.96,99.99,100.0,100.0
"MGMT2520",0.0,0.0,0.0,2.26,63.19,92.17,98.44,99.7,99.95,99.98,100.0,100.0
"ECON3090",0.0,0.0,0.0,0.0,45.06,86.82,97.21,99.41,99.86,99.97,99.99,100.0
"LAW3800",0.0,0.0,0.0,0.0,28.37,81.77,96.32,99.26,99.86,99.97,99.99,100.0
"MGMT2750",0.0,0.0,0.0,0.0,14.34,74.3,94.57,98.93,99.79,99.96,99.99,100.0
"MGMT3010(Elect)",0.0,0.0,0.0,0.0,6.95,65.78,92.36,98.38,99.62,99.93,99.98,100.0
"BUS3750",0.0,0.0,0.0,0.0,4.03,55.45,88.65,97.38,99.37,99.86,99.97,99.99
"DANC1020",80.03,92.72,94.32,97.52,98.49,99.34,99.85,99.97,100.0,100.0,100.0,100.0
"DANC3897",0.0,51.27,59.47,78.84,86.86,94.43,98.79,99.75,99.95,99.99,100.0,100.0
"LAW3840",0.0,0.0,0.0,0.0,0.48,41.35,85.01,96.9,99.38,99.87,99.98,100.0
"MGMT3520",0.0,0.0,0.0,0.0,0.0,26.98,78.93,95.56,99.07,99.82,99.97,100.0
"MGMT4070",0.0,0.0,0.0,0.0,0.0,13.54,67.65,91.83,98.09,99.59,99.9,99.98
"ANTH1200",0.0,0.0,0.0,0.0,0.0,7.73,63.25,91.65,98.34,99.64,99.93,99.98
"GEOS3120",0.0,0.0,0.0,0.0,0.0,2.98,52.08,88.17,97.6,99.53,99.91,99.98
"MGMT4320",0.0,0.0,0.0,0.0,0.0,0.99,39.13,83.15,96.47,99.28,99.86,99.98
"MGMT4510",0.0,0.0,0.0,0.0,0.0,0.14,25.81,76.88,94.98,98.99,99.81,99.97
"MGMT4540",0.0,0.0,0.0,0.0,0.0,0.0,14.88,68.92,93.09,98.6,99.73,99.94
"BUS4750",0.0,0.0,0.0,0.0,0.0,0.0,7.35,59.38,90.3,98.06,99.62,99.93
"FCS2140",0.0,0.0,0.0,0.0,0.0,0.0,3.02,48.1,86.26,97.09,99.41,99.89
"FIN3200",0.0,0.0,0.0,0.0,0.0,0.0,1.09,35.95,80.93,95.86,99.18,99.84
"FIN3600(Elect)",0.0,0.0,0.0,0.0,0.0,0.0,0.27,24.55,74.43,94.28,98.81,99.78
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.09,10.6,50.89,84.23,96.25,99.26
