"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"MATH111",79.87,95.89,99.2,99.86,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"SPE111",80.15,96.09,99.22,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"WRI121",80.1,96.03,99.21,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"LAB SCI",80.06,96.03,99.19,99.83,99.98,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ECO201",0.0,63.76,89.47,97.12,99.33,99.84,99.96,99.99,100.0,100.0,100.0,100.0
"MIS102",79.59,96.0,99.21,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MIS145",0.0,63.76,89.64,97.26,99.32,99.85,99.98,99.99,100.0,100.0,100.0,100.0
"WRI122",0.0,64.13,89.75,97.4,99.42,99.88,99.97,99.99,100.0,100.0,100.0,100.0
"HUM",80.17,95.57,99.16,99.83,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"BUS215",0.0,73.17,94.61,98.93,99.8,99.97,100.0,100.0,100.0,100.0,100.0,100.0
"ECO202",0.0,32.81,82.87,95.95,99.06,99.8,99.96,99.99,100.0,100.0,100.0,100.0
"MIS251",0.0,0.0,50.61,81.92,94.28,98.28,99.54,99.89,99.97,99.99,100.0,100.0
"MIS275",0.0,14.45,79.68,95.92,99.18,99.83,99.97,100.0,100.0,100.0,100.0,100.0
"MIS311",0.0,6.69,64.54,92.1,98.33,99.64,99.93,99.98,99.99,100.0,100.0,100.0
"ACC201",0.0,1.63,44.53,87.98,97.68,99.54,99.89,99.99,99.99,100.0,100.0,100.0
"MIS118",0.0,0.0,15.82,79.96,95.84,99.15,99.84,99.97,99.99,100.0,100.0,100.0
"MIS273",0.0,0.0,0.0,56.57,89.02,97.26,99.31,99.84,99.96,99.99,100.0,100.0
"WRI227",0.0,0.0,1.9,55.35,88.58,97.25,99.39,99.85,99.97,99.99,100.0,100.0
"BUS223",0.0,0.0,0.94,38.94,85.79,97.13,99.39,99.89,99.98,99.99,100.0,100.0
"MATH361",0.0,0.0,0.0,16.03,76.33,95.12,99.03,99.79,99.97,99.99,100.0,100.0
"MIS218",0.0,0.0,0.0,3.6,53.43,86.3,96.34,99.13,99.81,99.96,99.98,100.0
"SPE321",0.0,0.0,0.04,0.77,56.98,90.3,98.04,99.62,99.92,99.98,100.0,100.0
"ELEC",0.0,0.0,0.0,0.22,35.7,84.1,96.69,99.29,99.85,99.98,100.0,100.0
"ACC203",0.0,0.0,0.0,0.06,18.93,74.45,94.22,98.77,99.73,99.96,99.99,100.0
"MATH362",0.0,0.0,0.0,0.0,5.87,54.95,86.59,96.5,99.16,99.81,99.96,99.99
"MGT335",0.0,0.0,0.0,0.0,1.31,53.89,89.28,97.82,99.56,99.9,99.97,100.0
"PSY201",0.0,0.0,0.0,0.0,0.04,35.67,82.8,96.39,99.23,99.85,99.97,100.0
"ACC325",0.0,0.0,0.0,0.0,0.0,12.88,60.37,87.38,96.52,99.06,99.78,99.96
"BUS356",0.0,0.0,0.0,0.0,0.01,15.12,67.24,92.46,98.44,99.68,99.94,99.99
"MIS312",0.0,0.0,0.0,0.0,0.0,2.43,44.36,84.73,96.71,99.31,99.87,99.97
"ELEC",0.0,0.0,0.0,0.0,0.0,0.01,21.92,73.21,94.0,98.79,99.75,99.95
"MIS322",0.0,0.0,0.0,0.0,0.0,0.0,10.21,65.12,107.27,118.27,120.31,120.75
"MIS341",0.0,0.0,0.0,0.0,0.0,0.0,3.47,43.04,82.99,96.23,99.21,99.85
"WRI350",0.0,0.0,0.0,0.0,0.0,0.65,23.75,55.36,85.0,96.58,99.25,99.86
"ELEC",0.0,0.0,0.0,0.0,0.0,0.0,0.87,28.68,74.52,94.08,98.78,99.76
"BUS226",0.0,0.0,0.0,0.0,0.0,0.0,0.09,14.92,62.33,90.21,97.98,99.57
"MIS495",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.99,44.23,79.37,93.83,98.32
"ELEC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.56,46.69,84.35,96.67,99.32
"ELEC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,34.71,77.96,94.88,98.92
"ELEC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,22.17,67.81,91.8,98.26
"BUS457",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,18.17,63.49,90.06,97.92
"MGT461",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,7.36,48.16,84.29,96.42
"MIS496",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,25.25,64.85,87.44
"PSY347",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66,29.82,72.88,93.13
"HUM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,20.42,64.23,90.13
"ANTH452",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,13.79,55.36,86.59
"MIS497",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,19.8,55.38
"PHIL342",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,7.36,43.52,80.19
"ELEC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,3.13,32.36,73.2
"ELEC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,15.08,56.21
"BUS478",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,15.08,53.67
"MIS498",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,14.71
"ELEC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,4.12,33.29
"ELEC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.43,22.14
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,5.34
