"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"BUS 1000",79.79,95.91,99.19,99.86,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ENGL 1050",80.15,96.03,99.22,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"BUS 1750",80.07,95.96,99.22,99.86,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"CIS 1020",79.98,95.86,99.19,99.83,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"MATH 1160",79.87,95.99,99.21,99.85,99.98,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"AREA 1",79.95,96.01,99.22,99.81,99.95,99.98,100.0,100.0,100.0,100.0,100.0,100.0
"MKTG 2500",0.0,80.04,96.07,99.2,99.83,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"ACTY 2100",0.0,79.71,96.08,99.22,99.86,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"ECON 2010",0.0,78.67,95.69,99.12,99.83,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"ECON 2020",0.0,71.92,94.4,98.87,99.77,99.95,99.99,100.0,100.0,100.0,100.0,100.0
"STAT 2160",0.0,52.25,90.36,98.08,99.59,99.92,99.98,100.0,100.0,100.0,100.0,100.0
"MGMT 2800",0.0,20.97,83.94,96.7,99.34,99.86,99.98,100.0,100.0,100.0,100.0,100.0
"AREA 2",0.0,0.0,78.38,95.77,99.11,99.81,99.96,100.0,100.0,100.0,100.0,100.0
"BUS 2200",0.0,0.0,74.25,94.79,98.94,99.8,99.97,100.0,100.0,100.0,100.0,100.0
"CHEM 1100",80.16,96.23,161.87,198.15,199.33,199.5,199.53,199.54,199.54,199.54,199.54,199.54
"CHEM 1110",0.0,0.0,45.37,88.77,97.79,99.57,99.91,99.98,100.0,100.0,100.0,100.0
"ACTY 2110",0.0,0.0,20.86,79.94,95.42,98.99,99.77,99.95,99.99,100.0,100.0,100.0
"CIS 2700",0.0,0.0,6.86,76.41,95.03,98.96,99.77,99.95,99.99,100.0,100.0,100.0
"MGMT 2500",0.0,0.0,0.0,67.6,93.47,98.67,99.72,99.95,99.99,100.0,100.0,100.0
"AREA 3",0.0,0.0,0.0,53.86,90.5,98.11,99.63,99.92,99.98,99.99,100.0,100.0
"EDMM 1420",0.0,0.0,0.0,38.37,86.74,97.35,99.5,99.9,99.99,100.0,100.0,100.0
"MGMT 3200",0.0,0.0,0.0,14.14,66.12,89.6,97.1,99.23,99.83,99.96,99.99,100.0
"EDMM 3280",0.0,0.0,0.0,19.19,78.25,95.26,99.03,99.79,99.97,99.99,100.0,100.0
"MGMT 3810",0.0,0.0,0.0,2.71,67.17,92.74,98.39,99.68,99.93,99.99,100.0,100.0
"MKTG 3720",0.0,0.0,0.0,0.0,55.4,90.48,98.16,99.63,99.91,99.98,100.0,100.0
"AREA 4",0.0,0.0,0.0,0.0,39.44,86.26,97.25,99.45,99.88,99.97,100.0,100.0
"EDMM 1500",0.0,0.0,45.33,89.05,122.01,187.44,198.4,199.0,199.1,199.12,199.12,199.12
"EDMM 1501",0.0,0.0,0.0,0.0,11.65,73.01,94.44,98.81,99.76,99.95,99.99,100.0
"BCM 3700",0.0,0.0,0.0,0.0,3.26,62.01,91.91,98.4,99.68,99.94,99.99,100.0
"FIN 3200",0.0,0.0,0.0,0.0,0.46,48.03,87.91,97.52,99.48,99.9,99.98,99.99
"BUS 3750",0.0,0.0,0.0,0.0,0.0,31.69,81.6,96.0,99.16,99.82,99.98,100.0
"BUS 4500",0.0,0.0,0.0,0.0,0.0,0.36,38.26,77.66,93.56,98.3,99.58,99.91
"MGMT 4640",0.0,0.0,0.0,0.0,0.0,0.0,25.2,70.43,90.97,97.52,99.36,99.85
"Elective 1",0.0,0.0,0.0,0.0,0.0,17.77,75.6,94.95,98.95,99.8,99.96,99.99
"Elective 2",0.0,0.0,0.0,0.0,0.0,8.88,68.12,93.14,98.6,99.76,99.95,99.98
"AREA 5",0.0,0.0,0.0,0.0,0.0,4.78,56.08,89.44,97.8,99.54,99.91,99.98
"EDMM 4880",0.0,0.0,0.0,0.0,0.0,1.0,33.51,81.04,96.18,99.3,99.86,99.98
"MAJOR1",0.0,0.0,0.0,0.0,0.0,0.0,12.25,69.52,93.4,98.64,99.71,99.95
"MAJOR2",0.0,0.0,0.0,0.0,0.0,0.0,5.72,59.97,90.88,98.21,99.63,99.92
"LAW 3800",0.0,0.0,0.0,0.0,0.0,0.0,2.47,47.08,86.61,97.29,99.49,99.89
"GEOG 3010",0.0,0.0,0.0,0.0,0.0,0.0,0.51,32.67,80.27,96.01,99.21,99.83
"MKTG 4630",0.0,0.0,0.0,0.0,0.0,0.0,0.03,18.48,70.71,93.21,98.57,99.67
"LAW 4840",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,37.97,76.9,93.27,98.31
"BUS 4000",0.0,0.0,0.0,0.0,11.57,71.36,82.88,85.43,94.2,98.68,99.74,99.95
"BUS 4750",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,35.09,75.08,92.66,98.09
"AREA 8",0.0,0.0,0.0,0.0,0.0,1.81,11.66,23.51,67.1,92.03,98.35,99.67
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,16.32,55.81,84.86,95.83
