"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"ENGL1050",80.13,95.9,99.15,99.82,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MATH1100",79.93,95.97,99.22,99.83,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"GE Area I",80.01,96.06,99.16,99.84,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"HSV2250",80.1,95.96,99.24,99.86,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"BIOS1120",79.92,95.88,99.19,99.83,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"PHIL2010",0.0,79.66,95.84,99.16,99.83,99.97,100.0,100.0,100.0,100.0,100.0,100.0
"PSY1000",0.0,79.08,95.87,99.23,99.88,99.98,100.0,100.0,100.0,100.0,100.0,100.0
"BUS1750",0.0,75.41,95.18,99.11,99.83,99.97,100.0,100.0,100.0,100.0,100.0,100.0
"BIOS2110",0.0,59.14,91.76,98.3,99.66,99.92,99.98,100.0,100.0,100.0,100.0,100.0
"HSV4860",0.0,26.26,84.69,96.91,99.41,99.88,99.97,99.99,100.0,100.0,100.0,100.0
"HOL1000",0.0,0.0,77.33,95.55,99.08,99.8,99.95,99.99,100.0,100.0,100.0,100.0
"HSV3700",0.0,0.0,70.1,94.0,98.83,99.75,99.96,99.99,100.0,100.0,100.0,100.0
"Elective",0.0,0.0,55.52,90.76,98.22,99.67,99.94,99.99,100.0,100.0,100.0,100.0
"BIOS2400",0.0,0.0,30.04,84.4,96.91,99.39,99.88,99.98,100.0,100.0,100.0,100.0
"HSV3900",0.0,0.0,0.0,55.7,86.38,96.33,99.08,99.78,99.95,99.99,100.0,100.0
"Elective",0.0,0.0,8.55,74.42,94.76,99.0,99.82,99.95,99.99,100.0,100.0,100.0
"MDSC2010",0.0,52.52,88.7,97.08,99.43,99.87,99.97,99.99,100.0,100.0,100.0,100.0
"HSV4880",0.0,0.0,3.82,59.98,91.5,98.36,99.65,99.94,99.99,100.0,100.0,100.0
"HSV4400",0.0,0.0,0.0,37.57,85.62,97.06,99.38,99.88,99.98,100.0,100.0,100.0
"HOL4700",0.0,0.0,0.0,17.35,77.59,95.47,99.08,99.83,99.97,99.99,100.0,100.0
"STAT1600",0.0,0.0,0.0,5.14,68.53,93.33,98.66,99.71,99.94,99.99,100.0,100.0
"Elective",0.0,0.0,0.0,3.34,59.03,90.93,98.21,99.67,99.94,99.99,100.0,100.0
"Elective",0.0,0.0,0.0,0.0,34.87,83.7,96.67,99.33,99.85,99.97,99.99,100.0
"HSV4800",0.0,0.0,0.0,0.0,28.46,78.64,95.35,99.09,99.8,99.95,99.99,100.0
"PHIL3340",0.0,0.0,0.0,0.0,7.43,66.69,92.71,98.51,99.71,99.94,99.98,100.0
"HSV3650",0.0,0.0,26.24,40.95,67.19,88.25,97.35,99.48,99.9,99.99,100.0,100.0
"Elective",0.0,0.0,0.0,0.0,1.05,50.48,88.06,97.58,99.52,99.91,99.98,100.0
"Elective",0.0,0.0,0.0,0.0,0.0,34.69,82.16,96.33,99.21,99.83,99.97,99.99
"HSV4200",0.0,0.0,0.0,0.0,0.0,20.36,74.4,94.39,98.86,99.78,99.96,99.99
"HSV4100",0.0,0.0,0.0,0.0,0.0,8.23,63.75,91.65,98.33,99.68,99.94,99.99
"GE Area IV",0.0,0.0,0.0,0.0,0.0,1.85,49.1,87.18,97.41,99.5,99.9,99.98
"Elective",0.0,0.0,0.0,0.0,0.0,1.22,37.19,82.1,96.14,99.24,99.83,99.97
"Elective",0.0,0.0,0.0,0.0,0.0,0.0,21.75,73.38,94.08,98.8,99.75,99.95
"HSV4900",0.0,0.0,0.0,0.0,0.0,0.0,9.97,66.52,104.24,113.08,114.85,115.25
"HSV4780",0.0,0.0,0.0,0.0,0.0,0.0,3.65,49.65,86.43,97.0,99.39,99.89
"Elective",0.0,0.0,0.0,0.0,0.0,0.0,1.12,36.51,80.38,95.78,99.1,99.81
"Elective",0.0,0.0,0.0,0.0,0.0,0.0,0.16,20.16,68.21,92.19,98.38,99.69
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.04,10.24,50.16,83.57,95.93,99.16
