"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"BUS101",80.33,96.06,99.19,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MATH111",80.05,96.05,99.22,99.87,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"PSY201",79.87,95.99,99.22,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"WRI121",79.83,96.09,99.22,99.85,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"LAB SCI",79.99,96.01,99.16,99.83,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"BUS215",0.0,79.9,95.97,99.19,99.83,99.97,100.0,100.0,100.0,100.0,100.0,100.0
"ECO201",0.0,63.86,89.63,97.38,99.36,99.86,99.97,99.99,100.0,100.0,100.0,100.0
"MIS102",80.21,96.07,99.2,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"SPE111",0.0,77.95,95.67,99.14,99.83,99.96,99.99,100.0,100.0,100.0,100.0,100.0
"WRI122",0.0,58.75,88.49,97.08,99.32,99.85,99.96,99.99,100.0,100.0,100.0,100.0
"ELEC",0.0,54.13,90.69,98.2,99.62,99.93,99.98,99.99,100.0,100.0,100.0,100.0
"ECO202",0.0,26.18,81.34,95.64,99.01,99.78,99.95,99.99,100.0,100.0,100.0,100.0
"MIS206",0.0,0.0,77.25,95.58,99.13,99.81,99.96,99.99,100.0,100.0,100.0,100.0
"SPE321",0.0,0.0,58.52,88.3,96.98,99.28,99.82,99.96,99.99,100.0,100.0,100.0
"WRI227",0.0,0.0,43.03,79.21,93.47,98.16,99.53,99.87,99.97,99.99,100.0,100.0
"HUM",0.0,0.0,54.69,90.5,98.05,99.63,99.92,99.98,99.99,100.0,100.0,100.0
"ACC201",0.0,0.0,10.69,77.41,95.45,99.06,99.82,99.97,100.0,100.0,100.0,100.0
"BUS223",0.0,0.0,18.81,74.77,94.71,98.94,99.8,99.95,99.99,100.0,100.0,100.0
"MATH361",0.0,0.0,0.0,54.79,90.15,98.04,99.63,99.93,99.99,100.0,100.0,100.0
"MIS113",0.0,0.0,0.0,37.21,85.19,97.01,99.4,99.87,99.97,100.0,100.0,100.0
"BUS256",0.0,0.0,0.0,16.91,74.71,94.22,98.72,99.71,99.93,99.98,99.99,100.0
"BUS318",0.0,0.0,0.0,3.01,55.43,86.82,96.49,99.16,99.8,99.96,99.99,100.0
"BUS349",0.0,0.0,0.0,2.13,56.67,90.02,97.92,99.59,99.91,99.98,100.0,100.0
"MATH371",0.0,0.0,0.0,0.0,37.84,84.43,96.72,99.31,99.87,99.97,99.99,100.0
"PHIL342",0.0,0.0,0.0,0.0,21.71,75.9,94.95,99.0,99.79,99.96,99.99,100.0
"ACC203",0.0,0.0,0.0,0.0,7.95,62.81,91.13,98.11,99.61,99.92,99.99,100.0
"BUS397",0.0,0.0,0.0,0.0,0.75,40.86,79.47,94.23,98.48,99.61,99.9,99.98
"MIS225",0.0,0.0,0.0,0.0,0.0,37.45,83.13,96.52,99.33,99.84,99.97,99.99
"ELEC",0.0,0.0,0.0,0.0,1.33,29.01,77.52,95.17,99.0,99.81,99.97,99.99
"BUS314",0.0,0.0,0.0,0.0,0.0,5.35,49.22,82.35,94.89,98.69,99.71,99.94
"BUS356",0.0,0.0,0.0,0.0,0.0,7.69,57.06,89.35,97.74,99.53,99.91,99.98
"BUS467",0.0,0.0,0.0,0.0,0.0,1.94,41.45,83.51,96.59,99.3,99.86,99.97
"MGT321",0.0,0.0,0.0,0.0,0.0,0.0,24.77,74.75,94.46,98.88,99.78,99.95
"MIS375",0.0,0.0,0.0,0.0,0.0,0.0,12.81,63.3,90.75,97.99,99.56,99.9
"ACC245",0.0,0.0,0.0,0.0,0.0,0.0,5.73,53.01,87.68,97.46,99.5,99.9
"ACC325",0.0,0.0,0.0,0.0,0.0,0.0,1.17,35.34,79.29,95.29,98.99,99.8
"BUS226",0.0,0.0,0.0,0.0,0.0,0.0,2.22,31.0,75.43,94.25,98.84,99.74
"BUS335",0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.46,56.54,86.1,96.11,98.97
"COMM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.01,53.7,87.54,97.27,99.41
"ACC205",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.51,42.42,82.31,96.19,99.22
"BUS456",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,32.25,76.53,94.53,98.88
"MGT335",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,23.1,69.09,92.38,98.43
"ELEC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,13.67,59.82,89.39,97.72
"ELEC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.36,49.85,85.32,96.8
"BUS308",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.47,39.77,80.4,95.54
"BUS495",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,14.99,51.94,81.29
"BUS441",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,29.23,73.11,93.38
"PSY347",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,17.88,62.82,90.14
"HUM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,8.85,51.08,85.37
"ELEC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.48,40.92,80.16
"ANTH452",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,30.69,73.56
"BUS447",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,13.46,52.06
"BUS496",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,10.02,41.5
"ELEC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,15.61,57.4
"ELEC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,5.72,42.79
"BUS434",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83,32.02
"BUS442",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,22.76
"BUS478",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,14.67
"BUS497",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,4.8
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,2.02
