"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"BUS 1000",79.85,96.04,99.26,99.86,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"ENGL 1050",79.9,95.98,99.21,99.86,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MATH 1160",80.12,96.05,99.19,99.87,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"ECON 2010",79.72,95.95,99.19,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ACTY 2100",80.1,96.04,99.2,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"BUS 1750",79.89,95.9,99.19,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ACTY 2110",0.0,63.88,89.67,97.33,99.34,99.83,99.97,99.99,100.0,100.0,100.0,100.0
"CIS 1020",0.0,79.91,95.93,99.21,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"ECON 2020",0.0,78.53,95.6,99.15,99.82,99.97,100.0,100.0,100.0,100.0,100.0,100.0
"STAT 2160",0.0,58.96,88.69,97.12,99.3,99.81,99.95,99.99,100.0,100.0,100.0,100.0
"COM 1000",0.0,57.02,91.21,98.3,99.67,99.94,99.99,100.0,100.0,100.0,100.0,100.0
"MGMT 2500",0.0,32.62,82.72,95.94,99.09,99.79,99.95,99.99,100.0,100.0,100.0,100.0
"AREA 1",0.0,0.0,77.96,95.59,99.13,99.8,99.97,100.0,100.0,100.0,100.0,100.0
"AREA 2",0.0,0.0,73.04,94.62,98.95,99.79,99.96,99.99,100.0,100.0,100.0,100.0
"BUS 2200",0.0,0.0,62.76,92.46,98.52,99.72,99.94,99.99,100.0,100.0,100.0,100.0
"CIS 2700",0.0,0.0,38.77,83.7,96.0,99.06,99.8,99.95,99.99,100.0,100.0,100.0
"MKTG 2500",0.0,0.0,25.36,83.4,96.74,99.38,99.85,99.97,100.0,100.0,100.0,100.0
"BCM 3700",0.0,0.0,6.77,76.18,95.24,99.03,99.82,99.96,99.99,100.0,100.0,100.0
"BUS 3750",0.0,0.0,0.0,54.02,85.2,95.74,98.83,99.69,99.91,99.99,100.0,100.0
"MAJOR1",0.0,0.0,0.0,60.73,91.85,98.36,99.68,99.94,99.99,100.0,100.0,100.0
"FIN 3200",0.0,0.0,0.0,39.88,84.47,96.29,99.09,99.78,99.94,99.99,100.0,100.0
"LAW 3800",0.0,0.0,0.0,25.51,81.95,96.36,99.26,99.82,99.97,99.99,100.0,100.0
"BUS 4000",80.22,86.05,86.28,88.04,97.0,99.41,99.88,99.97,99.99,100.0,100.0,100.0
"BUS 4500",0.0,0.0,0.0,5.92,53.94,84.53,95.55,98.83,99.69,99.94,99.99,100.0
"BUS 4750",0.0,0.0,0.0,0.0,30.91,69.37,89.05,96.64,98.99,99.72,99.93,99.98
"AREA 3",0.0,0.0,0.0,3.29,65.59,92.67,98.55,99.71,99.95,99.99,100.0,100.0
"MAJOR2",0.0,0.0,0.0,0.0,49.19,88.71,97.76,99.53,99.9,99.98,99.99,100.0
"MGMT 2520",0.0,0.0,0.0,0.0,30.34,82.31,96.34,99.23,99.83,99.97,99.99,100.0
"MGMT 2750",0.0,0.0,0.0,0.0,12.86,72.93,94.22,98.83,99.76,99.96,99.99,100.0
"MGMT 3010",0.0,0.0,0.0,0.0,3.9,62.36,91.68,98.26,99.64,99.92,99.99,100.0
"ACTY 3220",0.0,0.0,0.0,0.0,0.77,49.02,88.01,97.63,99.51,99.91,99.98,100.0
"AREA 4",0.0,0.0,0.0,0.0,0.05,33.58,82.8,96.44,99.28,99.85,99.97,99.99
"CHEM 1100",0.0,0.0,0.0,0.0,0.0,8.87,71.02,105.21,111.89,113.09,113.33,113.38
"CHEM 1110",0.0,0.0,0.0,0.0,0.0,3.09,55.29,89.51,97.88,99.55,99.92,99.99
"AREA 5",0.0,0.0,0.0,0.0,0.0,0.72,41.45,84.35,96.82,99.36,99.87,99.98
"MGMT 4010",0.0,0.0,0.0,0.0,0.0,0.54,25.39,72.59,92.86,98.31,99.57,99.91
"MGMT 4020",0.0,0.0,0.0,0.0,0.0,0.0,10.94,60.93,89.91,97.69,99.46,99.86
"Elective 1",0.0,0.0,0.0,0.0,0.0,10.12,19.91,60.91,90.19,97.95,99.58,99.92
"Elective 2",0.0,0.0,0.0,0.0,0.0,0.0,2.12,43.41,84.55,96.78,99.32,99.88
"CS 1000",0.0,0.0,0.0,0.0,0.0,0.0,0.47,31.85,78.33,95.35,99.02,99.82
"AREA 7",0.0,0.0,0.0,0.0,0.0,0.0,0.24,23.69,71.43,93.42,98.6,99.72
"Elective 3",0.0,0.0,0.0,0.0,0.0,0.0,0.03,13.77,61.71,90.31,97.97,99.61
"Elective 4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,25.28,67.52,89.75,97.14
"AREA 8",0.0,20.6,23.29,25.2,34.05,39.72,47.17,66.0,87.9,97.21,99.43,99.88
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,16.44,56.57,85.23,95.98
