"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"BUS 1000",80.06,96.05,99.23,99.85,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ENGL 1050",79.84,96.03,99.22,99.85,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"BUS 1750",79.99,96.09,99.22,99.86,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"CIS 1020",79.96,95.98,99.19,99.84,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"MATH 1160",79.95,95.98,99.19,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"COM 1000",80.14,96.03,99.24,99.85,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"AREA 1",0.0,80.22,96.14,99.23,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"ECON 2010",0.0,79.82,95.93,99.21,99.84,99.96,100.0,100.0,100.0,100.0,100.0,100.0
"ACTY 2100",0.0,78.5,95.81,99.14,99.83,99.95,99.99,100.0,100.0,100.0,100.0,100.0
"ACTY 2110",0.0,0.0,62.65,89.06,97.14,99.3,99.79,99.96,99.99,100.0,100.0,100.0
"ECON 2020",0.0,72.08,94.34,98.82,99.78,99.94,99.99,100.0,100.0,100.0,100.0,100.0
"STAT 2160",0.0,47.03,86.12,96.54,99.13,99.81,99.97,99.99,100.0,100.0,100.0,100.0
"BUS 2200",0.0,26.24,84.65,96.93,99.41,99.89,99.97,100.0,100.0,100.0,100.0,100.0
"AREA 2",0.0,0.0,77.0,95.38,99.04,99.82,99.97,99.99,100.0,100.0,100.0,100.0
"CIS 2700",0.0,0.0,65.76,91.87,98.04,99.6,99.9,99.98,100.0,100.0,100.0,100.0
"MKTG 2500",0.0,0.0,52.42,90.37,98.05,99.6,99.92,99.98,99.99,100.0,100.0,100.0
"BCM 3700",0.0,0.0,27.12,84.59,96.97,99.37,99.89,99.98,99.99,100.0,100.0,100.0
"AREA 3",0.0,0.0,6.9,78.16,95.63,99.12,99.82,99.96,99.99,100.0,100.0,100.0
"AREA 4",0.0,0.0,0.0,70.54,94.06,98.79,99.79,99.96,99.99,100.0,100.0,100.0
"MGMT 2500",0.0,0.0,0.0,58.52,91.35,98.26,99.64,99.94,99.98,100.0,100.0,100.0
"MAJOR",0.0,0.0,0.0,40.88,87.27,97.46,99.5,99.9,99.98,100.0,100.0,100.0
"FIN 3200",0.0,0.0,0.0,21.28,78.72,94.92,98.78,99.74,99.93,99.98,100.0,100.0
"LAW 3800",0.0,0.0,0.0,8.61,75.41,95.06,99.03,99.82,99.95,99.99,100.0,100.0
"AREA 5",0.0,0.0,0.0,1.6,66.31,93.06,98.61,99.77,99.94,99.98,100.0,100.0
"Elective 1",0.0,0.0,0.0,0.0,53.19,90.06,98.03,99.57,99.91,99.98,100.0,100.0
"CHEM 1100",79.95,95.86,99.02,99.65,136.99,194.62,200.72,201.14,201.23,201.24,201.24,201.24
"CHEM 1110",0.0,0.0,0.0,0.0,21.27,79.26,95.74,99.14,99.84,99.96,99.99,100.0
"BUS 3750",0.0,0.0,0.0,0.0,8.6,67.35,91.87,98.02,99.56,99.9,99.98,99.99
"BUS 4000",0.0,0.0,0.0,0.0,21.22,79.57,95.95,99.18,99.86,99.97,99.99,100.0
"BUS 4500",0.0,0.0,0.0,0.0,2.44,50.1,83.73,95.32,98.82,99.7,99.93,99.98
"Elective 2",0.0,0.0,0.0,0.0,1.09,53.34,89.42,97.86,99.58,99.93,99.99,100.0
"AREA 7",0.0,0.0,0.0,0.0,0.1,34.05,83.52,96.7,99.31,99.87,99.98,99.99
"AREA 8",0.0,0.0,0.0,0.0,0.0,20.47,78.79,95.6,99.13,99.85,99.98,100.0
"MAJOR1",0.0,0.0,0.0,0.0,0.0,13.31,73.18,94.41,98.9,99.77,99.96,99.99
"BUS 4750",0.0,0.0,0.0,0.0,0.0,4.0,47.52,81.22,94.33,98.42,99.59,99.91
"MKTG 3710",0.0,0.0,0.0,0.0,0.0,1.95,54.24,89.35,97.82,99.53,99.92,99.99
"MKTG 3740",0.0,0.0,0.0,0.0,0.0,0.3,38.06,84.26,96.87,99.38,99.87,99.98
"MKTG 4750",0.0,0.0,0.0,0.0,0.0,0.01,22.0,77.18,95.23,99.05,99.81,99.97
"MKTG 4770",0.0,0.0,0.0,0.0,0.0,0.0,1.49,43.44,80.17,94.32,98.51,99.65
"MKTG 4860",0.0,0.0,0.0,0.0,0.0,0.0,0.17,24.27,66.47,89.2,97.07,99.25
"MKTG 2900",0.0,0.0,0.0,0.0,0.0,0.0,11.76,66.78,92.57,98.49,99.67,99.93
"MKTG 3600",0.0,0.0,0.0,0.0,0.0,0.0,5.19,50.38,87.11,97.33,99.44,99.88
"Elective 3",0.0,0.0,0.0,0.0,0.0,0.0,1.14,30.01,78.81,95.48,99.11,99.81
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.01,6.42,41.32,77.84,93.83,98.49
