"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"CS 151L",79.64,95.9,99.15,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ENGL 110",79.95,95.95,99.19,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MATH 162",80.06,96.0,99.22,99.85,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"Freshman Academic Choice",80.07,96.0,99.21,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"Core Requirement",80.07,95.95,99.15,99.85,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MATH 163",0.0,63.91,89.53,97.32,99.32,99.84,99.96,99.99,100.0,100.0,100.0,100.0
"ENGL 120",0.0,63.86,89.39,97.22,99.34,99.87,99.97,100.0,100.0,100.0,100.0,100.0
"Minor Requirement",0.0,79.41,95.94,99.21,99.83,99.98,99.99,100.0,100.0,100.0,100.0,100.0
"Core Requirement",0.0,71.53,94.2,98.81,99.75,99.94,99.98,100.0,100.0,100.0,100.0,100.0
"Core Requirement",0.0,41.05,88.09,97.63,99.49,99.91,99.98,100.0,100.0,100.0,100.0,100.0
"MATH 264",0.0,0.0,50.78,81.72,94.14,98.29,99.48,99.87,99.98,99.99,100.0,100.0
"MATH 327",0.0,0.0,48.95,81.33,94.13,98.28,99.55,99.88,99.98,99.99,100.0,100.0
"Minor Requirement",0.0,0.0,69.03,93.83,98.7,99.74,99.94,99.98,100.0,100.0,100.0,100.0
"ENGL 219",0.0,0.0,38.06,78.91,93.61,98.22,99.53,99.9,99.97,99.99,100.0,100.0
"Core Requirement",0.0,0.0,32.31,84.79,96.97,99.38,99.89,99.97,100.0,100.0,100.0,100.0
"MATH 321",0.0,0.0,0.0,40.15,73.39,90.03,96.62,98.89,99.68,99.93,99.98,100.0
"MATH 313",0.0,0.0,0.0,38.7,73.07,89.87,96.65,98.93,99.69,99.91,99.98,100.0
"Core Requirement",0.0,0.0,7.56,68.75,93.6,98.73,99.74,99.96,99.99,100.0,100.0,100.0
"Core Requirement",0.0,0.0,0.0,49.11,88.85,97.76,99.53,99.9,99.98,100.0,100.0,100.0
"Minor Requirement",0.0,0.0,0.0,25.74,81.91,96.32,99.27,99.84,99.97,99.99,100.0,100.0
"MATH 401",0.0,0.0,0.0,0.0,28.51,63.32,84.28,94.05,97.88,99.3,99.81,99.94
"MATH Elective",0.0,0.0,0.0,7.24,68.09,93.21,98.63,99.72,99.95,99.99,100.0,100.0
"Core Requirement",0.0,0.0,0.0,0.59,49.31,88.34,97.64,99.54,99.9,99.99,100.0,100.0
"Upper Division Elective",0.0,0.0,0.0,0.0,29.53,81.24,96.18,99.23,99.85,99.97,99.99,100.0
"Minor Requirement",0.0,0.0,0.0,0.0,12.56,71.66,93.96,98.8,99.78,99.97,100.0,100.0
"MATH 402",0.0,0.0,0.0,0.0,0.0,21.91,54.99,78.41,90.92,96.45,98.71,99.59
"MATH 412",0.0,0.0,0.0,0.0,0.84,41.57,79.42,93.21,97.74,99.29,99.8,99.95
"Elective",80.01,95.99,99.19,99.52,99.77,99.93,99.99,100.0,100.0,100.0,100.0,100.0
"Minor Requirement",0.0,0.0,0.0,0.0,2.29,44.28,85.73,96.97,99.43,99.87,99.98,100.0
"Physical & Natural Sciences",0.0,0.0,0.0,0.0,0.07,18.56,72.62,94.04,98.8,99.77,99.95,99.99
"MATH 322",0.0,0.0,0.0,0.0,0.17,14.98,64.66,91.49,98.18,99.63,99.92,99.98
"Minor Requirement",0.0,0.0,0.0,0.0,0.0,2.53,45.59,85.78,97.13,99.41,99.89,99.98
"Elective",0.0,0.0,0.0,0.0,0.0,0.57,30.28,78.97,95.6,99.18,99.86,99.97
"Upper Division Elective",0.0,0.0,0.0,0.0,0.0,0.1,17.52,70.57,93.33,98.67,99.75,99.95
"Upper Division Elective",0.0,0.0,0.0,0.0,0.0,0.01,9.59,61.12,90.51,98.06,99.58,99.9
"MATH Elective",0.0,0.0,0.0,0.0,0.0,0.0,3.69,49.3,86.45,97.13,99.41,99.89
"Minor Requirement",0.0,0.0,0.0,0.0,0.0,0.0,0.92,36.55,80.92,95.85,99.15,99.84
"Elective",0.0,0.0,0.0,0.0,0.0,0.0,0.13,24.36,73.73,93.96,98.78,99.74
"Elective",0.0,64.09,89.57,93.47,96.47,98.06,98.98,99.47,99.84,99.97,100.0,100.0
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.03,10.2,48.69,82.06,95.22,98.83
