"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"MATH 1220",80.03,96.02,99.22,99.85,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"CHEM 1100",80.04,96.07,99.17,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"CHEM 1110",79.99,95.97,99.2,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"IEE 1020",79.99,95.98,99.24,99.83,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"EDMM 1420",80.0,95.92,99.2,99.84,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"AREA 1",79.9,95.91,99.16,99.83,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MATH 1230",0.0,64.05,89.54,97.26,99.35,99.84,99.97,99.99,100.0,100.0,100.0,100.0
"PHYS 2050",0.0,63.9,89.78,97.65,99.66,100.2,100.31,100.33,100.33,100.33,100.33,100.33
"PHYS 2060",0.0,63.64,89.47,97.27,99.33,99.83,99.96,99.99,100.0,100.0,100.0,100.0
"CS 1022",79.94,95.74,99.14,99.83,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ME 2615",0.0,58.67,88.52,97.14,99.3,99.84,99.97,100.0,100.0,100.0,100.0,100.0
"AREA 2",0.0,58.72,91.64,98.3,99.65,99.93,99.99,100.0,100.0,100.0,100.0,100.0
"MATH 2720",0.0,0.0,51.06,81.78,94.1,98.37,99.55,99.89,99.97,99.99,100.0,100.0
"PHYS 2070",0.0,0.0,40.85,76.04,92.28,98.23,100.07,100.61,100.75,100.78,100.78,100.79
"PHYS 2080",0.0,0.0,39.77,75.04,91.46,97.42,99.28,99.79,99.95,99.99,100.0,100.0
"ME 2320",0.0,0.0,30.27,69.07,88.88,96.5,98.97,99.73,99.93,99.99,100.0,100.0
"ME 2560",0.0,0.0,24.26,67.49,88.55,96.45,98.99,99.74,99.93,99.98,100.0,100.0
"MATH 3740",0.0,0.0,0.0,40.67,73.63,90.03,96.66,98.93,99.71,99.92,99.98,99.99
"ME 2500",0.0,0.0,33.12,74.54,92.27,97.81,99.41,99.84,99.96,99.99,100.0,100.0
"ME 2570",0.0,0.0,0.0,19.21,57.8,82.45,93.66,97.93,99.38,99.82,99.95,99.99
"ECE 2100",0.0,0.0,0.0,30.74,66.34,86.37,95.2,98.42,99.53,99.87,99.97,99.99
"ME 2580",0.0,0.0,0.0,16.07,56.12,81.86,93.53,97.94,99.36,99.82,99.95,99.98
"ME 3560",0.0,0.0,0.0,0.0,8.19,39.49,69.25,87.0,95.09,98.33,99.49,99.84
"ME 3580",0.0,0.0,0.0,0.0,12.78,47.38,75.0,89.85,96.35,98.77,99.61,99.87
"ME 3620",0.0,0.0,13.09,40.06,76.29,93.03,98.19,99.53,99.89,99.97,100.0,100.0
"CHEM 1120",0.0,35.26,70.33,108.57,155.48,169.98,171.9,172.21,172.27,172.28,172.28,172.28
"CHEM 1130",0.0,10.33,31.0,38.8,75.84,94.25,98.76,99.75,99.96,99.99,100.0,100.0
"ME 3650",0.0,0.0,0.0,0.0,6.65,37.54,67.94,86.12,94.66,98.17,99.38,99.81
"ME 3350",0.0,0.0,0.0,0.0,2.51,30.58,63.55,84.4,94.02,97.87,99.34,99.84
"ME 3600",0.0,0.0,0.0,0.0,0.37,27.74,62.12,83.38,93.55,97.75,99.26,99.8
"ME 4310",0.0,0.0,0.0,0.0,0.0,6.46,32.64,61.91,81.84,92.33,97.07,99.01
"ME 4320",0.0,0.0,0.0,0.0,0.0,5.7,32.43,61.78,81.86,92.41,97.15,99.01
"ECE 2110",0.0,0.0,0.0,0.0,12.84,46.22,76.35,91.04,96.86,98.98,99.7,99.92
"ME 4790",0.0,0.0,0.0,0.0,0.0,0.0,13.62,42.95,69.94,86.33,94.53,98.0
"ME Design Elective",0.0,14.41,28.14,33.47,49.5,70.08,90.42,97.79,99.54,99.91,99.98,100.0
"ME Elective 1",0.0,9.03,19.69,24.26,32.69,50.94,80.62,95.39,99.1,99.83,99.96,99.99
"ME Elective 2",0.0,1.26,8.7,14.2,19.79,35.04,66.31,91.24,98.17,99.65,99.93,99.98
"AREA 5",0.0,0.0,4.17,8.97,11.9,23.91,49.55,84.57,96.76,99.33,99.85,99.98
"AREA 3",0.0,0.0,1.69,5.48,7.44,15.32,32.92,75.1,94.26,98.83,99.77,99.96
"IEE 3090",0.0,0.0,1.6,4.71,21.95,47.93,67.84,88.58,97.31,99.4,99.86,99.97
"ME 4800",0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.33,36.41,63.07,81.72,91.93
"ME Design Elective 2",0.0,0.0,0.55,2.99,4.36,7.45,17.28,58.45,89.09,97.77,99.57,99.93
"ME Elective 3",0.0,0.0,0.02,1.28,2.53,3.92,10.02,42.77,82.99,96.41,99.25,99.85
"AREA 4",0.0,0.0,0.0,0.5,1.52,2.17,5.86,27.29,74.11,94.22,98.75,99.75
"AREA 8",0.0,13.93,19.97,23.01,24.37,28.39,38.65,56.65,84.54,96.48,99.28,99.85
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,19.28,52.49,77.64,90.64
