"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"ENGL 101",75.0,93.75,97.92,98.96,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"MATH 162",83.33,98.96,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"CS 151L",83.33,97.92,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"CHEM 121",81.25,96.88,96.88,97.92,98.96,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"CHEM 123L",78.12,93.75,97.92,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"Humanities Core",87.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"ENGL 102",0.0,59.38,87.5,95.83,96.88,98.96,98.96,100.0,100.0,100.0,100.0,100.0
"MATH 163",0.0,70.83,91.67,95.83,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"PHYC 160",0.0,80.21,96.88,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"ME 160L",0.0,71.88,95.83,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"CHEM 122",0.0,28.12,75.0,94.79,97.92,98.96,100.0,100.0,100.0,100.0,100.0,100.0
"CHEM 124L",0.0,32.29,80.21,92.71,96.88,97.92,98.96,100.0,100.0,100.0,100.0,100.0
"CE 202",0.0,0.0,53.12,81.25,88.54,95.83,100.0,100.0,100.0,100.0,100.0,100.0
"ME 260L",0.0,0.0,55.21,81.25,97.92,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"MATH 264",0.0,0.0,58.33,86.46,93.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"PHYC 161",0.0,0.0,52.08,85.42,96.88,98.96,100.0,100.0,100.0,100.0,100.0,100.0
"ME 217",0.0,0.0,26.04,76.04,91.67,96.88,97.92,98.96,98.96,100.0,100.0,100.0
"ME 306",0.0,0.0,0.0,36.46,70.83,80.21,92.71,98.96,100.0,100.0,100.0,100.0
"MATH 316",0.0,0.0,5.21,68.75,93.75,96.88,98.96,100.0,100.0,100.0,100.0,100.0
"ECE 203",0.0,0.0,0.0,56.25,86.46,97.92,100.0,100.0,100.0,100.0,100.0,100.0
"ME 318L",0.0,0.0,0.0,16.67,54.17,83.33,92.71,98.96,100.0,100.0,100.0,100.0
"Writing & Speaking",0.0,13.54,21.88,40.63,88.54,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"ME 301",0.0,0.0,0.0,0.0,56.25,83.33,94.79,98.96,100.0,100.0,100.0,100.0
"ME 317L",0.0,0.0,0.0,0.0,7.29,38.54,64.58,84.38,95.83,100.0,100.0,100.0
"CE 302",0.0,0.0,0.0,2.08,41.67,77.08,92.71,100.0,100.0,100.0,100.0,100.0
"Math Elective",0.0,0.0,0.0,8.33,44.79,84.38,95.83,100.0,100.0,100.0,100.0,100.0
"ECON 105",0.0,0.0,0.0,3.12,22.92,81.25,98.96,100.0,100.0,100.0,100.0,100.0
"ME 302",0.0,0.0,0.0,0.0,0.0,38.54,77.08,93.75,98.96,100.0,100.0,100.0
"ME 360L",0.0,0.0,0.0,0.0,1.04,28.13,63.54,87.5,97.92,98.96,100.0,100.0
"ME 357",0.0,0.0,0.0,0.0,0.0,21.88,62.5,88.54,95.83,100.0,100.0,100.0
"ME 370L",0.0,0.0,0.0,0.0,0.0,9.37,57.29,84.38,97.92,98.96,100.0,100.0
"ME 352",0.0,0.0,0.0,0.0,0.0,8.33,60.42,81.25,94.79,95.83,100.0,100.0
"Second Language",0.0,0.0,0.0,1.04,5.21,17.71,64.58,87.5,96.88,98.96,100.0,100.0
"ME 320L",0.0,0.0,0.0,0.0,0.0,0.0,15.62,55.21,79.17,92.71,98.96,100.0
"ME 459",0.0,0.0,0.0,0.0,0.0,0.0,22.92,76.04,94.79,100.0,100.0,100.0
"ME 380",0.0,0.0,0.0,0.0,0.0,0.0,12.5,45.83,79.17,89.58,96.88,98.96
"ME Elective",0.0,0.0,0.0,2.08,5.21,13.54,22.92,63.54,91.67,97.92,98.96,100.0
"Fine Arts",0.0,0.0,0.0,0.0,4.17,6.25,13.54,42.71,79.17,95.83,98.96,100.0
"ME 460",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,30.21,60.42,80.21,92.71
"Technical Elective",0.0,0.0,0.0,0.0,0.0,3.12,6.25,31.25,78.12,93.75,97.92,98.96
"ME Elective",0.0,0.0,0.0,0.0,0.0,1.04,4.17,18.75,58.33,91.67,96.88,100.0
"ME Tech Elective",0.0,0.0,0.0,0.0,0.0,0.0,3.12,11.46,50.0,87.5,94.79,100.0
"Humanities Core",0.0,0.0,0.0,0.0,0.0,0.0,1.04,3.12,32.29,80.21,95.83,98.96
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,40.63,70.83,90.63
