"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"DANC 1250",79.83,95.91,99.21,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"DANC 1210",80.25,96.11,99.25,99.87,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"DANC 1010",80.2,95.98,99.16,99.84,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"AREA 2",80.1,96.09,99.19,99.82,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ENGL 1050",79.93,95.94,99.16,99.85,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"DANC 1200",0.0,80.16,95.97,99.2,99.83,99.96,99.99,100.0,100.0,100.0,100.0,100.0
"DANC 2200",0.0,79.75,95.94,99.2,99.83,99.96,99.99,100.0,100.0,100.0,100.0,100.0
"DANC 1020",0.0,79.0,95.84,99.17,99.84,99.96,99.99,100.0,100.0,100.0,100.0,100.0
"AREA 3",0.0,75.24,94.94,99.0,99.8,99.95,99.99,100.0,100.0,100.0,100.0,100.0
"MUS 2000",0.0,57.03,91.21,98.24,99.64,99.92,99.98,100.0,100.0,100.0,100.0,100.0
"MUS 1595",0.0,59.8,91.61,98.25,99.64,99.93,99.98,100.0,100.0,100.0,100.0,100.0
"AREA 4",0.0,26.25,84.17,96.86,99.35,99.89,99.98,99.99,100.0,100.0,100.0,100.0
"THEA 1200",0.0,0.0,75.5,95.03,99.04,99.8,99.97,99.99,100.0,100.0,100.0,100.0
"MATH 1160",0.0,0.0,69.8,93.77,98.73,99.72,99.95,99.99,100.0,100.0,100.0,100.0
"DANC 2250",0.0,0.0,64.86,92.93,98.58,99.71,99.95,99.99,100.0,100.0,100.0,100.0
"MUS 2595",0.0,0.0,35.64,80.09,94.53,98.68,99.7,99.92,99.99,100.0,100.0,100.0
"MUS 3000",0.0,0.0,26.24,83.36,96.58,99.33,99.87,99.97,100.0,100.0,100.0,100.0
"THEA 1410",0.0,0.0,16.32,78.28,95.66,99.16,99.84,99.97,100.0,100.0,100.0,100.0
"AREA 5",0.0,0.0,0.0,67.96,93.28,98.65,99.73,99.94,99.99,100.0,100.0,100.0
"Elective 1",0.0,0.0,0.0,48.57,88.77,97.8,99.58,99.92,99.98,99.99,100.0,100.0
"THEA 1420",0.0,0.0,0.0,10.23,64.26,89.36,97.14,99.3,99.85,99.97,99.99,100.0
"THEA 2410",0.0,0.0,0.0,5.56,61.8,88.83,97.08,99.3,99.84,99.97,99.99,100.0
"THEA 2720",0.0,0.0,0.0,27.25,77.5,95.24,99.07,99.81,99.96,99.99,100.0,100.0
"CHEM 1100",80.06,116.4,168.39,223.0,294.72,319.21,320.39,320.42,320.43,320.43,320.43,320.43
"CHEM 1110",0.0,0.0,0.0,3.83,56.16,90.1,98.04,99.64,99.93,99.99,100.0,100.0
"AREA 7",0.0,0.0,0.0,0.0,38.46,84.68,96.84,99.38,99.86,99.98,100.0,100.0
"THEA 2450",0.0,0.0,0.0,0.0,5.57,51.03,81.75,94.09,98.25,99.52,99.89,99.97
"Elective 2",0.0,0.0,0.0,0.0,14.78,71.36,93.81,98.77,99.75,99.96,99.99,100.0
"DANC 4960",0.0,0.0,0.0,0.0,23.6,70.36,93.34,98.64,99.74,99.94,99.98,99.99
"MUS 2950",0.0,0.0,0.0,0.0,0.0,32.44,75.75,92.47,97.87,99.4,99.85,99.96
"AREA 8",0.0,0.0,0.0,0.0,4.25,55.36,89.37,97.84,99.58,99.92,99.98,100.0
"THEA 2460",0.0,0.0,0.0,0.0,0.0,3.97,39.91,72.6,89.56,96.44,98.9,99.71
"THEA 3720",0.0,0.0,0.0,0.0,0.38,31.53,77.72,94.66,98.75,99.72,99.94,99.99
"THEA 4990",0.0,0.0,0.0,3.84,30.98,63.26,89.75,97.83,99.55,99.91,99.98,100.0
"DANC 4950",0.0,0.0,0.0,0.0,0.0,0.0,25.82,65.58,87.07,95.71,98.72,99.63
"MUS 1995",0.0,0.0,0.0,0.0,0.0,19.65,70.85,93.52,98.65,99.74,99.96,99.99
"THEA 3510",0.0,0.0,0.0,0.0,0.0,0.0,23.36,64.61,86.72,95.63,98.61,99.61
"COM 1000",0.0,0.0,0.0,0.0,0.0,8.33,51.28,86.45,97.19,99.41,99.88,99.98
"THEA 4950",0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.69,56.63,81.0,92.79,97.55
"THEA 2900",0.0,0.0,0.0,0.0,1.88,22.26,65.57,90.94,98.12,99.61,99.94,99.99
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.19,49.14,77.49,91.57,97.19
