"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"MUS1010",80.1,96.01,99.21,99.86,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"MUS 1590",80.06,95.98,99.2,99.84,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"MUS 1600",80.22,96.07,99.22,99.85,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"MUS 1620",80.27,96.11,99.25,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"Performance elective ",80.05,95.93,99.16,99.83,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"MUS 2810",79.68,96.0,99.2,99.85,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"PSY 1000",80.21,96.02,99.15,99.83,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"General Education elective",80.03,95.97,99.16,99.82,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MUS 2000 ",80.36,96.14,99.27,99.86,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MUS 1610",0.0,80.02,96.14,99.19,99.86,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"MUS 1630",80.12,96.0,99.21,99.83,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"MUS 1700 ",0.0,80.07,96.0,99.23,99.84,99.96,100.0,100.0,100.0,100.0,100.0,100.0
"Performance elective ",80.04,95.92,99.19,99.83,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MUS 1200 ",0.0,64.16,89.63,97.31,99.35,99.86,99.97,99.99,100.0,100.0,100.0,100.0
"MUS 3830",0.0,63.66,89.42,97.26,99.35,99.83,99.96,99.99,100.0,100.0,100.0,100.0
"MUS 1260",0.0,64.12,89.72,97.29,99.35,99.86,99.96,100.0,100.0,100.0,100.0,100.0
"General Education elective ",0.0,77.27,95.52,99.05,99.78,99.96,100.0,100.0,100.0,100.0,100.0,100.0
"Applied music",0.0,70.59,94.2,98.85,99.77,99.96,99.99,100.0,100.0,100.0,100.0,100.0
"MUS 2600 ",0.0,0.0,63.83,89.8,97.32,99.37,99.87,99.97,99.99,100.0,100.0,100.0
"MUS 2590 ",0.0,55.09,87.88,96.92,99.25,99.85,99.97,99.99,100.0,100.0,100.0,100.0
"MUS 2700 ",0.0,26.94,85.1,97.06,99.38,99.87,99.97,99.99,100.0,100.0,100.0,100.0
"MUS 1210 ",0.0,41.45,88.08,97.69,99.53,99.92,99.99,100.0,100.0,100.0,100.0,100.0
"MUS 2890",0.0,0.0,48.69,80.77,93.89,98.25,99.53,99.87,99.97,99.99,100.0,100.0
"Performance elective ",0.0,11.72,81.03,96.16,99.21,99.86,99.98,100.0,100.0,100.0,100.0,100.0
"MUS 2800",0.0,0.0,76.73,95.34,99.03,99.78,99.96,99.99,100.0,100.0,100.0,100.0
