"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"CHEM 1510",80.12,95.99,99.19,99.82,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"CHEM 1520",79.86,96.03,99.19,99.85,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"BIOS 1910",80.12,96.12,99.23,99.85,99.98,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"HSV 2250",80.15,96.01,99.24,99.82,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"SOC 2000",79.85,95.97,99.24,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"FCS 2250",80.12,95.99,99.2,99.83,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"CHEM 1530",0.0,51.24,83.77,95.55,98.85,99.71,99.93,99.99,100.0,100.0,100.0,100.0
"CHEM 1540",0.0,51.11,84.02,95.49,98.82,99.72,99.94,99.98,100.0,100.0,100.0,100.0
"BIOS 2400",0.0,64.06,89.81,97.36,99.32,99.85,99.96,99.99,100.0,100.0,100.0,100.0
"PSY 1000",0.0,79.66,95.9,99.2,99.85,99.98,100.0,100.0,100.0,100.0,100.0,100.0
"ENGL 1050",0.0,72.67,94.51,98.93,99.77,99.96,99.99,100.0,100.0,100.0,100.0,100.0
"NUR 2200",0.0,46.05,88.96,97.76,99.58,99.92,99.98,99.99,100.0,100.0,100.0,100.0
"NUR 2210",0.0,0.0,73.98,94.8,98.89,99.75,99.95,99.99,100.0,100.0,100.0,100.0
"NUR 2220",0.0,6.64,70.4,93.9,98.78,99.75,99.95,99.99,100.0,100.0,100.0,100.0
"BIOS 2320",0.0,0.0,36.84,86.01,97.09,99.42,99.89,99.98,99.99,100.0,100.0,100.0
"NUR 2300",0.0,0.0,0.0,18.13,64.14,88.39,96.68,99.14,99.81,99.96,99.99,100.0
"NUR 2310",0.0,0.0,0.0,18.17,64.06,88.29,96.82,99.19,99.79,99.95,99.99,100.0
"NUR 3330",0.0,0.0,31.53,83.4,96.68,99.36,99.84,99.96,99.99,100.0,100.0,100.0
"NUR 3350",0.0,0.0,5.9,73.1,94.58,98.89,99.78,99.96,99.99,100.0,100.0,100.0
"ELECTIVE",0.0,0.0,0.0,59.47,90.9,98.19,99.64,99.93,99.99,100.0,100.0,100.0
"NUR 3200",0.0,0.0,0.0,0.0,11.61,46.15,75.67,90.95,97.1,99.12,99.76,99.94
"NUR 3210",0.0,0.0,0.0,0.0,8.35,42.2,74.0,90.56,96.97,99.13,99.77,99.94
"STAT 3660",0.0,0.0,0.0,32.22,80.71,95.89,99.17,99.83,99.97,100.0,100.0,100.0
"AREA 1",0.0,0.0,0.0,13.73,68.62,92.49,98.5,99.68,99.94,99.99,100.0,100.0
"NUR 3220",0.0,0.0,0.0,1.37,46.59,84.26,96.6,99.3,99.86,99.96,100.0,100.0
"NUR 3300",0.0,0.0,0.0,0.0,0.0,4.45,28.36,59.6,81.58,92.8,97.44,99.19
"NUR 3310",0.0,0.0,0.0,0.0,0.0,4.5,28.66,59.6,81.54,92.74,97.45,99.18
"NUR 3320",0.0,0.0,0.0,0.0,0.0,4.28,28.36,59.62,81.59,92.78,97.45,99.18
"NUR 4200",0.0,0.0,0.0,0.0,0.0,0.0,2.18,16.13,41.45,66.42,83.86,93.17
"NUR 4210",0.0,0.0,0.0,0.0,0.0,0.0,2.17,16.23,41.51,66.74,83.88,93.21
"AREA 4",0.0,0.0,0.0,0.0,22.3,67.97,91.6,98.24,99.64,99.92,99.99,100.0
"NUR 4310",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,10.9,31.22,55.39,75.28
"NUR 4320",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,10.89,31.28,55.22,75.23
"AREA 3",0.0,0.0,0.0,0.0,10.26,51.87,84.21,96.18,99.18,99.83,99.96,99.99
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,8.77,27.08,50.36,71.05
