"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"BUS215",80.03,95.97,99.21,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"PSY201",80.05,95.9,99.19,99.85,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"WRI121",79.98,96.05,99.18,99.83,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"HUM",80.04,95.96,99.17,99.83,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ELEC",80.0,96.03,99.2,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MATH111",0.0,79.95,95.91,99.21,99.85,99.97,100.0,100.0,100.0,100.0,100.0,100.0
"MIS102",79.93,95.95,99.16,99.8,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"SPE111",0.0,79.28,95.95,99.19,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"WRI122",0.0,62.42,89.39,97.24,99.29,99.84,99.96,100.0,100.0,100.0,100.0,100.0
"ELEC",0.0,65.61,93.22,98.64,99.76,99.96,99.99,100.0,100.0,100.0,100.0,100.0
"BUS223",0.0,32.93,86.47,97.27,99.45,99.87,99.98,99.99,100.0,100.0,100.0,100.0
"ECO201",0.0,0.0,63.68,89.47,97.32,99.34,99.84,99.97,99.99,100.0,100.0,100.0
"MIS206",0.0,0.0,77.61,95.52,99.08,99.8,99.98,100.0,100.0,100.0,100.0,100.0
"WRI227",0.0,0.0,47.78,81.03,93.98,98.27,99.54,99.86,99.97,99.99,100.0,100.0
"HUM",0.0,0.0,63.23,92.5,98.47,99.71,99.94,99.98,99.99,100.0,100.0,100.0
"ACC201",0.0,0.0,16.84,81.48,96.24,99.21,99.84,99.96,99.99,100.0,100.0,100.0
"MATH361",0.0,0.0,0.0,70.64,93.56,98.6,99.7,99.95,99.99,99.99,100.0,100.0
"MIS113",0.0,0.0,22.58,70.29,93.8,98.77,99.79,99.95,99.99,100.0,100.0,100.0
