"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"COM1000",79.77,95.88,99.15,99.84,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"ENGL1050",79.89,96.01,99.16,99.82,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"GEOS1500",80.11,95.98,99.18,99.83,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"IME1020",80.02,96.09,99.24,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"PSY1000",79.69,95.99,99.24,99.85,99.98,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"COM2000",0.0,80.12,95.99,99.21,99.83,99.97,100.0,100.0,100.0,100.0,100.0,100.0
"COM2800",0.0,63.66,89.24,97.18,99.27,99.84,99.97,99.99,100.0,100.0,100.0,100.0
"ENGL2100",0.0,77.69,95.33,99.07,99.79,99.96,99.99,100.0,100.0,100.0,100.0,100.0
"HIST2110",0.0,65.96,93.17,98.64,99.74,99.95,99.99,100.0,100.0,100.0,100.0,100.0
"GEOG3900",0.0,32.56,85.87,97.16,99.43,99.87,99.98,100.0,100.0,100.0,100.0,100.0
"REL2060",0.0,0.0,78.01,95.62,99.05,99.81,99.97,99.99,100.0,100.0,100.0,100.0
"PHIL2200",0.0,0.0,72.05,94.46,98.84,99.76,99.96,99.99,100.0,100.0,100.0,100.0
"COM1040",0.0,0.0,55.18,90.7,98.08,99.62,99.93,99.98,100.0,100.0,100.0,100.0
"COM3320(Orgelect1)",0.0,0.0,27.75,80.8,95.52,98.98,99.78,99.96,99.99,100.0,100.0,100.0
"GEOG1000",0.0,0.0,11.07,78.42,95.78,99.16,99.83,99.97,99.99,100.0,100.0,100.0
"Math1000",0.0,0.0,0.0,67.93,93.45,98.66,99.76,99.97,99.99,100.0,100.0,100.0
"COM2010",0.0,0.0,0.0,51.95,89.12,97.67,99.47,99.9,99.98,99.99,100.0,100.0
"COM3050(Orgelect2)",0.0,0.0,0.0,31.3,83.17,96.41,99.23,99.86,99.97,100.0,100.0,100.0
"SOC2000",0.0,0.0,0.0,15.17,76.89,95.31,99.02,99.81,99.97,99.99,100.0,100.0
"SOC2100",0.0,0.0,0.0,3.69,67.13,93.06,98.67,99.73,99.96,99.99,100.0,100.0
"COM3350",0.0,0.0,0.0,0.0,54.91,89.78,97.95,99.56,99.91,99.99,100.0,100.0
"COM3070(orgelect3)",0.0,0.0,0.0,0.21,44.2,86.44,97.26,99.48,99.91,99.98,100.0,100.0
"REL1000",0.0,0.0,0.0,0.0,16.73,75.43,94.87,99.01,99.81,99.97,100.0,100.0
"SOC2600",0.0,0.0,0.0,0.0,17.78,70.69,93.6,98.71,99.73,99.95,99.99,100.0
"SOC3140",0.0,0.0,0.0,0.0,1.04,53.98,89.32,97.73,99.55,99.92,99.98,100.0
"A-S3990",0.0,0.0,0.0,0.0,0.02,39.93,84.12,96.69,99.33,99.87,99.97,100.0
"COM4790",0.0,0.0,0.0,0.0,0.0,26.29,77.59,95.18,99.07,99.83,99.97,99.99
"COM3540(Comelect1)",0.0,0.0,0.0,0.0,0.0,11.02,66.2,92.38,98.42,99.67,99.94,99.99
"HIST3030",0.0,0.0,0.0,0.0,0.0,2.21,52.92,88.7,97.69,99.54,99.91,99.98
"SOC3000",0.0,0.0,0.0,0.0,0.0,0.31,40.59,83.37,96.39,99.29,99.85,99.97
"SOC3200",0.0,0.0,0.0,0.0,0.0,0.0,31.06,78.81,95.39,99.07,99.82,99.96
"HEPE1110",0.0,0.0,0.0,0.0,0.0,0.0,23.03,72.63,93.81,98.76,99.74,99.95
"ART1480",0.0,0.0,0.0,0.0,0.0,0.0,4.55,53.48,88.34,97.59,99.53,99.9
"COM4800(Ogrelect3)",0.0,0.0,0.0,0.0,0.0,0.0,8.45,50.71,86.35,97.08,99.38,99.87
"COM4830",0.0,0.0,0.0,0.0,0.0,0.0,0.11,30.57,77.65,95.04,98.95,99.8
"GPS1500",0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.49,69.22,92.79,98.49,99.7
"A-S3990",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.02,49.61,85.91,96.97,99.4
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46,33.94,74.68,93.28,98.52
