"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"ADA2250",79.97,95.96,99.14,99.83,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ENGL1050",79.9,96.03,99.19,99.86,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"FYE2100",79.78,95.95,99.16,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ENGL2100",79.86,95.94,99.25,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"GEOG3110",79.94,96.03,99.22,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MUS1520",0.0,79.87,96.05,99.2,99.85,99.97,100.0,100.0,100.0,100.0,100.0,100.0
"SOC2000",0.0,79.61,95.93,99.21,99.83,99.96,100.0,100.0,100.0,100.0,100.0,100.0
"COM1000",0.0,77.52,95.57,99.12,99.84,99.98,99.99,100.0,100.0,100.0,100.0,100.0
"COM1700",0.0,67.04,93.33,98.68,99.76,99.95,99.99,100.0,100.0,100.0,100.0,100.0
"COM2000",0.0,45.56,88.83,97.78,99.55,99.9,99.99,100.0,100.0,100.0,100.0,100.0
"GEOG1000",0.0,0.0,78.64,95.74,99.2,99.84,99.97,99.99,100.0,100.0,100.0,100.0
"COM2400",0.0,25.95,79.47,95.77,99.16,99.83,99.97,99.99,100.0,100.0,100.0,100.0
"COM3050",0.0,0.0,62.48,92.3,98.43,99.71,99.95,99.99,100.0,100.0,100.0,100.0
"WMS2000",0.0,0.0,42.76,87.93,97.52,99.51,99.92,99.98,99.99,100.0,100.0,100.0
"COM2010",0.0,0.0,21.29,78.51,94.97,98.89,99.75,99.94,99.99,100.0,100.0,100.0
"COM2800",0.0,0.0,6.7,70.48,93.41,98.59,99.72,99.93,99.99,100.0,100.0,100.0
"GWS1000",0.0,0.0,1.88,62.0,92.01,98.47,99.66,99.93,99.99,100.0,100.0,100.0
"COM2500",0.0,0.0,0.0,44.4,85.99,96.88,99.32,99.88,99.97,99.99,100.0,100.0
"COM3050(twice)",0.0,0.0,0.0,32.28,83.5,96.71,99.31,99.88,99.98,100.0,100.0,100.0
"JRN1000",0.0,0.0,0.0,22.43,78.16,95.44,99.08,99.81,99.96,99.99,100.0,100.0
"SPAN1000",0.0,0.0,0.0,2.36,59.81,91.21,98.23,99.62,99.93,99.99,100.0,100.0
"COM3320",0.0,0.0,0.0,6.71,53.35,88.73,97.65,99.53,99.9,99.98,100.0,100.0
"COM3350",0.0,0.0,0.0,0.34,31.25,81.42,96.18,99.23,99.85,99.97,99.99,100.0
"SOC2100",0.0,0.0,0.0,0.16,19.94,75.11,94.61,98.93,99.76,99.95,99.99,99.99
"SOC2600",0.0,0.0,0.0,0.0,9.43,63.23,91.77,98.4,99.68,99.94,99.99,100.0
"COM3540",0.0,0.0,0.0,0.0,2.89,49.37,87.61,97.52,99.45,99.89,99.98,100.0
"COM3550",0.0,0.0,0.0,0.0,0.0,30.35,78.21,94.81,98.83,99.73,99.94,99.98
"SOC3000",0.0,0.0,0.0,0.0,0.01,21.38,74.31,94.42,98.9,99.77,99.95,99.99
"SPAN1010",0.0,0.0,0.0,0.0,0.0,11.01,62.82,91.36,98.29,99.65,99.92,99.98
"COM4400",0.0,0.0,0.0,0.0,0.0,4.57,49.75,86.86,97.13,99.42,99.87,99.97
"MATH1100",0.0,0.0,0.0,0.0,0.0,0.84,33.99,80.53,95.81,99.13,99.82,99.96
"SOC3040",0.0,0.0,0.0,0.0,0.0,0.0,21.39,72.69,93.89,98.76,99.76,99.95
"COM3590",0.0,0.0,0.0,0.0,0.0,0.0,12.68,63.7,91.4,98.24,99.62,99.92
"COM4300",0.0,0.0,0.0,0.0,0.0,0.0,7.76,54.27,87.98,97.43,99.48,99.89
"GEOG1050",0.0,0.0,0.0,0.0,0.0,0.0,1.68,34.45,79.91,95.69,99.12,99.85
"HPHE1110",80.04,84.27,88.12,92.2,96.35,98.23,99.21,99.73,99.93,99.99,100.0,100.0
"MATH1140",0.0,0.0,0.0,0.0,0.0,0.0,3.43,33.47,76.49,94.61,98.88,99.79
"SOC3620",0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.76,62.96,90.75,98.1,99.6
"SOC4540",0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.96,52.61,87.03,97.28,99.46
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93,32.95,72.66,92.63,98.36
