"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"CH200",80.13,95.98,99.26,99.84,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"GS1001",79.94,95.99,99.22,99.85,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MA136",79.96,95.96,99.19,99.82,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"SE1011",79.97,95.89,99.15,99.82,99.95,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"GS1002",0.0,80.11,96.07,99.23,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"MA137",0.0,63.59,89.48,97.18,99.32,99.82,99.95,99.99,100.0,100.0,100.0,100.0
"PH2011",0.0,71.45,94.2,98.87,99.8,99.95,100.0,100.0,100.0,100.0,100.0,100.0
"SE1021",0.0,41.08,84.52,96.25,99.13,99.8,99.96,99.99,100.0,100.0,100.0,100.0
"CS2852",0.0,0.0,32.77,74.15,91.97,97.71,99.36,99.84,99.96,99.99,100.0,100.0
"GS1003",0.0,0.0,76.63,95.24,99.07,99.83,99.97,100.0,100.0,100.0,100.0,100.0
"MA231",0.0,0.0,46.13,80.73,93.89,98.19,99.49,99.85,99.96,100.0,100.0,100.0
"PH2021",0.0,0.0,41.65,85.76,96.89,99.32,99.85,99.97,99.99,100.0,100.0,100.0
"CS2911",0.0,0.0,1.63,70.14,93.71,98.68,99.75,99.95,99.99,100.0,100.0,100.0
"MA2310",0.0,0.0,0.05,52.11,89.07,97.8,99.62,99.92,99.98,100.0,100.0,100.0
"SE2030",0.0,0.0,0.0,45.7,84.88,96.25,99.1,99.78,99.96,99.99,100.0,100.0
"Math/Science Elective",0.0,0.0,0.05,29.5,81.31,96.06,99.21,99.84,99.98,99.99,100.0,100.0
"Business Elective",0.0,0.0,0.0,7.65,68.75,93.19,98.61,99.72,99.95,99.99,100.0,100.0
"CS2711",0.0,0.0,0.0,0.09,54.57,89.44,97.79,99.57,99.91,99.97,99.99,100.0
"SE2811",0.0,0.0,0.0,0.0,31.59,73.21,91.71,97.62,99.36,99.81,99.95,99.99
"SE2840",0.0,0.0,0.0,0.0,25.99,74.38,93.54,98.48,99.67,99.94,99.98,100.0
"Science Elective",0.0,0.0,0.0,0.0,5.35,60.04,90.58,98.06,99.63,99.93,99.99,100.0
"MA262",0.0,0.0,0.0,0.0,12.86,61.73,90.69,98.06,99.6,99.92,99.99,100.0
"MS344",0.0,0.0,0.0,0.0,0.12,41.52,84.22,96.71,99.32,99.86,99.97,99.99
"SE2040",0.0,0.0,0.0,0.0,0.0,24.55,73.58,93.64,98.6,99.69,99.93,99.98
"SE2800",0.0,0.0,0.0,0.0,0.0,13.68,65.01,91.2,98.02,99.55,99.9,99.98
"SE2832",0.0,0.0,0.0,0.0,0.0,3.52,51.22,87.27,97.18,99.42,99.89,99.98
