"combinations","n","r2"
"complexity","1","0.45076037464499763"
"blocking","1","0.3945520385492509"
"delay","1","0.48168475548571477"
"inverseBlocking","1","0.3945520385492509"
"inverseDelay","1","0.5238083844441761"
"centrality","1","0.2638916445209323"
"creditHours","1","0.9626698525204379"
"free","1","0.03397421017541058"
"timeComp1","1","0.7438664713802385"
"timeComp2","1","0.7549622788784494"
"complexity,blocking","2","0.5031884329486884"
"complexity,delay","2","0.5031884329486884"
"complexity,inverseBlocking","2","0.5031884329486884"
"complexity,inverseDelay","2","0.5489130557197124"
"complexity,centrality","2","0.5143276579652096"
"complexity,creditHours","2","0.9768514756779356"
"complexity,free","2","0.48434174384142215"
"complexity,timeComp1","2","0.8714945931193624"
"complexity,timeComp2","2","0.8833527584130437"
"blocking,delay","2","0.5031884329486884"
"blocking,inverseDelay","2","0.555642622953996"
"blocking,centrality","2","0.4856822921603653"
"blocking,creditHours","2","0.9785420376757663"
"blocking,free","2","0.431746221598992"
"blocking,timeComp1","2","0.8649578265649698"
"blocking,timeComp2","2","0.8487783119996466"
"delay,inverseBlocking","2","0.5031884329486883"
"delay,inverseDelay","2","0.5314425521033932"
"delay,centrality","2","0.5140214454347147"
"delay,creditHours","2","0.9749152040373997"
"delay,free","2","0.5073483580858462"
"delay,timeComp1","2","0.8500821038519111"
"delay,timeComp2","2","0.9003674127410513"
"inverseBlocking,inverseDelay","2","0.555642622953996"
"inverseBlocking,centrality","2","0.4856822921603653"
"inverseBlocking,creditHours","2","0.9785420376757663"
"inverseBlocking,free","2","0.431746221598992"
"inverseBlocking,timeComp1","2","0.8649578265649698"
"inverseBlocking,timeComp2","2","0.8487783119996466"
"inverseDelay,centrality","2","0.566208223038507"
"inverseDelay,creditHours","2","0.9769951398523808"
"inverseDelay,free","2","0.5528716241462892"
"inverseDelay,timeComp1","2","0.8127138516030631"
"inverseDelay,timeComp2","2","0.8462910421258919"
"centrality,creditHours","2","0.9797632636363565"
"centrality,free","2","0.27717556107944774"
"centrality,timeComp1","2","0.8396151472804436"
"centrality,timeComp2","2","0.8144202943937638"
"creditHours,timeComp2","2","0.9740501196426015"
"free,timeComp1","2","0.7932676277119068"
"free,timeComp2","2","0.7688089506043267"
"timeComp1,timeComp2","2","0.7585404061816613"
"complexity,blocking,delay","3","0.5031884329486884"
"complexity,blocking,inverseDelay","3","0.5557329419021044"
"complexity,blocking,centrality","3","0.5152508950480816"
"complexity,blocking,creditHours","3","0.979465665950315"
"complexity,blocking,free","3","0.5152444994950032"
"complexity,blocking,timeComp1","3","0.8727527432308708"
"complexity,blocking,timeComp2","3","0.9005423918992471"
"complexity,delay,inverseBlocking","3","0.5031884329486884"
"complexity,delay,inverseDelay","3","0.5557329419021043"
"complexity,delay,centrality","3","0.5152508950480816"
"complexity,delay,creditHours","3","0.979465665950315"
"complexity,delay,free","3","0.515244499495003"
"complexity,delay,timeComp1","3","0.8727527432308708"
"complexity,delay,timeComp2","3","0.9005423918992471"
"complexity,inverseBlocking,inverseDelay","3","0.5557329419021044"
