"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"ENGL 110","88.25","98.25","98.95","99.05","99.05","99.05","99.05","99.05","99.05","99.05","99.05","99.05"
"MATH 162","76.85","92.45","96.3","97.25","97.3","97.35","97.35","97.35","97.35","97.35","97.35","97.35"
"ECE 101","94.6","99.05","99.25","99.3","99.3","99.3","99.3","99.3","99.3","99.3","99.3","99.3"
"ECE 131","86.0","97.25","98.6","98.75","98.75","98.75","98.75","98.75","98.75","98.75","98.75","98.75"
"PHYC 160","80.3","94.4","97.35","97.7","97.9","97.95","97.95","97.95","97.95","97.95","97.95","97.95"
"ENGL 120","0.0","74.35","87.85","89.55","89.75","89.8","89.85","89.85","89.85","89.85","89.85","89.85"
"MATH 163","0.0","53.2","74.95","82.65","85.25","86.0","86.25","86.3","86.3","86.3","86.3","86.3"
"PHYC 161","0.0","63.85","81.6","86.8","87.7","87.95","88.1","88.1","88.1","88.1","88.1","88.1"
"PHYC 161L","0.0","72.75","85.75","88.75","89.2","89.4","89.45","89.45","89.45","89.45","89.45","89.45"
"ECE 231","0.0","73.25","86.7","88.95","89.25","89.25","89.25","89.25","89.25","89.25","89.25","89.25"
"ECE 203","0.0","0.0","34.2","62.65","72.9","76.3","77.3","77.55","77.6","77.6","77.6","77.6"
"ECE 238L","0.0","67.55","85.45","88.05","88.55","88.55","88.6","88.6","88.6","88.6","88.6","88.6"
"Basic Science","88.4","90.15","97.0","97.65","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7"
"Basic Science Lab","90.2","92.5","98.15","98.65","98.7","98.7","98.7","98.7","98.7","98.7","98.7","98.7"
"ENGL 219","0.0","0.0","59.95","76.45","78.8","79.2","79.25","79.25","79.25","79.25","79.25","79.25"
"ECON 105","0.0","11.05","65.75","77.65","79.85","80.4","80.5","80.5","80.5","80.5","80.5","80.5"
"ECE 206L","0.0","0.0","0.0","32.8","60.05","69.95","73.4","74.4","74.65","74.7","74.7","74.7"
"ECE 300","0.0","0.0","38.5","64.7","73.65","76.55","77.45","77.8","77.85","77.9","77.9","77.9"
"ECE 213","0.0","0.0","0.0","31.45","58.7","69.4","73.2","74.25","74.55","74.6","74.6","74.6"
"MATH 264","0.0","0.0","20.8","57.95","70.65","74.85","76.15","76.65","76.7","76.7","76.7","76.7"
"ECE 330","0.0","0.0","28.05","72.65","77.7","78.05","78.05","78.05","78.05","78.05","78.05","78.05"
"ECE 321L","0.0","0.0","0.0","0.0","28.45","55.1","65.8","70.1","71.15","71.5","71.55","71.55"
"MATH 327","0.0","0.0","0.15","45.7","67.45","73.15","74.5","74.9","75.2","75.2","75.2","75.2"
"ECE 314","0.0","0.0","0.0","0.0","23.9","51.85","65.2","69.4","70.8","71.05","71.2","71.2"
"ECE 340","0.0","0.0","0.0","26.8","57.9","68.95","72.35","73.4","73.7","73.8","73.85","73.85"
"Second Language","0.0","0.0","16.1","38.55","67.9","74.4","74.75","74.75","74.8","74.8","74.8","74.8"
"ECE 335","0.0","0.0","0.0","14.7","61.7","72.85","73.4","73.4","73.4","73.4","73.4","73.4"
"ECE 331","0.0","0.0","0.0","0.0","35.4","62.15","69.4","71.05","71.55","71.85","71.95","71.95"
"ECE 344L","0.0","0.0","0.0","0.0","0.0","24.75","51.75","63.05","68.25","69.7","70.25","70.3"
"Social Sciences","0.0","0.0","0.1","10.6","35.6","66.85","72.0","72.45","72.45","72.45","72.45","72.45"
"ECE 419","0.0","0.0","0.0","8.25","19.5","63.2","71.7","71.9","71.9","71.9","71.9","71.9"
"ECE 437","0.0","0.0","0.0","2.45","9.95","51.05","70.55","71.35","71.35","71.35","71.35","71.35"
"ECE 435","0.0","0.0","0.0","0.0","0.3","33.45","66.65","69.75","70.3","70.6","70.65","70.65"
"Tech Elective","0.0","0.0","0.0","0.6","4.45","19.15","61.95","69.85","70.65","70.7","70.7","70.7"
"Humanities","0.0","0.0","0.0","0.0","2.6","8.2","56.1","69.0","70.25","70.3","70.3","70.3"
"ECE 420","0.0","0.0","0.0","0.0","2.1","4.1","51.5","69.85","70.25","70.25","70.25","70.25"
"ECE 440","0.0","0.0","0.0","0.0","1.0","2.55","41.55","69.05","70.0","70.0","70.0","70.0"
"Tech Elective","0.0","0.0","0.0","0.0","0.1","1.55","24.55","62.8","69.05","69.7","69.7","69.7"
"Fine Arts","0.0","0.0","0.0","0.0","0.0","0.8","13.75","59.4","68.65","69.6","69.7","69.7"
"Humanities","0.0","0.0","0.0","0.0","0.0","0.55","4.35","53.85","67.7","69.35","69.5","69.5"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","1.9","41.65","63.85","68.5","69.35","69.4"
