"name","complexity","completionRate","term","credits"
"ART - 67.json",32.0,0.86,4.0,63.0
"ART - 67.json",32.0,0.91,4.0,63.0
"ART - 67.json",32.0,0.88,4.0,63.0
"ART - 67.json",32.0,0.85,4.0,63.0
"ART - 67.json",32.0,0.9,4.0,63.0
"ART - 67.json",32.0,0.89,4.0,63.0
"ART - 67.json",32.0,0.92,4.0,63.0
"ART - 67.json",32.0,0.85,4.0,63.0
"ART - 67.json",32.0,0.9,4.0,63.0
"ART - 67.json",32.0,0.91,4.0,63.0
"ART - 67.json",32.0,0.9,4.0,63.0
"ART - 67.json",32.0,0.89,4.0,63.0
"ART - 67.json",32.0,0.92,4.0,63.0
"ART - 67.json",32.0,0.89,4.0,63.0
"ART - 67.json",32.0,0.89,4.0,63.0
"ART - 67.json",32.0,0.91,4.0,63.0
"ART - 67.json",32.0,0.91,4.0,63.0
"ART - 67.json",32.0,0.92,4.0,63.0
"ART - 67.json",32.0,0.89,4.0,63.0
"ART - 67.json",32.0,0.9,4.0,63.0
"ART - 67.json",32.0,0.89,4.0,63.0
"ART - 67.json",32.0,0.91,4.0,63.0
"ART - 67.json",32.0,0.87,4.0,63.0
"ART - 67.json",32.0,0.91,4.0,63.0
"ART - 67.json",32.0,0.84,4.0,63.0
"ART - 67.json",32.0,0.94,4.0,63.0
"ART - 67.json",32.0,0.9,4.0,63.0
"ART - 67.json",32.0,0.94,4.0,63.0
"ART - 67.json",32.0,0.94,4.0,63.0
"ART - 67.json",32.0,0.93,4.0,63.0
"ART - 67.json",32.0,0.89,4.0,63.0
"ART - 67.json",32.0,0.89,4.0,63.0
"ART - 67.json",32.0,0.83,4.0,63.0
"ART - 67.json",32.0,0.91,4.0,63.0
"ART - 67.json",32.0,0.91,4.0,63.0
"ART - 67.json",32.0,0.9,4.0,63.0
"ART - 67.json",32.0,0.83,4.0,63.0
"ART - 67.json",32.0,0.91,4.0,63.0
"ART - 67.json",32.0,0.84,4.0,63.0
"ART - 67.json",32.0,0.93,4.0,63.0
"ART - 67.json",32.0,0.95,4.0,63.0
"ART - 67.json",32.0,0.89,4.0,63.0
"ART - 67.json",32.0,0.85,4.0,63.0
"ART - 67.json",32.0,0.85,4.0,63.0
"ART - 67.json",32.0,0.84,4.0,63.0
"ART - 67.json",32.0,0.88,4.0,63.0
"ART - 67.json",32.0,0.87,4.0,63.0
"ART - 67.json",32.0,0.92,4.0,63.0
"ART - 67.json",32.0,0.95,4.0,63.0
"ART - 67.json",32.0,0.87,4.0,63.0
"ART - 67.json",32.0,0.9,4.0,63.0
"ART - 67.json",32.0,0.92,4.0,63.0
"ART - 67.json",32.0,0.9,4.0,63.0
"ART - 67.json",32.0,0.84,4.0,63.0
"ART - 67.json",32.0,0.9,4.0,63.0
"ART - 67.json",32.0,0.84,4.0,63.0
"ART - 67.json",32.0,0.89,4.0,63.0
"ART - 67.json",32.0,0.81,4.0,63.0
"ART - 67.json",32.0,0.88,4.0,63.0
"ART - 67.json",32.0,0.84,4.0,63.0
"ART - 67.json",32.0,0.87,4.0,63.0
"ART - 67.json",32.0,0.9,4.0,63.0
"ART - 67.json",32.0,0.82,4.0,63.0
"ART - 67.json",32.0,0.91,4.0,63.0
"ART - 67.json",32.0,0.87,4.0,63.0
"ART - 67.json",32.0,0.91,4.0,63.0
"ART - 67.json",32.0,0.87,4.0,63.0
"ART - 67.json",32.0,0.89,4.0,63.0
"ART - 67.json",32.0,0.93,4.0,63.0
"ART - 67.json",32.0,0.92,4.0,63.0
"ART - 67.json",32.0,0.85,4.0,63.0
"ART - 67.json",32.0,0.93,4.0,63.0
"ART - 67.json",32.0,0.85,4.0,63.0
"ART - 67.json",32.0,0.88,4.0,63.0
"ART - 67.json",32.0,0.9,4.0,63.0
"ART - 67.json",32.0,0.92,4.0,63.0
"ART - 67.json",32.0,0.88,4.0,63.0
"ART - 67.json",32.0,0.92,4.0,63.0
"ART - 67.json",32.0,0.96,4.0,63.0
"ART - 67.json",32.0,0.81,4.0,63.0
"ART - 67.json",32.0,0.89,4.0,63.0
"ART - 67.json",32.0,0.9,4.0,63.0
"ART - 67.json",32.0,0.89,4.0,63.0
"ART - 67.json",32.0,0.85,4.0,63.0
"ART - 67.json",32.0,0.9,4.0,63.0
"ART - 67.json",32.0,0.91,4.0,63.0
"ART - 67.json",32.0,0.9,4.0,63.0
"ART - 67.json",32.0,0.91,4.0,63.0
"ART - 67.json",32.0,0.92,4.0,63.0
"ART - 67.json",32.0,0.91,4.0,63.0
"ART - 67.json",32.0,0.88,4.0,63.0
"ART - 67.json",32.0,0.86,4.0,63.0
"ART - 67.json",32.0,0.89,4.0,63.0
"ART - 67.json",32.0,0.91,4.0,63.0
"ART - 67.json",32.0,0.83,4.0,63.0
"ART - 67.json",32.0,0.91,4.0,63.0
