"name","complexity","blocking","delay","gradRate","gini_index","free","terms","courses"
"Accountancy - 178.json",177.0,62.0,115.0,0.564,0.45672829994863895,27.0,8.0,44.0
"Applied Baccalaureate - 83.json",155.0,51.0,104.0,0.474,0.43639371381306863,17.0,8.0,39.0
"BBA Accounting - 21.json",166.0,60.0,106.0,0.596,0.42168674698795183,20.0,8.0,40.0
"BFA Dance - 172.json",79.0,12.0,67.0,0.663,0.34742795583086455,41.0,8.0,47.0
"BS Biochemistry - 47.json",212.0,68.0,144.0,0.56,0.5207086976530143,20.0,8.0,41.0
"Behavior Science - 120.json",148.0,41.0,107.0,0.527,0.5190575190575191,22.0,8.0,39.0
"Biochemistry  - 151.json",392.0,147.0,245.0,0.504,0.3978134110787172,11.0,8.0,35.0
"Biology - 44.json",181.0,56.0,125.0,0.52,0.5311576512912759,26.0,8.0,43.0
"Biomedical Sciences - 143.json",296.0,98.0,198.0,0.573,0.5081792318634424,17.0,8.0,38.0
"Chemical Engineering - 48.json",437.0,180.0,257.0,0.281,0.5422864225781846,21.0,8.0,48.0
"Civil Engineering - 191.json",334.0,127.0,207.0,0.338,0.5118399564507349,18.0,8.0,44.0
"Computer Information Systems - 183.json",155.0,53.0,102.0,0.55,0.4795198799699925,29.0,8.0,43.0
"Computer Science - 164.json",72.0,14.0,58.0,0.546,0.36622807017543857,29.0,8.0,38.0
"Criminal Justice - 181.json",73.0,12.0,61.0,0.575,0.33184931506849313,30.0,8.0,40.0
"Electrical Engineering - 18.json",502.0,219.0,283.0,0.484,0.5154700347545986,22.0,8.0,47.0
"Electrical Engineering - 192.json",371.0,150.0,221.0,0.283,0.4963513246992308,18.0,8.0,41.0
"Electrical Engineering - 22.json",306.0,122.0,184.0,0.548,0.5233785822021116,18.0,8.0,39.0
"Electrical Engineering - 23.json",298.0,133.0,165.0,0.644,0.4975047324040613,16.0,8.0,39.0
"Engineering Design and Technology - 162.json",141.0,46.0,95.0,0.457,0.41954294720252167,27.0,8.0,45.0
"Exercise Science - 156.json",149.0,47.0,102.0,0.641,0.5021193924408336,23.0,8.0,38.0
"Film, Vedio and Media - 124.json",66.0,14.0,52.0,0.527,0.36445536445536447,30.0,8.0,37.0
"Finance - 180.json",164.0,58.0,106.0,0.521,0.46426545660805446,27.0,8.0,43.0
"General Psychology - 129.json",75.0,15.0,60.0,0.542,0.375,31.0,8.0,40.0
"Geography - 43.json",52.0,4.0,48.0,0.572,0.20865384615384616,37.0,8.0,40.0
"Graph Design - 173.json",164.0,63.0,101.0,0.501,0.4847560975609756,25.0,8.0,40.0
"Human Resource Management - 118.json",72.0,13.0,59.0,0.588,0.34930555555555554,33.0,8.0,40.0
"Integrated Supply Management - 184.json",145.0,51.0,94.0,0.357,0.4295352323838081,30.0,8.0,46.0
"Interdisciplinary Health Services - 193.json",65.0,11.0,54.0,0.563,0.36091476091476093,31.0,8.0,37.0
"MAE_TEST - 26.json",251.0,94.0,157.0,0.65,0.5527888446215139,31.0,8.0,52.0
"Management - 185.json",150.0,52.0,98.0,0.403,0.44575757575757574,28.0,8.0,44.0
"Marketing - 182.json",150.0,54.0,96.0,0.558,0.4517829457364341,28.0,8.0,43.0
"Mathematics - 42.json",121.0,32.0,89.0,0.574,0.5259588895952533,28.0,8.0,39.0
"Mechanical Engineering - 15.json",314.0,143.0,171.0,0.477,0.48656206307286004,19.0,8.0,41.0
"Mechanical Engineering - 165.json",400.0,167.0,233.0,0.363,0.4747777777777778,16.0,8.0,45.0
"Mechanical Engineering 2013-14  - 51.json",380.0,172.0,208.0,0.26,0.4653610771113831,16.0,8.0,43.0
"Music Theatre Performance - 158.json",128.0,39.0,89.0,0.534,0.496875,29.0,8.0,40.0
"Music Therapy - 174.json",136.0,36.0,100.0,0.593,0.48293067226890757,43.0,8.0,56.0
"Nursing - 177.json",256.0,122.0,134.0,0.199,0.43152573529411764,19.0,8.0,34.0
"Organizational Communication - 117.json",66.0,14.0,52.0,0.513,0.36445536445536447,30.0,8.0,37.0
"Public Relations - 125.json",78.0,18.0,60.0,0.48,0.38527284681130836,29.0,8.0,39.0
"Sales and Business - 114.json",108.0,31.0,77.0,0.518,0.3773148148148148,26.0,8.0,40.0
