"name","cruciality","term","difference8","difference10","difference12","ttd"
"ENGL 110","14","1","0.013","0.0","-0.198","0.10160065397499629"
"MATH 162","19","1","0.05","-0.002","-0.098","0.15360065397499412"
"ECE 101","1","1","-0.005","-0.014","0.102","0.05360065397499625"
"ECE 131","13","1","-0.015","-0.003","-0.098","0.044600653974997684"
"PHYC 160","14","1","0.027","-0.003","-0.098","0.10210065397499513"
"ENGL 120","13","2","-0.015","-0.002","-0.099","0.050600653974996135"
"MATH 163","18","2","0.041","-0.001","0.001","0.16360065397499568"
"PHYC 161","13","2","-0.006","-0.014","0.301","0.04260065397499346"
"PHYC 161L","3","2","-0.023","-0.015","0.101","-0.0033993460250059115"
"ECE 231","10","2","0.011","-0.012","0.101","0.08160065397499672"
"ECE 203","11","3","-0.016","-0.009","0.101","0.025130653974994033"
"ECE 238L","4","3","0.015","-0.006","0.001","0.06469065397499563"
"Basic Science","1","3","-0.024","-0.01","0.102","0.058600653974995254"
"Basic Science Lab","1","3","-0.029","-0.011","0.002","0.021600653974994444"
"ENGL 219","3","3","-0.008","-0.001","0.1","0.050600653974996135"
"ECON 105","1","3","0.033","-0.001","0.002","0.11119065397499561"
"ECE 206L","6","4","-0.019","-0.007","0.001","0.03460065397499612"
"ECE 300","13","4","-0.021","-0.004","0.1","0.059600653974996476"
"ECE 213","9","4","-0.005","-0.008","0.001","0.06560065397499493"
"MATH 264","5","4","-0.01","-0.002","0.002","0.06860065397499504"
"ECE 330","7","4","-0.015","-0.005","-0.198","0.05660065397499281"
"ECE 321L","7","5","0.006","-0.008","0.102","0.05760065397499581"
"MATH 327","7","5","0.031","-0.005","0.3","0.11260065397499552"
"ECE 314","5","5","0.004","-0.006","0.0","0.06460065397499548"
"ECE 340","8","5","-0.028","-0.009","0.102","0.028600653974995893"
"Second Language","1","5","0.02","-0.014","0.202","0.06860065397499504"
"ECE 335","4","6","-0.011","-0.006","-0.198","0.06860065397499504"
"ECE 331","7","6","-0.005","-0.01","0.202","0.06560065397499315"
"ECE 344L","6","6","0.007","-0.009","0.001","0.07460065397499704"
"Social Sciences","1","6","0.008","-0.003","0.001","0.07160065397499515"
"ECE 419","3","7","0.0","-0.003","0.002","0.0656006539749967"
"ECE 437","4","7","0.004","-0.004","-0.098","0.07960065397499427"
"ECE 435","6","7","0.006","-0.005","-0.198","0.08960065397499406"
"Tech Elective","1","7","0.002","-0.013","0.101","0.05419065397499523"
"Humanities","1","7","-0.023","-0.012","0.101","0.01660065397499544"
"ECE 420","2","8","-0.028","-0.02","0.401","0.011600653974996433"
"ECE 440","4","8","-0.014","-0.007","0.002","0.0596006539749947"
"Tech Elective","1","8","0.024","-0.015","0.101","0.08360065397499561"
"Fine Arts","1","8","0.017","-0.009","0.199","0.08423065397499663"
"Humanities","1","8","0.057","-0.001","-0.098","0.14790065397499497"
