"name","cruciality","term","difference8","difference10","difference12","ttd"
"ENGL 110","14","1","0.013","0.0","-0.198","0.10160065397499629"
"MATH 162","19","1","0.05","-0.002","-0.098","0.15360065397499412"
"ECE 101","1","1","-0.005","-0.014","0.102","0.05360065397499625"
"ECE 131","13","1","-0.015","-0.003","-0.098","0.044600653974997684"
"PHYC 160","14","1","0.027","-0.003","-0.098","0.10210065397499513"
"ENGL 120","13","2","-0.0075","-0.001","-0.0495","0.050600653974996135"
"MATH 163","18","2","0.0205","-0.0005","0.0005","0.16360065397499568"
"PHYC 161","13","2","-0.003","-0.007","0.1505","0.04260065397499346"
"PHYC 161L","3","2","-0.0115","-0.0075","0.0505","-0.0033993460250059115"
"ECE 231","10","2","0.0055","-0.006","0.0505","0.08160065397499672"
"ECE 203","11","3","-0.005333333333333333","-0.0029999999999999996","0.03366666666666667","0.025130653974994033"
"ECE 238L","4","3","0.005","-0.002","0.0003333333333333333","0.06469065397499563"
"Basic Science","1","3","-0.008","-0.0033333333333333335","0.033999999999999996","0.058600653974995254"
"Basic Science Lab","1","3","-0.009666666666666667","-0.0036666666666666666","0.0006666666666666666","0.021600653974994444"
"ENGL 219","3","3","-0.0026666666666666666","-0.0003333333333333333","0.03333333333333333","0.050600653974996135"
"ECON 105","1","3","0.011000000000000001","-0.0003333333333333333","0.0006666666666666666","0.11119065397499561"
"ECE 206L","6","4","-0.00475","-0.00175","0.00025","0.03460065397499612"
"ECE 300","13","4","-0.00525","-0.001","0.025","0.059600653974996476"
"ECE 213","9","4","-0.00125","-0.002","0.00025","0.06560065397499493"
"MATH 264","5","4","-0.0025","-0.0005","0.0005","0.06860065397499504"
"ECE 330","7","4","-0.00375","-0.00125","-0.0495","0.05660065397499281"
"ECE 321L","7","5","0.0012000000000000001","-0.0016","0.020399999999999998","0.05760065397499581"
"MATH 327","7","5","0.0062","-0.001","0.06","0.11260065397499552"
"ECE 314","5","5","0.0008","-0.0012000000000000001","0.0","0.06460065397499548"
"ECE 340","8","5","-0.0056","-0.0018","0.020399999999999998","0.028600653974995893"
"Second Language","1","5","0.004","-0.0028","0.040400000000000005","0.06860065397499504"
"ECE 335","4","6","-0.0018333333333333333","-0.001","-0.033","0.06860065397499504"
"ECE 331","7","6","-0.0008333333333333334","-0.0016666666666666668","0.03366666666666667","0.06560065397499315"
"ECE 344L","6","6","0.0011666666666666668","-0.0014999999999999998","0.00016666666666666666","0.07460065397499704"
"Social Sciences","1","6","0.0013333333333333333","-0.0005","0.00016666666666666666","0.07160065397499515"
"ECE 419","3","7","0.0","-0.0004285714285714286","0.00028571428571428574","0.0656006539749967"
"ECE 437","4","7","0.0005714285714285715","-0.0005714285714285715","-0.014","0.07960065397499427"
"ECE 435","6","7","0.0008571428571428572","-0.0007142857142857143","-0.028285714285714286","0.08960065397499406"
"Tech Elective","1","7","0.00028571428571428574","-0.0018571428571428571","0.01442857142857143","0.05419065397499523"
"Humanities","1","7","-0.0032857142857142855","-0.0017142857142857144","0.01442857142857143","0.01660065397499544"
"ECE 420","2","8","-0.0035","-0.0025","0.050125","0.011600653974996433"
"ECE 440","4","8","-0.00175","-0.000875","0.00025","0.0596006539749947"
"Tech Elective","1","8","0.003","-0.001875","0.012625","0.08360065397499561"
"Fine Arts","1","8","0.002125","-0.001125","0.024875","0.08423065397499663"
"Humanities","1","8","0.007125","-0.000125","-0.01225","0.14790065397499497"
