"name","original","new","cruciality","term","difference","ttd"
"MATH 121","0.7389341642697348","0.9389341642697349","10","1","0.0231","0.05115033231450106"
"ENGL 110","0.8957995578481945","1.0957995578481945","11","1","0.0137","0.03015033231450026"
"Humanities","0.9","1.1","1","1","0.004","0.021450332314500997"
"Physical & Natural Science","0.9","1.1","1","1","0.0085","0.028350332314500903"
"MGMT 113","0.8964941569282137","1.0964941569282136","1","1","0.015","0.02705033231450038"
"MATH 180","0.7397035945304185","0.9397035945304184","4","2","0.01285","0.05085033231449998"
"ENGL 120","0.9188377956537399","1.1188377956537399","10","2","0.0064","0.03155033231450233"
"Physical & Natural Science","0.9","1.1","1","2","0.0054","0.030250332314500028"
"Physical & Natural Science Lab","0.9","1.1","1","2","0.005","0.028850332314501514"
"ECON 105","0.7903576158940397","0.9903576158940397","1","2","0.0138","0.05705033231450152"
"Foreign Language","0.9","1.1","1","2","0.00275","0.020350332314500008"
"ENGL 219","0.9316770186335404","1.1316770186335403","3","3","0.0038","0.02985033231450096"
"Fine Arts","0.9","1.1","1","3","0.0032333333333333333","0.020650332314501085"
"ECON 106","0.7983787154437747","0.9983787154437747","8","3","0.0057","0.04055033231450267"
"STAT 145","0.862895453593128","1.062895453593128","8","3","0.004833333333333334","0.03415033231450337"
"Elective","0.9","1.1","1","3","0.0022333333333333333","0.02195033231450161"
"CS 150L","0.8347153123272526","1.0347153123272526","3","4","0.004","0.036750332314500866"
"MGMT 202","0.8038382654556109","1.0038382654556108","12","4","0.006725","0.05895033231450064"
"Social & Behavioral Science","0.9","1.1","1","4","0.002575","0.02725033231450169"
"Elective","0.9","1.1","1","4","0.00225","0.03185033231449985"
"MGMT 300","0.9640477297381063","1.1640477297381062","6","5","0.0021000000000000003","0.02875033231449997"
"MGMT 303","0.9330457614403601","1.1330457614403602","6","5","0.00142","0.018650332314500417"
"MGMT 306","0.9832596336070751","1.183259633607075","6","5","0.00046","0.014950332314500159"
"MGMT 308","0.9805689413959272","1.1805689413959273","5","5","0.00118","0.01665033231449975"
"MGMT 340","0.8943396226415095","1.0943396226415094","6","5","0.00296","0.032950332314499065"
"MGMT 398","0.9929221435793731","1.192922143579373","1","5","4.0e-5","0.014650332314500858"
"MGMT 310","0.9729569680221082","1.1729569680221081","5","6","0.0004333333333333333","0.013550332314501645"
"MGMT 322","0.9537377450980392","1.1537377450980393","5","6","-0.00036666666666666667","0.01235033231450089"
"MGMT 326","0.860525044290546","1.060525044290546","3","6","0.00185","0.033150332314500375"
"MGMT 341","0.9358974358974359","1.1358974358974359","5","6","0.0014166666666666668","0.022250332314499133"
"MGMT 346","0.965205288796103","1.165205288796103","3","6","0.0005166666666666667","0.009450332314500542"
"MGMT 450","0.9847485572959604","1.1847485572959604","4","7","-7.142857142857143e-5","0.005050332314500139"
"MGMT 343","0.9345195729537367","1.1345195729537367","1","7","0.0011285714285714287","0.01805033231450004"
"Upper Divison Humanities","0.9","1.1","1","7","0.002357142857142857","0.031450332314500784"
"Elective","0.9","1.1","1","7","0.0018285714285714288","0.029750332314499417"
"Elective","0.9","1.1","1","7","0.0019285714285714286","0.02935033231450035"
"MGMT 328","0.9818786367414797","1.1818786367414797","4","8","0.000275","0.010750332314501065"
"MGMT 443","0.9799107142857143","1.1799107142857144","4","8","0.0008625","0.020950332314500386"
"MGMT 449","0.9766037735849057","1.1766037735849058","1","8","0.000775","0.019350332314500562"
"MGMT 498","0.9890720858895705","1.1890720858895705","4","8","0.0009875","0.020350332314500008"
"Elective","0.9","1.1","1","8","0.010475","0.11505033231450135"
