"name","original","new","cruciality","term","difference","ttd"
"ENGL 110","0.8957995578481945","1.0957995578481945","14","1","0.062","0.1705692297817496"
"MATH 162","0.7585499316005472","0.9585499316005472","19","1","0.067","0.20056922978174896"
"ECE 101","0.9515957446808511","1.1515957446808511","1","1","0.034","0.1515692297817477"
"ECE 131","0.8570652173913044","1.0570652173913044","13","1","0.058","0.18256922978174828"
"PHYC 160","0.7925674034491135","0.9925674034491134","14","1","0.056","0.1965692297817494"
"ENGL 120","0.9188377956537399","1.1188377956537399","13","2","0.0195","0.16556922978174882"
"MATH 163","0.7502086811352254","0.9502086811352255","18","2","0.0355","0.21510922978174918"
"PHYC 161","0.8497234173325138","1.0497234173325138","13","2","0.03","0.18856922978175028"
"PHYC 161L","0.9865971705137752","1.1865971705137752","3","2","0.0235","0.15256922978174714"
"ECE 231","0.9260700389105059","1.1260700389105058","10","2","0.02","0.16356922978174993"
"ECE 203","0.934052757793765","1.134052757793765","11","3","0.016","0.18656922978174606"
"ECE 238L","0.8983417447728911","1.0983417447728911","4","3","0.013333333333333334","0.15756922978174792"
"Basic Science","0.9","1.1","1","3","0.005999999999999999","0.13256922978174757"
"Basic Science Lab","0.9","1.1","1","3","0.016","0.1501792297817488"
"ENGL 219","0.9316770186335404","1.1316770186335403","3","3","0.011333333333333334","0.14256922978174558"
"ECON 105","0.7903576158940397","0.9903576158940397","1","3","0.018333333333333333","0.2045692297817503"
"ECE 206L","0.9952456418383518","1.195245641838352","6","4","0.01475","0.1835692297817495"
"ECE 300","0.9207920792079208","1.120792079207921","13","4","0.017","0.1775692297817475"
"ECE 213","0.9587628865979382","1.1587628865979382","9","4","0.00625","0.1390692297817484"
"MATH 264","0.8398674765323026","1.0398674765323026","5","4","0.0085","0.1625692297817487"
"ECE 330","0.9956896551724138","1.1956896551724139","7","4","0.0015","0.0895692297817483"
"ECE 321L","0.9697452229299363","1.1697452229299363","7","5","0.008799999999999999","0.16006922978174742"
"MATH 327","0.8458333333333333","1.0458333333333334","7","5","0.0028","0.1311392297817484"
"ECE 314","0.9303703703703704","1.1303703703703705","5","5","0.008799999999999999","0.18156922978174705"
"ECE 340","0.9259818731117825","1.1259818731117825","8","5","0.0104","0.18456922978174717"
"Second Language","0.9","1.1","1","5","0.009600000000000001","0.1851192297817459"
"ECE 335","1.0","1.2","4","6","0.005","0.13756922978174835"
"ECE 331","0.9735449735449735","1.1735449735449734","7","6","0.0023333333333333335","0.12956922978174745"
"ECE 344L","0.9025641025641026","1.1025641025641026","6","6","0.0105","0.17956922978174816"
"Social Sciences","0.9","1.1","1","6","0.006166666666666667","0.15856922978174737"
"ECE 419","1.0","1.2","3","7","0.0037142857142857142","0.12156922978174833"
"ECE 437","0.9716981132075472","1.1716981132075472","4","7","0.008","0.21056922978174875"
"ECE 435","1.0","1.2","6","7","0.006571428571428571","0.15456922978174603"
"Tech Elective","0.9","1.1","1","7","0.007857142857142858","0.19756922978174885"
"Humanities","0.9","1.1","1","7","0.007","0.15056922978174825"
"ECE 420","1.0","1.2","2","8","0.00425","0.10955552978174765"
"ECE 440","0.9799196787148594","1.1799196787148594","4","8","0.005875","0.1575692297817497"
"Tech Elective","0.9","1.1","1","8","0.008875","0.19556922978174818"
"Fine Arts","0.9","1.1","1","8","0.010875","0.21756922978174842"
"Humanities","0.9","1.1","1","8","0.009","0.2015692297817484"
