"name","original","new","cruciality","term","difference","ttd"
"ENGL 110","0.8957995578481945","0.9957995578481945","14","1","0.005","0.12380095285368142"
"MATH 162","0.7585499316005472","0.8585499316005472","19","1","0.008","0.11180095285368097"
"ECE 101","0.9515957446808511","1.051595744680851","1","1","-0.02","0.07480095285367838"
"ECE 131","0.8570652173913044","0.9570652173913043","13","1","-0.018","0.07580095285368138"
"PHYC 160","0.7925674034491135","0.8925674034491135","14","1","0.039","0.13880095285368022"
"ENGL 120","0.9188377956537399","1.01883779565374","13","2","-0.011","0.05280095285367992"
"MATH 163","0.7502086811352254","0.8502086811352254","18","2","-0.0005","0.09480095285368151"
"PHYC 161","0.8497234173325138","0.9497234173325138","13","2","0.002","0.1098009528536803"
"PHYC 161L","0.9865971705137752","1.0865971705137751","3","2","-0.0015","0.11480095285368108"
"ECE 231","0.9260700389105059","1.026070038910506","10","2","-0.0015","0.09880095285368107"
"ECE 203","0.934052757793765","1.034052757793765","11","3","-0.0036666666666666666","0.0708009528536806"
"ECE 238L","0.8983417447728911","0.9983417447728911","4","3","-0.0016666666666666668","0.09280095285367906"
"Basic Science","0.9","1.0","1","3","-0.004333333333333333","0.07880095285367972"
"Basic Science Lab","0.9","1.0","1","3","-0.009","0.04340095285368051"
"ENGL 219","0.9316770186335404","1.0316770186335404","3","3","-0.0006666666666666666","0.08580095285368117"
"ECON 105","0.7903576158940397","0.8903576158940397","1","3","-0.0006666666666666666","0.10080095285367996"
"ECE 206L","0.9952456418383518","1.0952456418383518","6","4","-0.00675","0.05680095285368125"
"ECE 300","0.9207920792079208","1.0207920792079208","13","4","-0.00225","0.09880095285367929"
"ECE 213","0.9587628865979382","1.0587628865979382","9","4","-0.0005","0.09080095285368195"
"MATH 264","0.8398674765323026","0.9398674765323026","5","4","-0.00525","0.06780095285368049"
"ECE 330","0.9956896551724138","1.0956896551724138","7","4","-0.0125","0.03680095285368168"
"ECE 321L","0.9697452229299363","1.0697452229299362","7","5","-0.0068000000000000005","0.0758009528536796"
"MATH 327","0.8458333333333333","0.9458333333333333","7","5","-0.001","0.09038095285368009"
"ECE 314","0.9303703703703704","1.0303703703703704","5","5","-0.0018","0.07880095285367972"
"ECE 340","0.9259818731117825","1.0259818731117825","8","5","-0.006","0.04780095285368091"
"Second Language","0.9","1.0","1","5","-0.0014","0.08180095285368161"
"ECE 335","1.0","1.1","4","6","-0.00016666666666666666","0.07734095285367992"
"ECE 331","0.9735449735449735","1.0735449735449736","7","6","-0.008","0.01780095285368155"
"ECE 344L","0.9025641025641026","1.0025641025641026","6","6","0.003833333333333333","0.13280095285368"
"Social Sciences","0.9","1.0","1","6","-0.0005","0.09880095285368107"
"ECE 419","1.0","1.1","3","7","-0.004714285714285714","0.04780095285368091"
"ECE 437","0.9716981132075472","1.0716981132075472","4","7","-0.001142857142857143","0.06980095285368115"
"ECE 435","1.0","1.1","6","7","-0.0025714285714285713","0.05037095285368132"
"Tech Elective","0.9","1.0","1","7","-0.0037142857142857142","0.06380095285368093"
"Humanities","0.9","1.0","1","7","0.002","0.12080095285368309"
"ECE 420","1.0","1.1","2","8","-0.003375","0.06380095285368093"
"ECE 440","0.9799196787148594","1.0799196787148595","4","8","-0.002","0.07832095285368013"
"Tech Elective","0.9","1.0","1","8","-0.001875","0.08980095285368073"
"Fine Arts","0.9","1.0","1","8","0.004625","0.14880095285368"
"Humanities","0.9","1.0","1","8","0.006375","0.17880095285367936"
