"name","original","new","cruciality","blocking","delay","term","difference","difference_norm","ediff","ttd"
"ENGL 101","0.7748344370860927","0.0","14","8","6","1","0","0.0","29.641840000000347","-6599.58"
"MATH 162","0.5129310344827587","0.0","20","14","6","1","0.0207","0.0207","247.5801600000004","-14103.839999999998"
"ECE 101","0.9500912964090079","0.0","1","0","1","1","0.0042","0.0042","-28.186379999999634","-21555.16"
"ECE 131","0.7586206896551724","0.0","14","10","4","1","0.0107","0.0107","104.07386000000038","-28715.140000000003"
"PHYC 160","0.5","0.0","14","8","6","1","0.0243","0.0243","263.9394400000004","-36614.32"
"ENGL 102","0.7955271565495208","0.0","13","7","6","2","0.0107","0.00535","88.53162000000037","-44697.72"
"MATH 163","0.46919431279620855","0.0","19","13","6","2","0.0199","0.00995","225.5188400000004","-52386.1"
"PHYC 161","0.6459627329192547","0.0","13","7","6","2","0.0053","0.00265","65.1607200000004","-60038.26"
"PHYC 161L","0.9183673469387755","0.0","3","0","3","2","0","0.0","-52.18457999999964","-66792.51999999999"
"ECE 231","0.9293078055964654","0.0","11","7","4","2","0.0016","0.0008","-13.691919999999628","-73630.56"
"ECE 203","0.8727272727272727","0.0","11","5","6","3","0.0063","0.0021","18.999800000000388","-80604.78"
"ECE 238L","0.85","0.0","4","1","3","3","0.0083","0.002766666666666667","110.53180000000042","-87780.84"
"CHEM 121","0.5829268292682926","0.0","3","1","2","3","0.016","0.005333333333333333","180.37028000000035","-95409.62"
"CHEM 123L","0.640625","0.0","2","0","2","3","0.0022","0.0007333333333333333","31.14858000000037","-102628.68"
"ENGL 219","0.8623481781376519","0.0","3","0","3","3","0.009","0.0029999999999999996","35.062020000000395","-109864.93999999999"
"ECON 105","0.7213578500707214","0.0","1","0","1","3","0.0072","0.0024","74.29738000000037","-117161.2"
"ECE 206L","0.9945848375451264","0.0","6","1","5","4","0","0.0","-31.691239999999617","-123964.31999999999"
"ECE 300","1.0","0.0","14","8","6","4","0","0.0","-55.98643999999963","-130616.54000000001"
"ECE 213","0.8666666666666667","0.0","9","3","6","4","0.0094","0.00235","13.382340000000394","-137470.91999999998"
"MATH 264","0.7189542483660131","0.0","5","1","4","4","0.0012","0.0003","-10.801879999999594","-144510.84"
"ECE 330","0.9948186528497409","0.0","7","3","4","4","0.0043","0.001075","-18.62895999999962","-151448.8"
"ECE 321L","0.9722222222222222","0.0","7","1","6","5","0.0016","0.00032","-19.888919999999622","-158422.5"
"MATH 327","0.8307692307692308","0.0","8","3","5","5","0.0105","0.0021000000000000003","16.11072000000039","-165558.28"
"ECE 314","0.9334532374100719","0.0","5","0","5","5","0.0052","0.00104","16.59288000000037","-172843.38"
"ECE 340","0.8717948717948718","0.0","9","3","6","5","0.0031","0.00062","-14.864699999999623","-179829.06"
"SPAN 101","0.8769574944071589","0.0","1","0","1","5","0.0043","0.00086","3.7773600000003875","-186701.68"
"ECE 335","1.0","0.0","4","0","4","6","0.0035","0.0005833333333333334","-55.32055999999962","-193819.6"
"ECE 331","0.9693251533742331","0.0","8","2","6","6","0","0.0","-54.51819999999963","-200629.63999999998"
"ECE 344L","0.775","0.0","6","0","6","6","0.0157","0.0026166666666666664","-10.456659999999626","-208050.52"
"PSY 105","0.6698717948717948","0.0","1","0","1","6","0.0128","0.0021333333333333334","11.185140000000384","-215484.52"
"ECE 419","1.0","0.0","3","1","2","7","0","0.0","-69.19781999999961","-222652.8"
"ECE 437","0.9090909090909091","0.0","4","0","4","7","0","0.0","-45.41955999999963","-229148.56"
"ECE 435","1.0","0.0","6","0","6","7","0.0025","0.00035714285714285714","-60.320299999999605","-236112.18"
"ECE 495","0.94","0.0","1","0","1","7","0.0041","0.0005857142857142858","-24.235199999999622","-243118.88"
"HIST 101","0.7046843177189409","0.0","1","0","1","7","0.012","0.0017142857142857144","-14.062379999999642","-250298.9"
"ECE 420","1.0","0.0","2","0","2","8","0.0004","5.0e-5","-57.098039999999614","-257521.84"
"ECE 440","0.9765258215962441","0.0","4","0","4","8","0.0027","0.0003375","18.889800000000367","-264502.56"
"ECE 412","0.8823529411764706","0.0","6","0","6","8","0.0164","0.00205","-21.000039999999636","-271658.0"
"ARTH 101","0.7840909090909091","0.0","1","0","1","8","0.0167","0.0020875","-47.579999999999615","-279572.48000000004"
"CLST 107","0.959758551307847","0.0","1","0","1","8","0.0016","0.0002","-43.43143999999962","-286975.18000000005"
