"name","cruciality","blocking","delay","difference","difference_norm","ediff"
"ENGL 110, ENGL 110","28","16","12","0.0385","0.01925","120.14999999999986"
"ENGL 110, MATH 162","33","21","12","0.098","0.049","336.75"
"ENGL 110, ECE 101","15","8","7","0.018","0.009","136.85"
"ENGL 110, ECE 131","27","17","10","0.0425","0.02125","263.3499999999999"
"ENGL 110, PHYC 160","28","16","12","0.0575","0.02875","315.1999999999999"
"ENGL 110, ENGL 120","27","15","12","0.03","0.01","153.29999999999984"
"ENGL 110, MATH 163","32","20","12","0.067","0.022333333333333334","286.4999999999999"
"ENGL 110, PHYC 161","27","15","12","0.023","0.007666666666666666","186.49999999999994"
"ENGL 110, PHYC 161L","17","8","9","0.0115","0.003833333333333333","82.75000000000001"
"ENGL 110, ECE 231","24","14","10","0.057","0.019","187.24999999999994"
"ENGL 110, ECE 203","25","13","12","0.0395","0.009875","127.04999999999995"
"ENGL 110, ECE 238L","18","9","9","0.0295","0.007375","152.39999999999992"
"ENGL 110, Basic Science","15","8","7","0.027","0.00675","142.8"
"ENGL 110, Basic Science Lab","15","8","7","0.0215","0.005375","109.05000000000001"
"ENGL 110, ENGL 219","17","8","9","0.032","0.008","158.2"
"ENGL 110, ECON 105","15","8","7","0.0505","0.012625","275.39999999999986"
"ENGL 110, ECE 206L","20","9","11","0.006","0.0012000000000000001","121.19999999999996"
"ENGL 110, ECE 300","27","15","12","0.0155","0.0031","99.99999999999997"
"ENGL 110, ECE 213","23","11","12","0.036","0.0072","138.39999999999992"
"ENGL 110, MATH 264","19","9","10","0.0375","0.0075","178.95000000000002"
"ENGL 110, ECE 330","21","11","10","0.028","0.0056","106.94999999999999"
"ENGL 110, ECE 321L","21","9","12","0.0265","0.004416666666666667","77.45"
"ENGL 110, MATH 327","21","10","11","0.0395","0.006583333333333333","176.19999999999996"
"ENGL 110, ECE 314","19","8","11","0.029","0.004833333333333334","144.7999999999999"
"ENGL 110, ECE 340","22","10","12","0.0155","0.0025833333333333333","95.74999999999994"
"ENGL 110, Second Language","15","8","7","0.0295","0.004916666666666666","154.99999999999994"
"ENGL 110, ECE 335","18","8","10","0.023","0.0032857142857142855","86.74999999999994"
"ENGL 110, ECE 331","21","9","12","0.0165","0.002357142857142857","83.4"
"ENGL 110, ECE 344L","20","8","12","0.041","0.005857142857142858","143.09999999999988"
"ENGL 110, Social Sciences","15","8","7","0.033","0.004714285714285714","126.40000000000006"
"ENGL 110, ECE 419","17","9","8","0.0275","0.0034375","134.64999999999992"
"ENGL 110, ECE 437","18","8","10","0.0335","0.0041875","99.74999999999994"
"ENGL 110, ECE 435","20","8","12","0","0.0","27.0999999999999"
"ENGL 110, Tech Elective","15","8","7","0.0235","0.002611111111111111","146.49999999999997"
"ENGL 110, Humanities","15","8","7","0.04","0.0044444444444444444","155.04999999999993"
"ENGL 110, ECE 420","16","8","8","0.0375","0.004166666666666667","89.29999999999998"
"ENGL 110, ECE 440","18","8","10","0.0415","0.004611111111111111","154.3499999999999"
"ENGL 110, Tech Elective","15","8","7","0.0735","0.008166666666666666","132.99999999999994"
"ENGL 110, Fine Arts","15","8","7","0.068","0.007555555555555556","125.54999999999995"
"ENGL 110, Humanities","15","8","7","0.0975","0.010833333333333334","128.4999999999999"
"MATH 162, ENGL 110","33","21","12","0.069","0.0345","346.5"
"MATH 162, MATH 162","38","26","12","0.0625","0.03125","296.29999999999995"
"MATH 162, ECE 101","20","13","7","0.0455","0.02275","259.69999999999993"
"MATH 162, ECE 131","32","22","10","0.09","0.045","403.74999999999994"
"MATH 162, PHYC 160","33","21","12","0.089","0.0445","491.79999999999995"
"MATH 162, ENGL 120","32","20","12","0.083","0.02766666666666667","325.2"
"MATH 162, MATH 163","37","25","12","0.099","0.033","485.6499999999999"
"MATH 162, PHYC 161","32","20","12","0.0875","0.029166666666666664","374.99999999999994"
"MATH 162, PHYC 161L","22","13","9","0.0555","0.0185","263.3499999999999"
"MATH 162, ECE 231","29","19","10","0.0865","0.028833333333333332","337.95"
"MATH 162, ECE 203","30","18","12","0.0835","0.020875","306.54999999999995"
"MATH 162, ECE 238L","23","14","9","0.092","0.023","367.95"
"MATH 162, Basic Science","20","13","7","0.081","0.02025","340.55"
"MATH 162, Basic Science Lab","20","13","7","0.0585","0.014625","302.94999999999993"
"MATH 162, ENGL 219","22","13","9","0.055","0.01375","283.35"
