"name","original","new","cruciality","blocking","delay","term","difference","difference_norm","ediff","ttd"
"ENGL 110","0.8958","1.0","5","2","3","1","0.0072","0.0072","73.66500000000033","0.012149999999994776"
"MATH 162","0.7585","0.9861","29","21","8","1","0.0407","0.0407","352.32999999999953","0.16304999999999836"
"ME 160L","0.9124","1.0","8","4","4","1","0.0025","0.0025","71.84999999999974","0.01025000000000098"
"CHEM 121","0.8049","1.0","13","8","5","1","0.0158","0.0158","175.02500000000003","0.027249999999998664"
"CHEM 123L","0.8904","1.0","13","8","5","1","0","0.0","19.22999999999977","-0.00140000000000029"
"Fine Arts","0.9","1.0","1","0","1","1","0.0014","0.0014","74.3299999999999","0.004299999999997084"
"ENGL 120","0.9188","1.0","4","1","3","2","0.0008","0.0004","56.019999999999925","0.015349999999999753"
"MATH 163","0.7502","0.9753","26","18","8","2","0.0404","0.0202","285.1649999999996","0.1324999999999985"
"CS 151L","0.8885","1.0","18","12","6","2","0.004","0.002","83.85499999999972","0.014949999999997132"
"PHYC 160","0.7926","1.0","25","17","8","2","0.0212","0.0106","156.92999999999992","0.08669999999999689"
"PHYC 160L","0.965","1.0","3","0","3","2","0","0.0","5.114999999999792","0.0010999999999974364"
"Humanities","0.9","1.0","1","0","1","2","0.0043","0.00215","68.19499999999995","0.013599999999998502"
"CE 202","0.9171","1.0","18","11","7","3","0.0082","0.0027333333333333337","48.37000000000031","0.03250000000000064"
"ME 260L","0.9909","1.0","7","3","4","3","0","0.0","9.034999999999982","-0.0065000000000008384"
"MATH 264","0.8399","1.0","16","9","7","3","0.0265","0.008833333333333334","150.4099999999999","0.08234999999999992"
"PHYC 161","0.8497","1.0","14","6","8","3","0.0106","0.003533333333333333","68.7549999999999","0.05044999999999966"
"ME 217","0.9213","1.0","1","0","1","3","0","0.0","32.060000000000166","-0.001200000000000756"
"ME 306","0.9472","1.0","12","5","7","4","0","0.0","16.389999999999965","0.016099999999998005"
"MATH 316","0.8633","1.0","18","11","7","4","0.0108","0.0027","88.38000000000041","0.03424999999999656"
"ECE 203","0.9341","1.0","12","4","8","4","0.0066","0.00165","53.27499999999998","0.022349999999999426"
"ME 318L","0.9631","1.0","11","3","8","4","0.005","0.00125","14.045000000000309","0.014500000000001734"
"ENGL 219","0.9317","1.0","3","0","3","4","0","0.0","35.32999999999978","0.004649999999998045"
"ME 301","0.9528","1.0","10","3","7","5","0","0.0","12.3000000000001","-0.0009999999999994458"
"ME 317","0.9","1.0","10","2","8","5","0.0085","0.0017000000000000001","26.900000000000027","0.05524999999999913"
"CE 302","0.9229","1.0","11","5","6","5","0","0.0","27.62999999999963","-0.0019500000000043372"
"Math Elective","0.9","1.0","1","0","1","5","0.0032","0.00064","39.09999999999957","0.0034999999999989484"
"Humanities","0.9","1.0","1","0","1","5","0.0042","0.0008399999999999999","31.28999999999987","0.010799999999999699"
"ME 360L","0.9736","1.0","5","0","5","6","0.0037","0.0006166666666666667","14.51499999999994","0.011549999999996174"
"ME 357","0.982","1.0","9","2","7","6","0","0.0","-12.61500000000015","-0.005000000000000782"
"ME 370L","0.936","1.0","7","1","6","6","0","0.0","6.355000000000134","-0.003800000000001802"
"ME 352L","1.0","1.0","6","0","6","6","0","0.0","7.624999999999545","4.9999999998107114e-5"
"ECON 105","0.7904","1.0","1","0","1","6","0.0206","0.0034333333333333334","51.90999999999998","0.03484999999999694"
"Second Language","0.9","1.0","1","0","1","6","0.0097","0.0016166666666666666","37.640000000000214","0.023099999999997678"
"ME 320L","0.9879","1.0","9","1","8","7","0","0.0","1.7499999999997335","0.0018499999999992411"
"ME 459","0.9958","1.0","7","1","6","7","0","0.0","7.104999999999772","-0.0037500000000019185"
"ME 380","0.9679","1.0","8","1","7","7","0.0035","0.0005","9.529999999999657","0.01839999999999975"
"Tech Elective","0.9","1.0","1","0","1","7","0.0048","0.0006857142857142857","10.224999999999643","0.003899999999998016"
"ME 460","0.9976","1.0","8","0","8","8","0","0.0","7.200000000000201","0.0023999999999979593"
"Tech Elective","0.9","1.0","1","0","1","8","0.0143","0.0017875","23.909999999999968","0.03179999999999694"
"Tech Elective","0.9","1.0","1","0","1","8","0.0163","0.0020375","18.824999999999868","0.03844999999999743"
"Tech Elective","0.9","1.0","1","0","1","8","0.0195","0.0024375","16.27500000000013","0.04239999999999711"
