"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"MATH 121","-0.005000000000023874","-0.15500000000001535","-0.045000000000015916","-0.0800000000000125","-0.024999999999977263","-0.014999999999986358","-0.025000000000005684","-0.0049999999999954525"
"ENGL 110","-0.40500000000001535","0.025000000000019895","0.05999999999998806","0.025000000000005684","0.0049999999999954525","0.0","0.0","0.0"
"Humanities","-0.18000000000000682","0.05500000000000682","0.009999999999990905","0.005000000000009663","0.0","0.0","0.0","0.0"
"Physical & Natural Science","-0.265000000000029","-0.03999999999999204","0.03999999999999204","0.015000000000000568","0.0049999999999954525","0.0","0.0","0.0"
"MGMT 113","-0.27000000000001023","-0.06999999999996476","0.020000000000010232","0.015000000000000568","-0.0049999999999954525","0.0","0.0","0.0"
"MATH 180","0.0","0.8549999999999827","-0.030000000000001137","-0.009999999999990905","-0.0999999999999801","-0.13000000000000966","-0.04999999999998295","-0.04999999999999716"
"ENGL 120","0.0","-0.6149999999999949","-0.004999999999981242","-0.0049999999999954525","0.030000000000001137","0.0049999999999954525","0.0","0.0"
"Physical & Natural Science","-0.31999999999997897","-0.08500000000002217","0.0","0.01500000000001478","0.0","0.0","0.0","0.0"
"Physical & Natural Science Lab","0.0","0.08500000000002217","-0.06500000000001194","-0.010000000000005116","0.0049999999999954525","0.0","0.0","0.0"
"ECON 105","0.0","-0.730000000000004","-0.1599999999999966","0.0049999999999954525","-0.030000000000015348","-0.024999999999991473","0.0049999999999954525","0.0049999999999954525"
"Foreign Language","0.0","-0.7050000000000267","-0.125","-0.005000000000009663","-0.010000000000019327","0.0","0.0","0.0"
"ENGL 219","0.0","0.0","-0.44499999999997897","-0.08499999999997954","0.045000000000001705","0.025000000000019895","-0.0049999999999954525","0.0"
"Fine Arts","0.0","-0.5649999999999977","0.060000000000002274","-0.01500000000001478","-0.014999999999986358","0.0","0.0","0.0"
"ECON 106","0.0","0.0","-0.4450000000000074","-0.42499999999998295","-0.05500000000000682","0.01999999999999602","-0.009999999999990905","-0.01500000000001478"
"STAT 145","0.0","0.0","1.4210854715202004e-14","-0.14000000000001478","-0.24499999999999034","-0.005000000000038085","0.010000000000005116","-0.014999999999986358"
"Elective","0.0","0.0","0.004999999999981242","-0.18999999999999773","-0.01999999999999602","0.020000000000010232","0.010000000000005116","0.0"
"CS 150L","0.0","0.0","9.540000000000006","7.905000000000044","1.3199999999999932","0.21999999999998465","0.05999999999998806","0.0"
"MGMT 202","0.0","0.0","-0.17500000000000782","0.029999999999972715","-0.1799999999999926","-0.1150000000000233","-0.044999999999987494","-0.0049999999999954525"
"Social & Behavioral Science","0.0","0.0","0.0","0.5849999999999937","0.07000000000000739","-0.024999999999991473","-0.009999999999990905","0.0"
"Elective","0.0","0.0","0.0","0.8749999999999858","0.18000000000002103","0.030000000000015348","-0.005000000000023874","0.009999999999990905"
"MGMT 300","0.0","0.0","0.0","0.5799999999999841","-0.3049999999999784","-0.22000000000002728","-0.020000000000024443","0.0049999999999954525"
"MGMT 303","0.0","0.0","0.0","-0.07000000000000028","-0.05500000000000682","-0.2849999999999966","-0.11499999999998067","-0.009999999999976694"
"MGMT 306","0.0","0.0","0.0","2.8399999999999963","0.22999999999996135","0.030000000000015348","0.0049999999999954525","0.0"
"MGMT 308","0.0","0.0","0.0","3.995000000000001","0.5200000000000102","0.08500000000002217","0.0049999999999954525","0.0"
"MGMT 340","0.0","0.0","0.0","0.06499999999999995","1.414999999999992","-0.12999999999999545","-0.024999999999991473","-0.06499999999998352"
"MGMT 398","0.0","-0.2150000000000034","-0.21999999999999886","-0.22500000000000853","-0.030000000000001137","0.0","0.0","0.0"
"MGMT 310","0.0","0.0","0.0","0.0","2.355000000000018","0.12000000000000455","-0.020000000000010232","0.0"
"MGMT 322","0.0","0.0","0.0","0.04500000000000004","2.885000000000005","0.0350000000000108","0.010000000000005116","-0.015000000000000568"
"MGMT 326","0.0","0.0","0.0","0.0","2.4700000000000024","0.7300000000000182","0.08499999999997954","-0.0350000000000108"
"MGMT 341","0.0","0.0","0.0","0.0","0.024999999999999998","1.1750000000000114","-0.03499999999999659","-0.12499999999998579"
"MGMT 346","0.0","0.0","0.0","0.0","0.5350000000000001","0.3400000000000034","-0.23500000000001364","-0.09000000000001762"
"MGMT 450","0.0","0.0","0.0","0.0","0.0","2.0649999999999977","-0.4199999999999875","-0.14499999999999602"
"MGMT 343","0.0","0.0","0.0","0.0","3.1149999999999984","0.8899999999999864","0.004999999999981242","0.0049999999999954525"
"Upper Divison Humanities","0.0","0.0","0.0","0.0","0.6349999999999998","1.9050000000000011","0.2599999999999909","0.0049999999999954525"
"Elective","0.0","0.0","0.0","0.0","0.4850000000000001","3.1000000000000014","0.5749999999999886","0.125"
"Elective","0.0","0.0","0.0","0.0","0.005","2.1050000000000004","0.7800000000000011","0.024999999999991473"
"MGMT 328","0.0","0.0","0.0","0.0","0.0","1.165000000000001","1.6399999999999864","0.11000000000001364"
"MGMT 443","0.0","0.0","0.0","0.0","0.0","-0.014999999999999996","2.049999999999997","0.10499999999997556"
"MGMT 449","0.0","0.0","0.0","0.0","0.0","0.5700000000000003","2.654999999999987","0.45999999999997954"
"MGMT 498","0.0","0.0","0.0","0.0","0.0","0.0","2.980000000000004","-0.1600000000000108"
"Elective","0.0","0.0","0.0","0.0","0.0","0.08000000000000007","1.290000000000001","1.1550000000000153"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","1.2100000000000009","1.210000000000008"
