"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"MATH 121","0.14499999999999602","-0.08500000000000796","-0.09999999999999432","-0.04000000000000625","-0.01999999999999602","0.0","-0.0049999999999954525","0.0"
"ENGL 110","-0.5649999999999977","-0.20000000000000284","0.024999999999977263","0.010000000000005116","0.0049999999999954525","0.0","0.0","0.0"
"Humanities","0.09499999999997044","-0.03999999999999204","0.009999999999990905","0.0","0.0","0.0","0.0","0.0"
"Physical & Natural Science","0.009999999999962483","-0.11499999999999488","0.05500000000000682","0.005000000000009663","0.0049999999999954525","0.0","0.0","0.0"
"MGMT 113","0.0350000000000108","-0.014999999999972147","-0.014999999999986358","-0.005000000000009663","0.0","0.0","0.0","0.0"
"MATH 180","0.0","0.6600000000000037","0.21000000000000796","-0.05000000000001137","-0.01999999999998181","-0.04999999999999716","-0.01500000000001478","-0.005000000000009663"
"ENGL 120","0.0","-0.5950000000000131","-0.13000000000000966","-0.024999999999977263","1.4210854715202004e-14","0.0","0.0","0.0"
"Physical & Natural Science","-0.2799999999999869","-0.18000000000002103","0.010000000000005116","0.0","-0.0049999999999954525","0.0","0.0","0.0"
"Physical & Natural Science Lab","0.0","0.2150000000000034","0.03499999999999659","0.009999999999990905","0.0","0.0","0.0","0.0"
"ECON 105","0.0","-0.24500000000001876","0.0899999999999892","-0.030000000000001137","-0.08500000000000796","-0.05500000000000682","-0.005000000000009663","0.0049999999999954525"
"Foreign Language","0.0","-0.39500000000001023","-0.16500000000002046","-0.004999999999981242","-0.01500000000001478","-0.0049999999999954525","-0.0049999999999954525","0.0"
"ENGL 219","0.0","0.0","-0.4549999999999841","-0.26500000000000057","-0.06499999999998352","-0.009999999999976694","-0.010000000000005116","-0.0049999999999954525"
"Fine Arts","0.0","-0.24499999999999034","0.06999999999999318","0.0999999999999801","-0.009999999999990905","0.0","0.0","0.0"
"ECON 106","0.0","0.0","19.689999999999998","3.9450000000000074","0.7849999999999966","0.1449999999999818","0.025000000000005684","0.0"
"STAT 145","0.0","0.0","0.09999999999999432","-0.15500000000001535","-0.10499999999997556","-0.010000000000005116","0.020000000000010232","0.005000000000009663"
"Elective","0.0","0.0","0.10999999999999943","0.07499999999998863","-0.009999999999990905","0.025000000000005684","0.010000000000005116","0.0"
"CS 150L","0.0","0.0","0.02999999999999403","0.29500000000004434","0.0700000000000216","0.03999999999999204","0.04000000000000625","0.0"
"MGMT 202","0.0","0.0","0.25499999999999545","0.6599999999999966","0.10999999999998522","0.04999999999999716","0.01500000000001478","0.014999999999986358"
"Social & Behavioral Science","0.0","0.0","0.0","1.279999999999987","0.265000000000029","-0.024999999999991473","0.0049999999999954525","0.0"
"Elective","0.0","0.0","0.0","1.6550000000000011","0.32499999999998863","0.08000000000002672","0.014999999999986358","0.009999999999990905"
"MGMT 300","0.0","0.0","0.0","3.0949999999999847","0.03000000000002956","-0.10000000000002274","-0.009999999999990905","0.025000000000005684"
"MGMT 303","0.0","0.0","0.0","0.6899999999999977","0.7049999999999983","-0.07500000000000284","0.01999999999999602","0.03500000000003922"
"MGMT 306","0.0","0.0","0.0","6.874999999999993","0.3699999999999761","0.010000000000019327","0.0","0.0"
"MGMT 308","0.0","0.0","0.0","6.02","0.8700000000000188","0.06500000000001194","0.0","0.0"
"MGMT 340","0.0","0.0","0.0","0.024999999999999967","2.0200000000000102","0.25499999999998124","0.1950000000000074","0.020000000000024443"
"MGMT 398","0.0","-0.20999999999997954","-0.23499999999998522","-0.23000000000000398","-0.04999999999998295","-0.0049999999999954525","0.0","0.0"
"MGMT 310","0.0","0.0","0.0","0.0","3.3200000000000074","0.10499999999998977","-0.005000000000009663","0.0049999999999954525"
"MGMT 322","0.0","0.0","0.0","0.14500000000000007","5.475000000000023","0.980000000000004","0.19000000000004036","0.030000000000001137"
"MGMT 326","0.0","0.0","0.0","0.0","4.7400000000000055","1.2300000000000182","0.37999999999999545","0.03999999999997783"
"MGMT 341","0.0","0.0","0.0","0.0","0.005000000000000001","2.079999999999984","0.3199999999999932","0.17499999999999716"
"MGMT 346","0.0","0.0","0.0","0.0","1.3950000000000014","1.0550000000000068","-0.06500000000001194","-2.842170943040401e-14"
"MGMT 450","0.0","0.0","0.0","0.0","0.0","4.589999999999996","0.7250000000000085","0.18500000000000227"
"MGMT 343","0.0","0.0","0.0","0.0","3.0000000000000036","1.2099999999999937","0.07999999999998408","-0.010000000000005116"
"Upper Divison Humanities","0.0","0.0","0.0","0.0","0.7300000000000004","3.0400000000000063","0.5150000000000148","0.05999999999998806"
"Elective","0.0","0.0","0.0","0.0","0.4099999999999999","4.105000000000004","0.8299999999999983","0.1449999999999818"
"Elective","0.0","0.0","0.0","0.0","0.005","3.4800000000000004","1.019999999999996","0.020000000000010232"
"MGMT 328","0.0","0.0","0.0","0.0","0.0","1.4399999999999977","2.299999999999983","0.1150000000000091"
"MGMT 443","0.0","0.0","0.0","0.0","0.0","-0.019999999999999997","3.1549999999999727","0.36499999999996646"
"MGMT 449","0.0","0.0","0.0","0.0","0.0","0.27000000000000135","4.139999999999986","0.4099999999999824"
"MGMT 498","0.0","0.0","0.0","0.0","0.0","0.0","4.839999999999996","0.5999999999999801"
"Elective","0.0","0.0","0.0","0.0","0.0","0.09500000000000003","2.039999999999999","1.7150000000000176"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","1.7850000000000001","2.2349999999999994"
