"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"MATH 121","0.07499999999998863","0.14500000000001023","0.030000000000001137","-0.09000000000001762","1.4210854715202004e-14","1.4210854715202004e-14","-0.009999999999990905","0.0"
"ENGL 110","10.045000000000002","1.0050000000000097","0.16499999999999204","0.030000000000001137","0.0049999999999954525","0.0","0.0","0.0"
"Humanities","0.06999999999997897","-0.1599999999999966","0.0","0.010000000000005116","0.0","0.0","0.0","0.0"
"Physical & Natural Science","0.2749999999999915","-0.07500000000000284","0.014999999999986358","1.4210854715202004e-14","0.0049999999999954525","0.0","0.0","0.0"
"MGMT 113","0.030000000000001137","-0.07500000000000284","0.01500000000001478","0.015000000000000568","0.0","0.0","0.0","0.0"
"MATH 180","0.0","0.5450000000000017","0.14000000000001478","-0.009999999999990905","-0.1799999999999926","-0.07000000000000739","0.01500000000001478","-0.024999999999991473"
"ENGL 120","0.0","9.399999999999977","1.6300000000000239","0.2300000000000182","0.04999999999999716","0.0049999999999954525","0.0","0.0"
"Physical & Natural Science","-0.07499999999998863","-0.14499999999999602","-1.4210854715202004e-14","0.010000000000005116","0.0","0.0","0.0","0.0"
"Physical & Natural Science Lab","0.0","0.5850000000000222","0.009999999999990905","-0.040000000000034674","-0.015000000000000568","0.0","0.0","0.0"
"ECON 105","0.0","-1.0450000000000017","0.04000000000000625","-0.014999999999986358","-0.020000000000024443","0.0","0.0","0.0"
"Foreign Language","0.0","-0.0350000000000108","-0.09499999999999886","-0.015000000000000568","0.0","0.0","0.0","0.0"
"ENGL 219","0.0","0.0","8.680000000000021","1.970000000000013","0.39500000000002444","0.06500000000001194","0.0049999999999954525","0.0"
"Fine Arts","0.0","1.4210854715202004e-14","-0.09499999999999886","0.009999999999962483","-0.015000000000000568","-0.009999999999990905","0.0","0.0"
"ECON 106","0.0","0.0","-0.33499999999997954","-0.15999999999998238","-0.04000000000000625","-0.025000000000019895","-0.0049999999999954525","0.0"
"STAT 145","0.0","0.0","0.7399999999999807","0.07499999999998863","-0.11999999999999034","0.024999999999991473","0.015000000000000568","0.005000000000023874"
"Elective","0.0","0.0","0.09499999999998465","0.044999999999987494","0.0","0.010000000000019327","0.005000000000009663","0.0"
"CS 150L","0.0","0.0","-0.3149999999999977","0.04500000000004434","-0.04999999999999716","0.015000000000000568","0.03499999999998238","0.0"
"MGMT 202","0.0","0.0","0.05499999999999616","0.6849999999999881","1.4210854715202004e-14","-0.029999999999986926","-0.009999999999990905","0.025000000000005684"
"Social & Behavioral Science","0.0","0.0","0.0","0.5400000000000063","0.160000000000025","-0.060000000000002274","0.0","0.0"
"Elective","0.0","0.0","0.0","0.9200000000000159","0.4450000000000216","0.045000000000001705","0.01999999999998181","0.009999999999990905"
"MGMT 300","0.0","0.0","0.0","1.6449999999999818","0.15000000000000568","-0.13000000000003809","-0.0049999999999954525","0.025000000000005684"
"MGMT 303","0.0","0.0","0.0","0.3099999999999987","0.674999999999983","-0.005000000000009663","-0.020000000000010232","0.005000000000038085"
"MGMT 306","0.0","0.0","0.0","3.1650000000000063","0.2599999999999767","0.05499999999999261","0.0049999999999954525","0.0"
"MGMT 308","0.0","0.0","0.0","2.774999999999995","0.5950000000000273","0.125","0.0049999999999954525","0.0"
"MGMT 340","0.0","0.0","0.0","-0.16500000000000004","1.4699999999999989","0.0","0.029999999999986926","-0.004999999999981242"
"MGMT 398","0.0","-0.04000000000000625","-0.0700000000000216","-0.07500000000003126","-0.014999999999986358","0.0","0.0","0.0"
"MGMT 310","0.0","0.0","0.0","0.0","1.6950000000000074","0.10999999999999943","0.004999999999981242","0.0049999999999954525"
"MGMT 322","0.0","0.0","0.0","-0.32999999999999996","1.910000000000025","0.07000000000000739","0.03000000000002956","-0.009999999999990905"
"MGMT 326","0.0","0.0","0.0","0.0","2.2400000000000126","-0.18500000000000227","0.12999999999999545","0.10499999999998977"
"MGMT 341","0.0","0.0","0.0","0.0","-0.015","1.3700000000000045","0.06999999999997897","-0.09499999999999886"
"MGMT 346","0.0","0.0","0.0","0.0","0.9599999999999991","1.0300000000000011","0.009999999999990905","-0.010000000000019327"
"MGMT 450","0.0","0.0","0.0","0.0","0.0","2.154999999999994","-1.4210854715202004e-14","-0.010000000000005116"
"MGMT 343","0.0","0.0","0.0","0.0","1.4000000000000021","0.980000000000004","0.014999999999986358","0.014999999999986358"
"Upper Divison Humanities","0.0","0.0","0.0","0.0","-0.07499999999999929","2.069999999999979","0.22000000000001307","-0.005000000000009663"
"Elective","0.0","0.0","0.0","0.0","0.08000000000000007","2.2250000000000014","0.5750000000000028","0.17499999999999716"
"Elective","0.0","0.0","0.0","0.0","-0.005","1.4600000000000009","0.6000000000000227","-0.015000000000000568"
"MGMT 328","0.0","0.0","0.0","0.0","0.0","0.33000000000000185","1.1050000000000182","0.010000000000019327"
"MGMT 443","0.0","0.0","0.0","0.0","0.0","0.015","1.9150000000000063","0.23000000000000398"
"MGMT 449","0.0","0.0","0.0","0.0","0.0","0.14500000000000002","2.2449999999999903","0.2249999999999801"
"MGMT 498","0.0","0.0","0.0","0.0","0.0","0.0","2.509999999999998","0.07000000000000739"
"Elective","0.0","0.0","0.0","0.0","0.0","0.04999999999999999","1.0850000000000009","0.7350000000000279"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.9549999999999983","1.1749999999999972"
