"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"MATH 121","0.28999999999999204","-0.09499999999999886","0.09999999999999432","-0.05000000000002558","0.020000000000010232","-0.0049999999999954525","-0.0049999999999954525","0.0"
"ENGL 110","-0.04000000000000625","0.01999999999999602","0.04999999999999716","0.020000000000010232","0.0049999999999954525","0.0","0.0","0.0"
"Humanities","-0.11000000000004206","-0.14000000000001478","0.015000000000000568","0.0","0.0","0.0","0.0","0.0"
"Physical & Natural Science","0.269999999999996","0.029999999999986926","0.029999999999986926","0.010000000000005116","0.0049999999999954525","0.0","0.0","0.0"
"MGMT 113","-0.24500000000001876","-0.07499999999998863","0.010000000000005116","0.0049999999999954525","-0.0049999999999954525","0.0","0.0","0.0"
"MATH 180","0.0","0.6300000000000168","-0.004999999999981242","0.25500000000000966","0.05000000000002558","0.05000000000001137","0.05000000000001137","0.005000000000009663"
"ENGL 120","0.0","-0.20000000000000284","-0.09500000000001307","-0.01999999999998181","0.010000000000005116","-0.0049999999999954525","0.0","0.0"
"Physical & Natural Science","0.005000000000023874","-0.12000000000000455","0.015000000000000568","0.0","-0.0049999999999954525","0.0","0.0","0.0"
"Physical & Natural Science Lab","0.0","0.605000000000004","0.17499999999998295","0.0","-0.0049999999999954525","0.0","0.0","0.0"
"ECON 105","0.0","-0.7349999999999994","0.11999999999999034","0.030000000000001137","-0.030000000000015348","-0.044999999999987494","-0.014999999999986358","0.0049999999999954525"
"Foreign Language","0.0","-0.5700000000000074","-0.2400000000000233","-0.060000000000002274","-0.01500000000001478","0.0","0.0","0.0"
"ENGL 219","0.0","0.0","-0.029999999999958504","-0.24499999999999034","0.025000000000019895","0.0049999999999954525","-0.020000000000010232","0.0"
"Fine Arts","0.0","0.48499999999999943","0.125","0.0649999999999693","-0.004999999999981242","0.0","0.0","0.0"
"ECON 106","0.0","0.0","0.19999999999998863","-0.01999999999999602","0.04000000000000625","-0.025000000000005684","0.005000000000023874","-0.0049999999999954525"
"STAT 145","0.0","0.0","0.12000000000001876","0.10500000000000398","-0.15500000000000114","0.05999999999998806","0.010000000000005116","1.4210854715202004e-14"
"Elective","0.0","0.0","0.13500000000001933","-0.09499999999998465","-0.06499999999999773","1.4210854715202004e-14","0.010000000000005116","0.0"
"CS 150L","0.0","0.0","-0.5350000000000037","0.2300000000000324","-0.07500000000000284","-0.03500000000002501","0.010000000000005116","-0.0049999999999954525"
"MGMT 202","0.0","0.0","0.10999999999999588","0.0799999999999983","-0.09500000000001307","-0.11499999999998067","-0.07500000000000284","-0.0049999999999954525"
"Social & Behavioral Science","0.0","0.0","0.0","0.5600000000000023","0.1150000000000091","-0.04999999999998295","0.0049999999999954525","-0.0049999999999954525"
"Elective","0.0","0.0","0.0","-0.020000000000010232","0.269999999999996","0.06500000000001194","0.014999999999986358","0.009999999999990905"
"MGMT 300","0.0","0.0","0.0","0.585000000000008","0.08000000000004093","-0.140000000000029","0.03999999999997783","0.015000000000000568"
"MGMT 303","0.0","0.0","0.0","-0.11500000000000554","0.28000000000000114","-0.11499999999999488","-0.07999999999998408","-0.07999999999998408"
"MGMT 306","0.0","0.0","0.0","-0.06500000000001904","0.03499999999996817","0.01500000000001478","-0.010000000000005116","0.0"
"MGMT 308","0.0","0.0","0.0","-0.08999999999999275","0.06500000000001194","0.015000000000000568","-0.009999999999990905","0.0"
"MGMT 340","0.0","0.0","0.0","-0.015000000000000013","0.6350000000000193","0.015000000000000568","-0.0899999999999892","-0.10999999999999943"
"MGMT 398","0.0","-0.1150000000000091","-0.13999999999998636","-0.14499999999999602","-0.009999999999990905","0.0","0.0","0.0"
"MGMT 310","0.0","0.0","0.0","0.0","0.32500000000000284","0.020000000000024443","-0.010000000000005116","0.0049999999999954525"
"MGMT 322","0.0","0.0","0.0","0.0699999999999999","0.09500000000001307","0.13000000000000966","0.025000000000019895","0.010000000000019327"
"MGMT 326","0.0","0.0","0.0","0.0","0.09500000000000597","-0.5499999999999972","-0.0800000000000125","-0.005000000000009663"
"MGMT 341","0.0","0.0","0.0","0.0","0.009999999999999998","0.5550000000000068","-0.04000000000000625","-0.20999999999999375"
"MGMT 346","0.0","0.0","0.0","0.0","0.1399999999999988","0.28000000000001535","-0.1600000000000108","-0.01500000000002899"
"MGMT 450","0.0","0.0","0.0","0.0","0.0","0.19500000000000028","-0.07500000000000284","-0.060000000000002274"
"MGMT 343","0.0","0.0","0.0","0.0","0.22499999999999787","0.45999999999999375","-0.060000000000002274","0.009999999999990905"
"Upper Divison Humanities","0.0","0.0","0.0","0.0","0.17000000000000082","0.0899999999999892","0.1250000000000142","-0.010000000000005116"
"Elective","0.0","0.0","0.0","0.0","-0.04000000000000026","0.21000000000000085","0.20000000000000284","0.14000000000000057"
"Elective","0.0","0.0","0.0","0.0","0.005","0.1999999999999993","0.20999999999999375","-0.11499999999999488"
"MGMT 328","0.0","0.0","0.0","0.0","0.0","0.2699999999999996","0.37999999999999545","0.015000000000000568"
"MGMT 443","0.0","0.0","0.0","0.0","0.0","0.015","0.6599999999999966","0.08499999999995111"
"MGMT 449","0.0","0.0","0.0","0.0","0.0","0.05000000000000071","-0.12000000000000455","0.1700000000000017"
"MGMT 498","0.0","0.0","0.0","0.0","0.0","0.0","-0.2500000000000071","-0.060000000000002274"
"Elective","0.0","0.0","0.0","0.0","0.0","0.03500000000000003","1.7349999999999994","8.555000000000007"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","1.429999999999998","8.365000000000009"
