"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"MATH 121","0.4549999999999983","0.1150000000000091","-1.4210854715202004e-14","-0.045000000000001705","1.4210854715202004e-14","-0.01999999999998181","-0.0049999999999954525","0.0"
"ENGL 110","-0.6099999999999994","-0.09499999999998465","0.07000000000000739","0.010000000000005116","0.0049999999999954525","0.0","0.0","0.0"
"Humanities","-0.1500000000000341","-0.03499999999999659","-0.020000000000010232","1.4210854715202004e-14","-0.0049999999999954525","0.0","0.0","0.0"
"Physical & Natural Science","0.20499999999996987","-0.044999999999987494","0.03999999999997783","0.0049999999999954525","0.0049999999999954525","0.0","0.0","0.0"
"MGMT 113","-0.4099999999999966","0.0049999999999954525","0.04000000000000625","0.010000000000005116","0.0","0.0","0.0","0.0"
"MATH 180","0.0","0.6600000000000037","0.2600000000000051","0.30000000000001137","0.13500000000001933","0.04999999999999716","0.010000000000019327","-0.0049999999999954525"
"ENGL 120","0.0","-0.5950000000000131","-0.20499999999998408","-0.06999999999999318","0.025000000000005684","0.0049999999999954525","0.0","0.0"
"Physical & Natural Science","-0.009999999999990905","-0.25499999999999545","-0.01999999999999602","1.4210854715202004e-14","0.0","0.0","0.0","0.0"
"Physical & Natural Science Lab","0.0","0.4100000000000108","0.07999999999998408","0.004999999999981242","-0.009999999999990905","0.0","0.0","0.0"
"ECON 105","0.0","-0.28999999999999204","0.14500000000001023","-0.009999999999990905","-0.05499999999999261","-0.03999999999999204","-0.005000000000009663","0.0049999999999954525"
"Foreign Language","0.0","-0.6000000000000227","-0.29000000000002046","-0.06500000000001194","-1.4210854715202004e-14","0.0","0.0","0.0"
"ENGL 219","0.0","0.0","-0.7249999999999943","-0.2799999999999869","-0.06999999999997897","0.01500000000002899","0.0","0.0"
"Fine Arts","0.0","6.47999999999999","4.215000000000003","0.44999999999998863","0.025000000000005684","0.0","0.0","0.0"
"ECON 106","0.0","0.0","-0.2950000000000017","0.1700000000000017","-1.4210854715202004e-14","-1.4210854715202004e-14","0.0","-0.0049999999999954525"
"STAT 145","0.0","0.0","0.5099999999999909","0.01999999999999602","0.01999999999999602","0.01999999999999602","0.025000000000005684","0.010000000000019327"
"Elective","0.0","0.0","0.8399999999999892","-0.03499999999999659","-0.0549999999999784","-0.004999999999981242","0.010000000000005116","0.0"
"CS 150L","0.0","0.0","2.234999999999978","0.3400000000000034","0.11000000000002785","0.03999999999997783","0.024999999999991473","-0.0049999999999954525"
"MGMT 202","0.0","0.0","2.7300000000000004","0.9949999999999761","0.18500000000001648","0.0800000000000125","-0.06499999999999773","-0.0049999999999954525"
"Social & Behavioral Science","0.0","0.0","0.0","1.045000000000016","0.09499999999999886","-0.029999999999986926","-0.005000000000009663","0.0"
"Elective","0.0","0.0","0.0","1.019999999999996","0.4100000000000108","0.07500000000003126","0.0049999999999954525","0.009999999999990905"
"MGMT 300","0.0","0.0","0.0","1.7950000000000017","-0.044999999999987494","0.009999999999990905","0.0350000000000108","0.030000000000015348"
"MGMT 303","0.0","0.0","0.0","2.3999999999999986","1.1199999999999903","0.18500000000000227","0.12499999999998579","-0.01999999999998181"
"MGMT 306","0.0","0.0","0.0","2.3549999999999827","-0.005000000000038085","0.04000000000000625","0.0049999999999954525","0.0"
"MGMT 308","0.0","0.0","0.0","1.1350000000000016","0.23000000000000398","0.09000000000000341","0.0049999999999954525","0.0"
"MGMT 340","0.0","0.0","0.0","0.02999999999999997","1.740000000000009","0.3149999999999693","0.25500000000000966","-0.03499999999998238"
"MGMT 398","0.0","-0.12000000000000455","-0.1600000000000108","-0.16500000000002046","-0.024999999999991473","0.0","0.0","0.0"
"MGMT 310","0.0","0.0","0.0","0.0","1.730000000000004","0.07000000000000739","-0.005000000000009663","0.0049999999999954525"
"MGMT 322","0.0","0.0","0.0","0.02999999999999997","1.8700000000000188","0.125","0.04500000000003013","-0.0049999999999954525"
"MGMT 326","0.0","0.0","0.0","0.0","2.41500000000001","0.6099999999999994","0.12999999999998124","-0.1150000000000233"
"MGMT 341","0.0","0.0","0.0","0.0","0.024999999999999998","1.759999999999991","0.46999999999997044","0.25500000000000966"
"MGMT 346","0.0","0.0","0.0","0.0","1.660000000000002","1.305000000000021","0.2699999999999818","0.11499999999996646"
"MGMT 450","0.0","0.0","0.0","0.0","0.0","2.0549999999999997","0.32500000000000284","0.19000000000002615"
"MGMT 343","0.0","0.0","0.0","0.0","0.36499999999999844","0.4099999999999824","-0.09000000000001762","0.0049999999999954525"
"Upper Divison Humanities","0.0","0.0","0.0","0.0","-0.22500000000000053","1.444999999999979","0.16500000000002046","0.025000000000005684"
"Elective","0.0","0.0","0.0","0.0","-0.09499999999999997","1.9400000000000048","0.6899999999999977","0.125"
"Elective","0.0","0.0","0.0","0.0","0.0","0.870000000000001","0.3849999999999909","-0.0899999999999892"
"MGMT 328","0.0","0.0","0.0","0.0","0.0","0.034999999999998366","1.3100000000000023","0.01500000000001478"
"MGMT 443","0.0","0.0","0.0","0.0","0.0","0.015","1.740000000000009","0.3199999999999932"
"MGMT 449","0.0","0.0","0.0","0.0","0.0","-0.11499999999999932","1.884999999999991","0.1349999999999909"
"MGMT 498","0.0","0.0","0.0","0.0","0.0","0.0","2.1499999999999915","0.20000000000000284"
"Elective","0.0","0.0","0.0","0.0","0.0","-0.025000000000000078","0.7650000000000006","0.7400000000000091"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","1.0399999999999991","1.0100000000000051"
