"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"MATH 121","0.4049999999999869","0.23499999999998522","0.06499999999998352","-0.05499999999999261","-0.014999999999972147","0.005000000000009663","-0.0049999999999954525","0.0"
"ENGL 110","-0.6299999999999955","-0.05500000000000682","0.05500000000000682","0.009999999999990905","0.0049999999999954525","0.0","0.0","0.0"
"Humanities","0.13999999999998636","-0.03500000000002501","0.010000000000005116","0.005000000000009663","0.0","0.0","0.0","0.0"
"Physical & Natural Science","-0.17500000000002558","-0.07000000000000739","0.009999999999990905","0.005000000000009663","0.0","0.0","0.0","0.0"
"MGMT 113","-0.17499999999999716","-0.01999999999999602","0.025000000000005684","0.015000000000000568","0.0","0.0","0.0","0.0"
"MATH 180","0.0","0.7849999999999895","0.10999999999999943","0.21500000000001762","0.03500000000002501","0.010000000000019327","0.03500000000003922","0.0"
"ENGL 120","0.0","-0.5800000000000125","-0.0799999999999983","-0.06999999999999318","0.010000000000005116","0.0049999999999954525","0.0","0.0"
"Physical & Natural Science","-0.125","-0.005000000000023874","0.009999999999990905","0.01500000000001478","0.0","0.0","0.0","0.0"
"Physical & Natural Science Lab","0.0","0.36000000000001364","0.09499999999998465","0.0049999999999954525","0.0049999999999954525","0.0","0.0","0.0"
"ECON 105","0.0","-0.9350000000000023","-0.08499999999997954","0.020000000000010232","-0.03999999999999204","-0.029999999999986926","-0.025000000000005684","0.0049999999999954525"
"Foreign Language","0.0","9.234999999999985","1.3049999999999784","0.12499999999998579","0.009999999999990905","0.0","0.0","0.0"
"ENGL 219","0.0","0.0","-0.4949999999999761","-0.18999999999998352","-0.06499999999998352","-0.0049999999999954525","-0.010000000000005116","0.0"
"Fine Arts","0.0","-0.05999999999998806","0.41500000000000625","0.15000000000000568","-0.014999999999986358","0.0","0.0","0.0"
"ECON 106","0.0","0.0","-0.19499999999999318","-0.045000000000001705","0.0049999999999954525","0.01999999999999602","0.025000000000005684","0.0"
"STAT 145","0.0","0.0","0.9099999999999966","0.07499999999998863","-0.05999999999998806","0.01999999999999602","0.030000000000001137","0.005000000000009663"
"Elective","0.0","0.0","2.490000000000009","0.3299999999999841","0.020000000000024443","-0.009999999999990905","0.010000000000005116","0.0"
"CS 150L","0.0","0.0","2.674999999999997","0.6700000000000301","0.20499999999995566","0.05999999999998806","0.01999999999999602","-0.0049999999999954525"
"MGMT 202","0.0","0.0","2.2099999999999973","0.3850000000000051","-0.04000000000000625","-0.040000000000034674","-0.010000000000005116","0.01999999999999602"
"Social & Behavioral Science","0.0","0.0","0.0","0.5300000000000011","0.020000000000010232","-0.05500000000000682","0.0049999999999954525","0.0"
"Elective","0.0","0.0","0.0","1.1299999999999955","0.19000000000001194","0.06499999999999773","-0.010000000000019327","0.009999999999990905"
"MGMT 300","0.0","0.0","0.0","1.5900000000000034","0.05500000000002103","-0.04500000000003013","0.029999999999986926","0.025000000000019895"
"MGMT 303","0.0","0.0","0.0","1.9699999999999953","0.5799999999999841","0.07500000000000284","0.010000000000033538","0.0350000000000108"
"MGMT 306","0.0","0.0","0.0","2.0249999999999773","0.16499999999997783","0.01999999999999602","0.0049999999999954525","0.0"
"MGMT 308","0.0","0.0","0.0","1.269999999999996","0.24500000000000455","0.07500000000001705","0.0049999999999954525","0.0"
"MGMT 340","0.0","0.0","0.0","0.044999999999999984","1.029999999999987","0.04000000000000625","-0.13000000000000966","-0.030000000000001137"
"MGMT 398","0.0","-0.1500000000000199","-0.2050000000000125","-0.20000000000001705","-0.05999999999998806","-0.0049999999999954525","0.0","0.0"
"MGMT 310","0.0","0.0","0.0","0.0","1.5250000000000057","0.09999999999999432","0.0049999999999954525","0.0049999999999954525"
"MGMT 322","0.0","0.0","0.0","0.030000000000000193","1.9450000000000216","0.1700000000000017","0.09500000000002728","0.030000000000001137"
"MGMT 326","0.0","0.0","0.0","0.0","1.6800000000000033","0.375","-0.025000000000005684","0.01999999999999602"
"MGMT 341","0.0","0.0","0.0","0.0","0.014999999999999996","1.0450000000000017","0.14500000000001023","-0.11999999999999034"
"MGMT 346","0.0","0.0","0.0","0.0","1.3050000000000015","0.8850000000000193","0.03999999999996362","0.03999999999997783"
"MGMT 450","0.0","0.0","0.0","0.0","0.0","2.0049999999999955","0.2950000000000017","0.09000000000000341"
"MGMT 343","0.0","0.0","0.0","0.0","1.1550000000000011","0.7550000000000097","-0.01999999999999602","0.009999999999990905"
"Upper Divison Humanities","0.0","0.0","0.0","0.0","0.245000000000001","1.559999999999988","0.13500000000003354","-0.03499999999999659"
"Elective","0.0","0.0","0.0","0.0","-0.05999999999999983","2.1300000000000026","0.23999999999998067","0.17499999999998295"
"Elective","0.0","0.0","0.0","0.0","0.005","0.9000000000000021","0.8999999999999773","1.4210854715202004e-14"
"MGMT 328","0.0","0.0","0.0","0.0","0.0","0.7749999999999986","1.4900000000000233","0.07500000000001705"
"MGMT 443","0.0","0.0","0.0","0.0","0.0","0.015000000000000006","1.664999999999992","0.030000000000001137"
"MGMT 449","0.0","0.0","0.0","0.0","0.0","0.025000000000000355","1.9399999999999835","0.12999999999998124"
"MGMT 498","0.0","0.0","0.0","0.0","0.0","0.0","1.8350000000000009","0.21999999999999886"
"Elective","0.0","0.0","0.0","0.0","0.0","-0.015000000000000013","0.9949999999999974","1.1899999999999977"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.9499999999999993","1.4250000000000398"
