"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"MATH 121","0.21999999999999886","0.1799999999999926","-0.08000000000002672","-0.125","-0.03499999999998238","-0.004999999999981242","-0.0049999999999954525","0.0"
"ENGL 110","-0.14499999999999602","-0.04999999999999716","0.07500000000000284","0.010000000000005116","-0.005000000000009663","0.0","0.0","0.0"
"Humanities","9.874999999999972","0.9399999999999977","0.0899999999999892","0.010000000000005116","0.0","0.0","0.0","0.0"
"Physical & Natural Science","0.024999999999977263","-0.05500000000002103","-1.4210854715202004e-14","0.015000000000000568","0.0049999999999954525","0.0","0.0","0.0"
"MGMT 113","-0.29000000000000625","-0.024999999999991473","0.010000000000005116","0.004999999999981242","0.0","0.0","0.0","0.0"
"MATH 180","0.0","0.375","-0.12000000000000455","-0.1950000000000074","-0.15999999999998238","-0.044999999999987494","-0.009999999999990905","0.0"
"ENGL 120","0.0","-0.6149999999999949","-0.06999999999999318","-0.004999999999981242","0.0049999999999954525","-0.005000000000009663","0.0","0.0"
"Physical & Natural Science","-0.160000000000025","-0.03499999999999659","0.0","0.005000000000023874","0.0","0.0","0.0","0.0"
"Physical & Natural Science Lab","0.0","0.3650000000000233","0.024999999999977263","-0.03999999999999204","-0.025000000000005684","-0.0049999999999954525","-0.0049999999999954525","0.0"
"ECON 105","0.0","-0.5949999999999989","0.06499999999999773","0.08500000000000796","0.010000000000005116","-0.015000000000000568","0.0","0.0049999999999954525"
"Foreign Language","0.0","1.8649999999999949","-0.060000000000016485","-0.020000000000024443","-0.005000000000009663","0.0","0.0","0.0"
"ENGL 219","0.0","0.0","-0.4549999999999841","-0.2599999999999767","0.020000000000010232","0.0","-0.010000000000005116","0.0"
"Fine Arts","0.0","6.359999999999985","0.7750000000000057","0.14999999999997726","-0.024999999999977263","-0.0049999999999954525","0.0","0.0"
"ECON 106","0.0","0.0","-0.045000000000001705","-0.16500000000000625","-0.05499999999999261","-0.03499999999999659","-0.01999999999998181","-0.010000000000005116"
"STAT 145","0.0","0.0","1.0600000000000165","-0.05500000000000682","-0.15999999999998238","-0.04000000000000625","-0.020000000000010232","0.0"
"Elective","0.0","0.0","2.4650000000000034","-0.040000000000020464","-0.029999999999986926","0.010000000000005116","0.010000000000005116","0.0"
"CS 150L","0.0","0.0","2.644999999999996","0.7350000000000421","-0.005000000000023874","0.020000000000010232","0.015000000000000568","0.0"
"MGMT 202","0.0","0.0","2.364999999999995","0.9450000000000074","0.12499999999998579","0.030000000000001137","-0.009999999999990905","0.01500000000001478"
"Social & Behavioral Science","0.0","0.0","0.0","1.1850000000000165","0.09000000000000341","-0.03999999999999204","-0.01500000000001478","0.0"
"Elective","0.0","0.0","0.0","0.8299999999999841","0.19000000000004036","0.05000000000001137","-1.4210854715202004e-14","0.009999999999990905"
"MGMT 300","0.0","0.0","0.0","1.5949999999999989","0.010000000000033538","-0.14500000000001023","-0.045000000000001705","-0.01999999999999602"
"MGMT 303","0.0","0.0","0.0","2.0","0.9299999999999926","0.14999999999999147","0.05500000000000682","4.263256414560601e-14"
"MGMT 306","0.0","0.0","0.0","1.8799999999999955","0.1899999999999693","0.015000000000000568","-0.005000000000009663","0.0"
"MGMT 308","0.0","0.0","0.0","1.0549999999999997","0.36999999999999034","0.030000000000001137","-0.010000000000005116","0.0"
"MGMT 340","0.0","0.0","0.0","0.024999999999999967","1.8600000000000136","0.01999999999999602","0.09000000000001762","-0.03499999999999659"
"MGMT 398","0.0","-0.0700000000000216","-0.12000000000003297","-0.12000000000003297","-0.010000000000005116","0.0","0.0","0.0"
"MGMT 310","0.0","0.0","0.0","0.0","1.4350000000000023","0.060000000000016485","0.004999999999981242","0.0049999999999954525"
"MGMT 322","0.0","0.0","0.0","0.07500000000000001","1.1300000000000097","-0.009999999999990905","-0.01999999999998181","-0.01999999999998181"
"MGMT 326","0.0","0.0","0.0","0.0","2.0250000000000092","0.43499999999998806","-0.04500000000003013","-0.10500000000000398"
"MGMT 341","0.0","0.0","0.0","0.0","0.005000000000000001","1.8649999999999807","0.14499999999999602","0.045000000000001705"
"MGMT 346","0.0","0.0","0.0","0.0","1.4950000000000028","1.0949999999999989","0.16499999999997783","0.05999999999995964"
"MGMT 450","0.0","0.0","0.0","0.0","0.0","1.6849999999999952","0.030000000000015348","-0.06499999999999773"
"MGMT 343","0.0","0.0","0.0","0.0","0.7449999999999939","0.4200000000000017","-0.06499999999999773","0.009999999999990905"
"Upper Divison Humanities","0.0","0.0","0.0","0.0","-0.254999999999999","1.329999999999984","0.4550000000000125","-0.03500000000002501"
"Elective","0.0","0.0","0.0","0.0","-0.20500000000000007","1.5800000000000054","0.4549999999999983","0.24500000000000455"
"Elective","0.0","0.0","0.0","0.0","-0.005","1.3499999999999979","0.5300000000000011","-0.10999999999998522"
"MGMT 328","0.0","0.0","0.0","0.0","0.0","0.5249999999999986","1.0300000000000011","0.0800000000000125"
"MGMT 443","0.0","0.0","0.0","0.0","0.0","0.06500000000000002","1.2899999999999778","0.1349999999999767"
"MGMT 449","0.0","0.0","0.0","0.0","0.0","-0.2599999999999998","1.7649999999999864","0.339999999999975"
"MGMT 498","0.0","0.0","0.0","0.0","0.0","0.0","2.020000000000003","0.09999999999999432"
"Elective","0.0","0.0","0.0","0.0","0.0","-0.034999999999999976","0.8899999999999988","0.8499999999999943"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.9800000000000004","1.0050000000000239"
