"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"MATH 121","22.570000000000007","6.765000000000015","1.789999999999992","0.3999999999999915","0.10500000000000398","0.020000000000010232","0.0","0.0"
"ENGL 110","-0.3049999999999926","-0.19499999999999318","0.045000000000001705","0.020000000000010232","0.0049999999999954525","0.0","0.0","0.0"
"Humanities","0.22999999999996135","-0.06499999999998352","-0.010000000000005116","0.0","0.0","0.0","0.0","0.0"
"Physical & Natural Science","-0.1150000000000233","-0.10999999999999943","0.05499999999999261","0.010000000000005116","0.0049999999999954525","0.0","0.0","0.0"
"MGMT 113","-0.24500000000000455","0.025000000000019895","0.010000000000019327","0.0049999999999954525","-0.0049999999999954525","0.0","0.0","0.0"
"MATH 180","0.0","17.624999999999993","9.36","3.865000000000009","1.3200000000000074","0.4000000000000057","0.14000000000000057","0.045000000000001705"
"ENGL 120","0.0","-0.480000000000004","-0.23499999999998522","-0.014999999999986358","0.01999999999999602","0.0","0.0","0.0"
"Physical & Natural Science","-0.43499999999998806","-0.22000000000001307","0.024999999999991473","0.01500000000001478","0.0","0.0","0.0","0.0"
"Physical & Natural Science Lab","0.0","0.6300000000000097","0.06499999999999773","0.004999999999981242","-0.010000000000005116","-0.0049999999999954525","0.0","0.0"
"ECON 105","0.0","-0.9850000000000136","0.10000000000002274","0.0700000000000216","1.4210854715202004e-14","-0.010000000000005116","0.0","0.0049999999999954525"
"Foreign Language","0.0","-0.2500000000000284","-0.140000000000029","0.0049999999999954525","-0.005000000000009663","0.0","0.0","0.0"
"ENGL 219","0.0","0.0","-0.5349999999999824","-0.3999999999999915","-0.030000000000015348","0.010000000000019327","-0.0049999999999954525","0.0"
"Fine Arts","0.0","-0.3300000000000054","-0.19499999999997897","0.04999999999998295","-0.01999999999998181","0.0","0.0","0.0"
"ECON 106","0.0","0.0","-0.5","-0.04999999999998295","0.04999999999999716","-0.03499999999999659","-0.01999999999998181","-0.0049999999999954525"
"STAT 145","0.0","0.0","6.49499999999999","2.384999999999991","0.6450000000000102","0.2149999999999892","0.060000000000002274","0.01500000000001478"
"Elective","0.0","0.0","1.3850000000000051","0.19999999999998863","-0.029999999999986926","0.005000000000009663","0.010000000000005116","0.0"
"CS 150L","0.0","0.0","3.3100000000000023","0.960000000000008","0.13500000000001933","0.06499999999999773","0.03499999999999659","0.0"
"MGMT 202","0.0","0.0","3.229999999999997","1.3999999999999915","0.2150000000000034","0.024999999999977263","0.005000000000009663","0.0049999999999954525"
"Social & Behavioral Science","0.0","0.0","0.0","0.8500000000000085","0.09000000000000341","-0.03499999999999659","0.0049999999999954525","0.0"
"Elective","0.0","0.0","0.0","1.654999999999987","0.2950000000000301","0.07000000000000739","0.009999999999990905","0.009999999999990905"
"MGMT 300","0.0","0.0","0.0","6.405000000000001","2.4850000000000136","0.6899999999999977","0.23000000000000398","0.07000000000000739"
"MGMT 303","0.0","0.0","0.0","2.9749999999999943","1.5199999999999818","0.2749999999999915","0.044999999999973284","0.01500000000001478"
"MGMT 306","0.0","0.0","0.0","3.914999999999985","0.20999999999996533","0.01500000000001478","-0.009999999999990905","0.0"
"MGMT 308","0.0","0.0","0.0","3.7249999999999943","0.6400000000000006","0.05500000000002103","0.0","0.0"
"MGMT 340","0.0","0.0","0.0","0.08499999999999996","2.5600000000000165","0.6500000000000057","0.13000000000000966","0.025000000000005684"
"MGMT 398","0.0","-0.214999999999975","-0.24499999999999034","-0.25","-0.06999999999999318","0.0","0.0","0.0"
"MGMT 310","0.0","0.0","0.0","0.0","3.2050000000000125","0.18000000000002103","-0.005000000000009663","0.0049999999999954525"
"MGMT 322","0.0","0.0","0.0","0.025000000000000022","4.160000000000011","0.37000000000000455","0.025000000000019895","-0.024999999999977263"
"MGMT 326","0.0","0.0","0.0","0.0","5.310000000000006","2.194999999999993","0.5599999999999881","0.1799999999999784"
"MGMT 341","0.0","0.0","0.0","0.0","0.005000000000000001","2.125","0.6850000000000023","0.07499999999998863"
"MGMT 346","0.0","0.0","0.0","0.0","3.110000000000001","1.9150000000000063","0.3349999999999653","0.05999999999995964"
"MGMT 450","0.0","0.0","0.0","0.0","0.0","5.109999999999999","1.2900000000000063","0.23499999999998522"
"MGMT 343","0.0","0.0","0.0","0.0","2.770000000000003","1.3999999999999915","0.03999999999999204","-0.01999999999998181"
"Upper Divison Humanities","0.0","0.0","0.0","0.0","0.28500000000000014","3.7849999999999966","0.4000000000000199","0.004999999999981242"
"Elective","0.0","0.0","0.0","0.0","0.1999999999999995","4.554999999999993","1.2099999999999937","0.25499999999996703"
"Elective","0.0","0.0","0.0","0.0","-0.005","3.6050000000000004","1.1999999999999886","0.030000000000015348"
"MGMT 328","0.0","0.0","0.0","0.0","0.0","1.5500000000000007","2.230000000000004","0.03000000000002956"
"MGMT 443","0.0","0.0","0.0","0.0","0.0","0.0049999999999999975","4.439999999999998","0.2599999999999767"
"MGMT 449","0.0","0.0","0.0","0.0","0.0","0.2800000000000007","5.034999999999982","0.4299999999999926"
"MGMT 498","0.0","0.0","0.0","0.0","0.0","0.0","5.474999999999994","0.6700000000000159"
"Elective","0.0","0.0","0.0","0.0","0.0","-0.009999999999999981","2.424999999999999","2.2450000000000045"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","2.205000000000002","2.7450000000000045"
