"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"MATH 121","0.06499999999999773","0.22000000000001307","0.09999999999999432","-0.05000000000001137","1.4210854715202004e-14","-0.01999999999998181","-0.015000000000000568","0.0"
"ENGL 110","-0.23499999999999943","-0.03499999999998238","0.05500000000000682","0.025000000000005684","0.0049999999999954525","0.0","0.0","0.0"
"Humanities","-0.34000000000003183","-0.09000000000000341","0.030000000000001137","1.4210854715202004e-14","0.0","0.0","0.0","0.0"
"Physical & Natural Science","0.24499999999996191","-0.05999999999998806","0.03499999999998238","0.010000000000005116","0.0049999999999954525","0.0","0.0","0.0"
"MGMT 113","0.024999999999977263","-0.11499999999998067","0.010000000000019327","0.015000000000000568","0.0","0.0","0.0","0.0"
"MATH 180","0.0","0.5700000000000003","0.35999999999999943","0.17500000000001137","-0.01999999999998181","0.0049999999999954525","0.025000000000005684","0.015000000000000568"
"ENGL 120","0.0","-0.4000000000000057","0.06500000000001194","-0.04000000000000625","0.024999999999991473","-0.005000000000009663","0.0","0.0"
"Physical & Natural Science","0.1950000000000074","-0.05000000000001137","0.014999999999986358","0.005000000000009663","0.0","0.0","0.0","0.0"
"Physical & Natural Science Lab","0.0","0.06500000000001194","0.125","0.025000000000005684","0.0","0.0","0.0","0.0"
"ECON 105","0.0","-0.7099999999999937","-0.17500000000001137","-0.009999999999976694","-0.005000000000009663","-0.015000000000000568","-0.020000000000010232","0.0"
"Foreign Language","0.0","-0.10500000000000398","-0.20000000000000284","-0.0049999999999954525","-0.0049999999999954525","-0.0049999999999954525","0.0","0.0"
"ENGL 219","0.0","0.0","-0.2949999999999733","-0.05999999999997385","-0.05999999999997385","0.01500000000001478","-0.015000000000000568","0.0"
"Fine Arts","0.0","0.08500000000001506","0.12000000000000455","0.06499999999999773","-0.014999999999986358","-0.0049999999999954525","0.0","0.0"
"ECON 106","0.0","0.0","-0.4549999999999983","0.01500000000002899","0.06999999999997897","0.004999999999981242","-0.009999999999976694","-0.0049999999999954525"
"STAT 145","0.0","0.0","-0.28999999999999204","-0.07500000000001705","-0.020000000000024443","0.030000000000001137","0.005000000000023874","-0.004999999999981242"
"Elective","0.0","0.0","-0.06499999999999773","0.01500000000001478","0.0","0.010000000000005116","0.010000000000005116","0.0"
"CS 150L","0.0","0.0","-0.2950000000000017","-0.15499999999997272","-0.15000000000000568","0.0","0.03999999999999204","0.0"
"MGMT 202","0.0","0.0","0.04499999999999815","0.11999999999999034","0.06499999999999773","0.03499999999999659","-0.005000000000009663","0.005000000000009663"
"Social & Behavioral Science","0.0","0.0","0.0","0.18999999999998352","0.0350000000000108","-0.009999999999990905","0.0049999999999954525","0.0"
"Elective","0.0","0.0","0.0","0.07999999999998408","0.06500000000002615","0.045000000000015916","0.014999999999986358","0.009999999999990905"
"MGMT 300","0.0","0.0","0.0","-0.22499999999999432","-0.024999999999977263","-0.005000000000023874","0.040000000000020464","0.005000000000023874"
"MGMT 303","0.0","0.0","0.0","-0.054999999999999716","0.03999999999999204","-0.06499999999999773","0.060000000000002274","0.025000000000019895"
"MGMT 306","0.0","0.0","0.0","-0.5400000000000134","-0.025000000000019895","0.010000000000019327","-0.010000000000005116","0.0"
"MGMT 308","0.0","0.0","0.0","-0.2449999999999939","-0.04000000000000625","0.09999999999999432","-0.005000000000009663","0.0"
"MGMT 340","0.0","0.0","0.0","0.014999999999999986","0.3649999999999949","0.12999999999999545","0.10500000000001819","0.030000000000015348"
"MGMT 398","0.0","-0.125","-0.14500000000001023","-0.14500000000001023","-0.01999999999998181","0.0","0.0","0.0"
"MGMT 310","0.0","0.0","0.0","0.0","0.22000000000002728","-0.04999999999999716","-0.01500000000001478","0.0049999999999954525"
"MGMT 322","0.0","0.0","0.0","-0.010000000000000064","-0.3149999999999693","-0.0799999999999983","0.045000000000015916","-0.004999999999981242"
"MGMT 326","0.0","0.0","0.0","0.0","-0.10499999999999332","-0.23999999999996646","-0.06500000000001194","0.004999999999981242"
"MGMT 341","0.0","0.0","0.0","0.0","0.014999999999999996","0.4099999999999966","0.24499999999999034","0.03999999999997783"
"MGMT 346","0.0","0.0","0.0","0.0","0.1050000000000022","-0.005000000000023874","0.030000000000015348","0.07999999999998408"
"MGMT 450","0.0","0.0","0.0","0.0","0.0","-0.11500000000000199","-0.15499999999998693","0.0799999999999983"
"MGMT 343","0.0","0.0","0.0","0.0","-0.29499999999999815","-0.07499999999998863","-0.1150000000000091","0.014999999999986358"
"Upper Divison Humanities","0.0","0.0","0.0","0.0","-0.08499999999999996","0.7049999999999841","0.21000000000000796","-0.014999999999986358"
"Elective","0.0","0.0","0.0","0.0","-0.19500000000000006","-0.259999999999998","0.1699999999999875","0.10499999999998977"
"Elective","0.0","0.0","0.0","0.0","0.0","-0.6300000000000061","-0.024999999999991473","0.0"
"MGMT 328","0.0","0.0","0.0","0.0","0.0","-0.120000000000001","0.12000000000000455","-0.03499999999999659"
"MGMT 443","0.0","0.0","0.0","0.0","0.0","-0.0049999999999999975","0.3849999999999767","0.0049999999999954525"
"MGMT 449","0.0","0.0","0.0","0.0","0.0","-0.03999999999999915","1.3549999999999898","0.9050000000000011"
"MGMT 498","0.0","0.0","0.0","0.0","0.0","0.0","-0.4450000000000003","-0.044999999999987494"
"Elective","0.0","0.0","0.0","0.0","0.0","-0.015000000000000013","0.07500000000000107","-0.19499999999999318"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.3800000000000008","0.5600000000000307"
