"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"MATH 121","0.11999999999999034","-0.01500000000001478","0.05499999999999261","-0.09000000000003183","1.4210854715202004e-14","1.4210854715202004e-14","0.0","0.0"
"ENGL 110","0.05499999999999261","-0.09499999999998465","0.05500000000000682","0.0","-0.0049999999999954525","-0.0049999999999954525","0.0","0.0"
"Humanities","-0.4550000000000409","-0.08500000000000796","1.4210854715202004e-14","-0.010000000000005116","0.0","0.0","0.0","0.0"
"Physical & Natural Science","-0.0800000000000125","-0.010000000000019327","0.0049999999999954525","0.010000000000005116","0.0","0.0","0.0","0.0"
"MGMT 113","-0.2750000000000057","-0.044999999999987494","-0.0049999999999954525","0.005000000000009663","0.0","0.0","0.0","0.0"
"MATH 180","0.0","0.654999999999994","0.4100000000000108","0.07000000000000739","-0.08499999999996533","0.030000000000001137","0.03499999999999659","0.025000000000019895"
"ENGL 120","0.0","-0.11000000000002785","-0.07500000000000284","-0.04999999999998295","0.010000000000005116","-0.0049999999999954525","-0.009999999999990905","0.0"
"Physical & Natural Science","-0.18999999999999773","-0.18000000000000682","0.04000000000000625","0.01500000000001478","-0.0049999999999954525","0.0","0.0","0.0"
"Physical & Natural Science Lab","0.0","10.235000000000028","1.0449999999999875","0.09499999999998465","0.0049999999999954525","0.0","0.0","0.0"
"ECON 105","0.0","-0.9049999999999869","-0.06999999999997897","0.01500000000001478","-0.04000000000000625","-0.0049999999999954525","-0.0049999999999954525","0.0049999999999954525"
"Foreign Language","0.0","-0.700000000000017","-0.29000000000002046","-0.024999999999991473","-0.010000000000019327","0.0","0.0","0.0"
"ENGL 219","0.0","0.0","-0.33499999999997954","-0.125","-0.04999999999999716","-0.004999999999967031","-0.0049999999999954525","-0.009999999999990905"
"Fine Arts","0.0","-0.4549999999999983","0.045000000000015916","0.05499999999999261","0.010000000000005116","0.0","0.0","0.0"
"ECON 106","0.0","0.0","-0.045000000000001705","-0.18500000000000227","-0.030000000000015348","-0.010000000000019327","0.0","-0.010000000000005116"
"STAT 145","0.0","0.0","0.35999999999999943","0.06999999999999318","-0.10500000000000398","0.029999999999986926","0.005000000000023874","0.010000000000019327"
"Elective","0.0","0.0","1.6950000000000074","0.18000000000002103","0.045000000000001705","0.005000000000009663","0.010000000000005116","0.0"
"CS 150L","0.0","0.0","2.6499999999999986","0.5000000000000284","0.05999999999997385","0.004999999999981242","0.03999999999999204","-0.009999999999990905"
"MGMT 202","0.0","0.0","1.7699999999999996","0.42499999999998295","-0.21000000000000796","-0.0800000000000125","-0.05499999999999261","0.0"
"Social & Behavioral Science","0.0","0.0","0.0","0.5849999999999937","0.14500000000002444","-0.03999999999999204","-0.005000000000009663","0.0"
"Elective","0.0","0.0","0.0","0.7450000000000045","0.21999999999999886","0.0700000000000216","-0.005000000000023874","0.009999999999990905"
"MGMT 300","0.0","0.0","0.0","0.8649999999999949","0.020000000000038654","-0.1150000000000233","0.024999999999977263","1.4210854715202004e-14"
"MGMT 303","0.0","0.0","0.0","1.5500000000000007","0.6149999999999807","-0.2400000000000233","-0.11999999999997613","-0.044999999999987494"
"MGMT 306","0.0","0.0","0.0","1.5649999999999977","0.029999999999972715","0.0","-0.0049999999999954525","-0.009999999999990905"
"MGMT 308","0.0","0.0","0.0","1.5650000000000013","-0.004999999999981242","0.08500000000000796","-0.014999999999986358","-0.009999999999990905"
"MGMT 340","0.0","0.0","0.0","0.039999999999999925","1.2600000000000051","0.0049999999999954525","-0.0049999999999954525","-0.05999999999998806"
"MGMT 398","0.0","-0.2150000000000034","-0.3100000000000023","-0.31500000000001194","-0.04999999999999716","0.0","0.0","0.0"
"MGMT 310","0.0","0.0","0.0","0.0","1.2349999999999994","-0.014999999999986358","0.0","-0.0049999999999954525"
"MGMT 322","0.0","0.0","0.0","0.04999999999999999","1.2700000000000244","0.015000000000000568","0.015000000000057412","-0.005000000000009663"
"MGMT 326","0.0","0.0","0.0","0.0","1.475000000000005","-0.07499999999998863","-0.21000000000003638","0.009999999999990905"
"MGMT 341","0.0","0.0","0.0","0.0","0.025000000000000005","1.3500000000000085","0.16499999999999204","-0.03999999999999204"
"MGMT 346","0.0","0.0","0.0","0.0","1.1800000000000033","0.8050000000000068","-0.20999999999999375","-0.11500000000003752"
"MGMT 450","0.0","0.0","0.0","0.0","0.0","1.3449999999999918","-0.2949999999999875","-0.125"
"MGMT 343","0.0","0.0","0.0","0.0","0.7850000000000001","0.5300000000000011","-0.045000000000001705","0.014999999999986358"
"Upper Divison Humanities","0.0","0.0","0.0","0.0","-0.125","1.5149999999999864","0.04000000000000625","-0.05000000000001137"
"Elective","0.0","0.0","0.0","0.0","-0.15000000000000013","1.4550000000000054","0.06999999999997897","0.16500000000002046"
"Elective","0.0","0.0","0.0","0.0","-0.005","0.9999999999999964","0.19499999999999318","-0.04999999999998295"
"MGMT 328","0.0","0.0","0.0","0.0","0.0","0.43499999999999694","0.9849999999999852","0.0700000000000216"
"MGMT 443","0.0","0.0","0.0","0.0","0.0","0.024999999999999994","1.3649999999999949","0.07999999999998408"
"MGMT 449","0.0","0.0","0.0","0.0","0.0","0.0600000000000005","1.7549999999999955","0.1349999999999909"
"MGMT 498","0.0","0.0","0.0","0.0","0.0","0.0","1.3400000000000034","-0.21999999999998465"
"Elective","0.0","0.0","0.0","0.0","0.0","0.00500000000000006","1.1750000000000025","0.714999999999975"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","1.0449999999999982","0.6900000000000119"
