"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"MATH 121","0.21999999999999886","-0.09999999999999432","-0.14500000000002444","-0.17000000000003013","-0.04999999999999716","-0.004999999999981242","-0.009999999999990905","-0.009999999999990905"
"ENGL 110","-0.46000000000000796","0.020000000000010232","0.0799999999999983","0.020000000000010232","0.0","0.0","0.0","0.0"
"Humanities","-0.17000000000003013","2.842170943040401e-14","-0.030000000000001137","-0.009999999999990905","-0.0049999999999954525","0.0","0.0","0.0"
"Physical & Natural Science","0.11499999999996646","-0.04000000000000625","0.030000000000001137","0.010000000000005116","0.0049999999999954525","0.0","0.0","0.0"
"MGMT 113","-0.3749999999999858","-0.04999999999998295","0.010000000000019327","0.009999999999990905","-0.0049999999999954525","0.0","0.0","0.0"
"MATH 180","0.0","0.4999999999999787","0.014999999999986358","-0.044999999999973284","-0.11999999999999034","-0.030000000000001137","0.04500000000003013","0.010000000000005116"
"ENGL 120","0.0","-0.8500000000000085","-0.03499999999999659","0.0049999999999954525","0.005000000000009663","-0.0049999999999954525","-0.0049999999999954525","0.0"
"Physical & Natural Science","9.955000000000013","0.9099999999999966","0.10499999999998977","0.020000000000010232","0.0","0.0","0.0","0.0"
"Physical & Natural Science Lab","0.0","-0.20499999999998408","0.07499999999998863","0.014999999999986358","0.0049999999999954525","0.0","0.0","0.0"
"ECON 105","0.0","-0.6550000000000011","-0.1700000000000017","0.01999999999999602","-0.04000000000000625","-0.015000000000000568","0.0","0.0049999999999954525"
"Foreign Language","0.0","2.0199999999999676","0.00499999999995282","-0.04000000000000625","0.0","0.0","0.0","0.0"
"ENGL 219","0.0","0.0","-0.3249999999999744","-0.24499999999997613","-0.0049999999999954525","-0.009999999999976694","-0.0049999999999954525","-0.0049999999999954525"
"Fine Arts","0.0","6.485000000000014","0.8599999999999994","0.0899999999999892","-0.009999999999976694","-0.0049999999999954525","0.0","0.0"
"ECON 106","0.0","0.0","-0.7199999999999989","-0.2249999999999801","-0.0899999999999892","-0.07500000000001705","-0.024999999999977263","-0.009999999999990905"
"STAT 145","0.0","0.0","0.7750000000000057","-0.2049999999999983","-0.06499999999998352","-0.020000000000024443","-0.010000000000005116","-0.014999999999972147"
"Elective","0.0","0.0","2.0549999999999926","0.26499999999998636","-0.014999999999957936","0.0","1.4210854715202004e-14","0.0"
"CS 150L","0.0","0.0","2.8950000000000173","-0.03499999999996817","-0.09000000000000341","0.004999999999981242","0.010000000000005116","-0.0049999999999954525"
"MGMT 202","0.0","0.0","2.024999999999995","0.5999999999999943","0.11499999999999488","-0.024999999999991473","-0.0799999999999983","-0.014999999999986358"
"Social & Behavioral Science","0.0","0.0","0.0","1.0150000000000006","0.2300000000000182","0.0049999999999954525","-0.005000000000009663","0.0"
"Elective","0.0","0.0","0.0","1.0649999999999835","0.27000000000002444","0.09000000000000341","0.0049999999999954525","0.009999999999990905"
"MGMT 300","0.0","0.0","0.0","1.4099999999999966","-0.27499999999997726","-0.025000000000034106","-0.020000000000010232","-0.0049999999999954525"
"MGMT 303","0.0","0.0","0.0","1.8849999999999945","0.6799999999999926","0.1699999999999875","-0.01999999999998181","-0.06999999999999318"
"MGMT 306","0.0","0.0","0.0","1.2800000000000082","0.13999999999997215","0.01500000000001478","-0.009999999999990905","-0.0049999999999954525"
"MGMT 308","0.0","0.0","0.0","1.0600000000000023","0.3999999999999915","0.0700000000000216","-0.009999999999990905","-0.0049999999999954525"
"MGMT 340","0.0","0.0","0.0","-0.03500000000000006","0.9500000000000028","0.18000000000000682","-0.13500000000000512","-0.08499999999997954"
"MGMT 398","0.0","-0.18500000000000227","-0.1950000000000074","-0.20000000000001705","-0.05499999999999261","0.0","0.0","0.0"
"MGMT 310","0.0","0.0","0.0","0.0","1.2700000000000102","0.04999999999999716","-0.020000000000010232","0.0"
"MGMT 322","0.0","0.0","0.0","0.014999999999999958","1.5800000000000125","-0.14999999999999147","-0.04999999999999716","-0.01999999999998181"
"MGMT 326","0.0","0.0","0.0","0.0","1.1600000000000072","-0.14499999999999602","-0.03500000000002501","-0.04000000000000625"
"MGMT 341","0.0","0.0","0.0","0.0","0.005000000000000001","0.8049999999999926","0.2599999999999909","-0.1700000000000017"
"MGMT 346","0.0","0.0","0.0","0.0","1.5200000000000014","1.0949999999999989","0.22999999999998977","-0.025000000000019895"
"MGMT 450","0.0","0.0","0.0","0.0","0.0","1.634999999999991","0.01500000000001478","-0.10999999999998522"
"MGMT 343","0.0","0.0","0.0","0.0","0.350000000000005","0.4000000000000057","0.0","-1.4210854715202004e-14"
"Upper Divison Humanities","0.0","0.0","0.0","0.0","-0.19500000000000028","1.1799999999999926","0.12000000000000455","-0.060000000000030695"
"Elective","0.0","0.0","0.0","0.0","0.030000000000000027","1.404999999999994","0.18499999999998806","0.1150000000000091"
"Elective","0.0","0.0","0.0","0.0","-0.005","0.620000000000001","0.6899999999999977","-0.06499999999998352"
"MGMT 328","0.0","0.0","0.0","0.0","0.0","0.30499999999999616","0.9100000000000108","0.010000000000019327"
"MGMT 443","0.0","0.0","0.0","0.0","0.0","0.02500000000000001","0.9399999999999835","-0.05000000000001137"
"MGMT 449","0.0","0.0","0.0","0.0","0.0","-0.03999999999999915","1.174999999999983","0.31999999999997897"
"MGMT 498","0.0","0.0","0.0","0.0","0.0","0.0","1.4449999999999932","0.03999999999999204"
"Elective","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.8250000000000028"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.879999999999999","0.640000000000029"
