"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"MATH 121","0.5549999999999926","0.27000000000001023","0.13500000000000512","-0.06999999999999318","-0.01999999999998181","-0.01999999999998181","-0.010000000000005116","-0.0049999999999954525"
"ENGL 110","-0.2149999999999892","-0.09000000000000341","0.05000000000001137","0.020000000000010232","0.0049999999999954525","0.0","0.0","0.0"
"Humanities","-0.28000000000004377","-0.14000000000000057","-1.4210854715202004e-14","-0.014999999999986358","0.0","0.0","0.0","0.0"
"Physical & Natural Science","-0.4200000000000301","-0.10000000000003695","0.01999999999999602","-0.009999999999976694","0.0049999999999954525","0.0","0.0","0.0"
"MGMT 113","-0.07500000000000284","-0.015000000000000568","-0.014999999999986358","0.0049999999999954525","-0.0049999999999954525","0.0","0.0","0.0"
"MATH 180","0.0","0.5649999999999977","0.22500000000000853","0.31500000000002615","0.1500000000000199","-0.030000000000001137","-0.004999999999967031","-0.005000000000009663"
"ENGL 120","0.0","-0.2600000000000051","-0.19000000000001194","-0.03999999999999204","0.045000000000001705","0.0049999999999954525","0.0","0.0"
"Physical & Natural Science","0.06500000000002615","-0.14500000000001023","0.0049999999999954525","0.020000000000010232","0.0","0.0","0.0","0.0"
"Physical & Natural Science Lab","0.0","0.25500000000000966","0.1449999999999818","0.009999999999990905","0.0049999999999954525","0.0","0.0","0.0"
"ECON 105","0.0","-0.4900000000000091","0.060000000000002274","-0.004999999999981242","-0.0800000000000125","-0.029999999999986926","-0.005000000000009663","0.0049999999999954525"
"Foreign Language","0.0","-0.6599999999999966","-0.1349999999999909","-0.04000000000000625","-0.010000000000005116","0.0","0.0","0.0"
"ENGL 219","0.0","0.0","-0.07999999999998408","-0.2049999999999983","-0.03999999999996362","0.04000000000000625","-0.0049999999999954525","0.0"
"Fine Arts","0.0","-0.25","-0.05500000000000682","-0.0350000000000108","1.4210854715202004e-14","-0.015000000000000568","0.0","0.0"
"ECON 106","0.0","0.0","-0.33499999999997954","-0.14499999999999602","-0.060000000000002274","-0.030000000000015348","-0.029999999999986926","-0.0049999999999954525"
"STAT 145","0.0","0.0","12.900000000000006","2.815000000000012","0.4450000000000216","0.12999999999999545","0.030000000000001137","0.005000000000009663"
"Elective","0.0","0.0","-0.3199999999999932","-0.04000000000000625","-0.05499999999996419","0.020000000000010232","0.010000000000005116","0.0"
