"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"MATH 121","0.2849999999999824","0.19999999999998863","0.024999999999977263","-0.045000000000001705","-0.015000000000000568","1.4210854715202004e-14","-0.0049999999999954525","0.0"
"ENGL 110","-0.549999999999983","-0.10499999999998977","0.06999999999999318","0.0049999999999954525","0.0049999999999954525","0.0","0.0","0.0"
"Humanities","-0.17000000000003013","-0.05500000000000682","-0.009999999999990905","0.010000000000005116","0.0","0.0","0.0","0.0"
"Physical & Natural Science","-0.17500000000002558","0.0049999999999954525","0.0","0.005000000000009663","0.0049999999999954525","0.0","0.0","0.0"
"MGMT 113","-0.18999999999999773","-0.12999999999998124","-0.01999999999999602","0.010000000000005116","0.0","0.0","0.0","0.0"
"MATH 180","0.0","0.5199999999999889","0.11000000000001364","0.2550000000000239","0.1250000000000142","0.05499999999999261","0.060000000000030695","0.024999999999991473"
"ENGL 120","0.0","-0.5050000000000239","-0.0549999999999784","-1.4210854715202004e-14","0.005000000000009663","0.0049999999999954525","0.0","0.0"
"Physical & Natural Science","-0.04999999999999716","-0.0899999999999892","0.025000000000005684","0.010000000000019327","0.0","0.0","0.0","0.0"
"Physical & Natural Science Lab","0.0","0.3900000000000148","0.10499999999998977","0.01999999999999602","-0.010000000000005116","0.0","0.0","0.0"
"ECON 105","0.0","-0.8800000000000097","-0.10000000000000853","0.010000000000019327","-0.015000000000000568","-0.005000000000009663","0.0049999999999954525","0.0049999999999954525"
"Foreign Language","0.0","-0.46000000000002217","-0.0700000000000216","-0.020000000000010232","0.0","0.0","0.0","0.0"
"ENGL 219","0.0","0.0","-0.5549999999999784","-0.1799999999999926","0.015000000000000568","-0.014999999999972147","-0.005000000000009663","0.0"
"Fine Arts","0.0","1.4210854715202004e-14","-0.020000000000010232","0.01999999999998181","-0.01999999999998181","-0.0049999999999954525","0.0","0.0"
"ECON 106","0.0","0.0","-0.29999999999999716","-0.1799999999999926","-0.05500000000000682","-0.045000000000015916","-0.014999999999986358","-0.020000000000010232"
"STAT 145","0.0","0.0","0.21000000000000796","-0.0899999999999892","-0.06999999999999318","0.014999999999972147","0.024999999999991473","0.005000000000023874"
"Elective","0.0","0.0","-0.09999999999999432","0.11999999999997613","0.010000000000005116","0.010000000000005116","0.010000000000005116","0.0"
"CS 150L","0.0","0.0","-0.0049999999999954525","-0.21999999999995623","0.025000000000005684","0.014999999999986358","0.024999999999991473","0.0"
"MGMT 202","0.0","0.0","0.05999999999999517","0.6499999999999773","0.07500000000001705","0.04999999999999716","-0.004999999999981242","0.010000000000005116"
"Social & Behavioral Science","0.0","0.0","0.0","10.154999999999987","1.2600000000000193","0.09999999999999432","0.009999999999990905","0.0"
"Elective","0.0","0.0","0.0","-0.3299999999999983","0.160000000000025","0.05000000000001137","0.014999999999986358","0.009999999999990905"
"MGMT 300","0.0","0.0","0.0","0.2749999999999915","-0.20499999999998408","-0.08000000000002672","0.01999999999998181","0.03499999999999659"
"MGMT 303","0.0","0.0","0.0","-3.552713678800501e-15","0.714999999999975","0.05499999999996419","0.10500000000000398","0.0"
"MGMT 306","0.0","0.0","0.0","-0.4650000000000105","0.07499999999998863","0.01500000000001478","0.0049999999999954525","0.0"
"MGMT 308","0.0","0.0","0.0","0.010000000000001563","0.3500000000000085","0.029999999999986926","0.0","0.0"
"MGMT 340","0.0","0.0","0.0","-0.02500000000000005","1.5500000000000114","0.20000000000000284","0.09999999999999432","-0.01999999999998181"
"MGMT 398","0.0","-0.09500000000001307","-0.125","-0.1250000000000142","0.010000000000005116","0.0","0.0","0.0"
"MGMT 310","0.0","0.0","0.0","0.0","1.3700000000000188","0.07500000000000284","0.0049999999999954525","0.0049999999999954525"
"MGMT 322","0.0","0.0","0.0","-0.03500000000000003","1.4550000000000267","-0.0799999999999983","0.010000000000005116","-0.009999999999990905"
"MGMT 326","0.0","0.0","0.0","0.0","1.6900000000000013","0.12999999999999545","0.03499999999996817","0.03999999999999204"
"MGMT 341","0.0","0.0","0.0","0.0","0.019999999999999993","1.4000000000000057","0.31999999999996476","0.015000000000000568"
"MGMT 346","0.0","0.0","0.0","0.0","0.9650000000000016","0.950000000000017","-0.01500000000002899","0.10499999999998977"
"MGMT 450","0.0","0.0","0.0","0.0","0.0","1.5599999999999952","-0.07999999999998408","0.10000000000000853"
"MGMT 343","0.0","0.0","0.0","0.0","1.7899999999999956","0.7350000000000136","0.0","-1.4210854715202004e-14"
"Upper Divison Humanities","0.0","0.0","0.0","0.0","0.13500000000000068","1.9149999999999778","0.28000000000000114","0.06499999999998352"
"Elective","0.0","0.0","0.0","0.0","-0.07000000000000028","1.7849999999999895","0.5649999999999977","0.1349999999999767"
"Elective","0.0","0.0","0.0","0.0","0.015","1.8049999999999997","0.9200000000000301","-0.005000000000009663"
"MGMT 328","0.0","0.0","0.0","0.0","0.0","0.4850000000000012","1.4200000000000017","-0.03999999999999204"
"MGMT 443","0.0","0.0","0.0","0.0","0.0","-0.014999999999999996","1.8899999999999864","0.0999999999999659"
"MGMT 449","0.0","0.0","0.0","0.0","0.0","-0.03500000000000014","2.109999999999985","0.3349999999999653"
"MGMT 498","0.0","0.0","0.0","0.0","0.0","0.0","1.9199999999999946","0.19000000000001194"
"Elective","0.0","0.0","0.0","0.0","0.0","-0.010000000000000037","1.0750000000000028","0.9200000000000017"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","1.125","1.3250000000000313"
