"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"MATH 121","0.4900000000000091","0.44999999999998863","0.014999999999986358","-1.4210854715202004e-14","0.01500000000001478","0.0","-0.009999999999990905","-0.0049999999999954525"
"ENGL 110","-0.3299999999999983","0.0350000000000108","0.040000000000020464","0.015000000000000568","0.0049999999999954525","0.0","0.0","0.0"
"Humanities","-0.09000000000001762","-0.09499999999999886","-1.4210854715202004e-14","-0.014999999999986358","0.0","0.0","0.0","0.0"
"Physical & Natural Science","-0.3650000000000233","-0.1600000000000108","0.08499999999997954","0.010000000000005116","0.0049999999999954525","0.0","0.0","0.0"
"MGMT 113","-0.1950000000000074","0.025000000000005684","0.025000000000005684","0.015000000000000568","0.0","0.0","0.0","0.0"
"MATH 180","0.0","0.3400000000000105","0.3199999999999932","0.20000000000000284","0.17000000000001592","0.05499999999999261","0.04000000000000625","0.024999999999991473"
"ENGL 120","0.0","-0.46000000000002217","0.060000000000002274","0.010000000000033538","0.005000000000009663","0.0049999999999954525","0.0","0.0"
"Physical & Natural Science","0.06500000000001194","-0.18000000000000682","-0.005000000000009663","0.0","0.0","0.0","0.0","0.0"
"Physical & Natural Science Lab","0.0","0.25500000000000966","0.03499999999998238","0.009999999999990905","0.0","0.0","0.0","0.0"
"ECON 105","0.0","-0.7199999999999989","-0.09499999999997044","0.04999999999999716","0.009999999999990905","-0.01999999999999602","-0.01500000000001478","0.0"
"Foreign Language","0.0","-0.9800000000000182","-0.17000000000001592","1.4210854715202004e-14","-0.005000000000009663","-0.0049999999999954525","0.0","0.0"
"ENGL 219","0.0","0.0","-0.4549999999999841","-0.1699999999999875","0.029999999999986926","-0.009999999999976694","0.0049999999999954525","0.0"
"Fine Arts","0.0","-0.04999999999997584","0.25499999999999545","0.014999999999972147","-0.015000000000000568","-0.010000000000005116","0.0","0.0"
"ECON 106","0.0","0.0","-0.4449999999999932","-0.23499999999999943","0.0049999999999954525","0.0","0.020000000000010232","-0.0049999999999954525"
"STAT 145","0.0","0.0","0.2950000000000159","0.014999999999986358","-0.06499999999999773","0.030000000000001137","0.010000000000005116","-0.0049999999999954525"
"Elective","0.0","0.0","-0.30999999999998806","-0.18500000000000227","-0.0799999999999983","0.010000000000019327","1.4210854715202004e-14","0.0"
"CS 150L","0.0","0.0","-1.019999999999996","-0.09499999999998465","0.11999999999997613","0.024999999999977263","0.03499999999999659","0.0"
"MGMT 202","0.0","0.0","-0.3350000000000044","0.6050000000000182","-0.08499999999999375","-0.13500000000000512","-0.07499999999998863","0.010000000000005116"
"Social & Behavioral Science","0.0","0.0","0.0","0.4849999999999852","0.1150000000000091","-0.04999999999999716","0.0","0.0"
"Elective","0.0","0.0","0.0","-0.3300000000000125","0.09000000000000341","0.025000000000005684","-0.010000000000019327","0.0049999999999954525"
"MGMT 300","0.0","0.0","0.0","-0.2849999999999824","1.4210854715202004e-14","-0.025000000000034106","0.045000000000015916","0.015000000000000568"
"MGMT 303","0.0","0.0","0.0","-0.2650000000000041","0.24999999999997158","-0.2400000000000091","-0.125","-0.05499999999999261"
"MGMT 306","0.0","0.0","0.0","-0.7400000000000091","0.09499999999995623","0.010000000000019327","0.0049999999999954525","0.0"
"MGMT 308","0.0","0.0","0.0","-0.5499999999999972","0.2749999999999915","0.0799999999999983","0.0049999999999954525","0.0"
"MGMT 340","0.0","0.0","0.0","-0.035","0.7949999999999875","-0.025000000000019895","-0.03499999999999659","-0.10499999999998977"
"MGMT 398","0.0","-0.13000000000000966","-0.10999999999999943","-0.1150000000000091","-0.03999999999999204","-0.0049999999999954525","0.0","0.0"
"MGMT 310","0.0","0.0","0.0","0.0","-0.08500000000000796","-0.07500000000000284","0.0049999999999954525","0.0049999999999954525"
"MGMT 322","0.0","0.0","0.0","-0.014999999999999958","-1.3149999999999693","0.0049999999999954525","0.020000000000024443","0.015000000000000568"
"MGMT 326","0.0","0.0","0.0","0.0","-0.04499999999999815","-0.33499999999997954","-0.060000000000016485","0.044999999999973284"
"MGMT 341","0.0","0.0","0.0","0.0","-0.01","0.7099999999999937","0.11499999999998067","-0.05500000000000682"
"MGMT 346","0.0","0.0","0.0","0.0","0.09999999999999964","0.05500000000002103","-0.21500000000001762","-0.13000000000002387"
"MGMT 450","0.0","0.0","0.0","0.0","0.0","-0.7150000000000105","-0.2049999999999983","-0.08499999999997954"
"MGMT 343","0.0","0.0","0.0","0.0","-0.8249999999999993","-0.06999999999999318","-0.09499999999999886","0.024999999999991473"
"Upper Divison Humanities","0.0","0.0","0.0","0.0","0.3200000000000003","7.784999999999968","2.6250000000000284","0.25499999999999545"
"Elective","0.0","0.0","0.0","0.0","-0.18999999999999995","-0.5350000000000037","0.20000000000000284","0.06999999999999318"
"Elective","0.0","0.0","0.0","0.0","0.005","-0.4700000000000024","0.08500000000000796","-0.0799999999999983"
"MGMT 328","0.0","0.0","0.0","0.0","0.0","0.034999999999998366","0.43499999999998806","0.030000000000001137"
"MGMT 443","0.0","0.0","0.0","0.0","0.0","0.0049999999999999975","0.3199999999999932","0.03499999999999659"
"MGMT 449","0.0","0.0","0.0","0.0","0.0","-0.05499999999999927","1.3649999999999949","0.19499999999999318"
"MGMT 498","0.0","0.0","0.0","0.0","0.0","0.0","1.1499999999999986","0.06500000000001194"
"Elective","0.0","0.0","0.0","0.0","0.0","0.04500000000000004","1.0549999999999997","0.644999999999996"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.8499999999999979","0.8300000000000125"
