"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"ENGL 110","-0.9900000000000091","-0.13999999999998636","0.004999999999967031","-0.024999999999991473","-0.0049999999999954525","0.0","0.0","0.0"
"MATH 162","-0.11999999999999034","0.20999999999997954","0.025000000000019895","-0.030000000000001137","0.010000000000019327","0.0049999999999954525","-0.0049999999999954525","0.0"
"ECE 101","0.3199999999999932","-0.044999999999987494","-0.01999999999999602","0.0","0.0","0.0","0.0","0.0"
"ECE 131","-0.16500000000002046","0.13500000000000512","-0.03499999999999659","0.0","0.010000000000005116","0.0","0.0","0.0"
"PHYC 160","-0.09999999999999432","0.044999999999973284","0.03499999999999659","0.010000000000019327","-0.014999999999986358","-0.0049999999999954525","0.0","0.0"
"ENGL 120","0.0","-1.1350000000000051","-0.234999999999971","-0.045000000000001705","-0.03999999999997783","-0.0049999999999954525","0.0","0.0"
"MATH 163","0.0","-0.13000000000000256","0.23999999999999488","0.24500000000000455","-0.06999999999996476","-0.04999999999998295","0.020000000000010232","-0.010000000000005116"
"PHYC 161","0.0","-0.339999999999975","-0.18999999999999773","-0.01999999999999602","0.1150000000000091","0.010000000000005116","0.0","0.0049999999999954525"
"PHYC 161L","0.0","-0.18000000000000682","0.08999999999997499","0.05999999999997385","0.015000000000000568","-0.009999999999990905","-0.0049999999999954525","0.0"
"ECE 231","0.0","-0.125","0.10500000000000398","-0.05999999999994543","0.024999999999991473","0.010000000000005116","0.0","0.0"
"ECE 203","0.0","0.0","-0.5449999999999946","-0.005000000000009663","0.26500000000000057","0.040000000000020464","-0.1150000000000233","0.020000000000038654"
"ECE 238L","0.0","-0.040000000000020464","0.19499999999999318","0.060000000000044906","0.04999999999999716","0.0049999999999954525","0.005000000000009663","0.0"
"Basic Science","-0.6099999999999852","-0.5150000000000006","-0.12000000000001876","0.01500000000001478","1.4210854715202004e-14","0.0","0.0","0.0"
"Basic Science Lab","10.070000000000007","6.905000000000001","0.6749999999999972","0.03999999999999204","0.0","0.0","0.0","0.0"
"ENGL 219","0.0","0.0","-1.2600000000000335","-0.39500000000002444","-0.05000000000002558","-0.045000000000015916","0.0","0.0"
"ECON 105","0.0","-0.03999999999999915","-0.214999999999975","-0.04000000000000625","0.05000000000001137","0.020000000000024443","0.010000000000005116","-0.01500000000001478"
"ECE 206L","0.0","0.0","0.0","-0.5049999999999883","-0.024999999999991473","0.25500000000000966","0.05500000000002103","-0.12000000000001876"
"ECE 300","0.0","0.0","-0.34499999999999886","0.3400000000000176","0.18499999999997385","-0.06500000000002615","-0.05500000000002103","0.015000000000000568"
"ECE 213","0.0","0.0","0.0","-0.4700000000000131","0.1150000000000091","0.15500000000002956","0.01999999999998181","-0.12000000000001876"
"MATH 264","0.0","0.0","-0.08000000000000185","0.09000000000000341","0.3200000000000074","0.01999999999999602","-0.060000000000002274","0.005000000000023874"
"ECE 330","0.0","0.0","0.09499999999999176","0.1150000000000091","-0.11499999999996646","0.024999999999991473","0.010000000000005116","0.0"
"ECE 321L","0.0","0.0","0.0","0.0","-0.5350000000000037","0.20499999999996987","0.1449999999999818","-0.014999999999986358"
"MATH 327","0.0","0.0","-0.09500000000000008","-0.6450000000000031","0.625","-1.4210854715202004e-14","0.06999999999999318","-0.024999999999991473"
"ECE 314","0.0","0.0","0.0","0.0","-0.5649999999999977","0.12000000000000455","0.09499999999999886","-0.040000000000020464"
"ECE 340","0.0","0.0","0.0","-0.355000000000004","0.6200000000000045","0.15500000000000114","-0.04000000000000625","-0.03499999999998238"
"Second Language","0.0","0.0","-0.25","0.06999999999999318","-0.22000000000002728","0.03499999999996817","0.010000000000005116","0.010000000000005116"
"ECE 335","0.0","0.0","0.0","-0.4650000000000034","-0.03500000000002501","-0.1349999999999909","0.030000000000001137","0.010000000000005116"
"ECE 331","0.0","0.0","0.0","0.0","-0.595000000000006","0.5799999999999983","-0.030000000000001137","0.06999999999997897"
"ECE 344L","0.0","0.0","0.0","0.0","0.0","-0.2150000000000034","-0.15000000000000568","0.24499999999997613"
"Social Sciences","0.0","0.0","-0.11500000000000005","-0.245000000000001","0.02499999999999858","0.08999999999997499","0.05499999999999261","0.010000000000005116"
"ECE 419","0.0","0.0","0.0","-0.4649999999999963","-0.5549999999999962","0.060000000000016485","0.0","0.0049999999999954525"
"ECE 437","0.0","0.0","0.0","-0.16000000000000014","-0.495000000000001","0.15500000000002956","0.14000000000001478","-0.010000000000005116"
"ECE 435","0.0","0.0","0.0","0.0","0.014999999999999847","-0.34499999999999886","0.0049999999999954525","0.04999999999999716"
"Tech Elective","0.0","0.0","0.0","-0.20000000000000007","-0.46000000000000085","-1.1049999999999969","-0.2899999999999636","-0.010000000000019327"
"Humanities","0.0","0.0","0.0","-0.015000000000000003","-0.1499999999999999","-0.5999999999999996","-0.11499999999998067","0.0799999999999983"
"ECE 420","0.0","0.0","0.0","0.0","-0.20999999999999952","-0.2649999999999988","-0.1699999999999875","0.029999999999986926"
"ECE 440","0.0","0.0","0.0","0.0","-0.060000000000000164","-0.08499999999999952","-0.18499999999998806","0.19999999999998863"
"Tech Elective","0.0","0.0","0.0","0.0","-0.010000000000000002","0.04500000000000037","-1.0200000000000031","-0.0899999999999892"
"Fine Arts","0.0","0.0","0.0","0.0","0.0","0.09500000000000008","-0.2699999999999996","0.18999999999998352"
"Humanities","0.0","0.0","0.0","0.0","0.0","0.03499999999999992","-0.4349999999999996","-0.3050000000000068"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","-0.3100000000000005","-0.11499999999998778"
