"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"ENGL 110","-0.7800000000000153","-0.23499999999999943","0.05999999999998806","-0.010000000000005116","-0.0049999999999954525","0.0","0.0","0.0"
"MATH 162","-0.029999999999986926","-0.05000000000003979","-0.08499999999995111","-0.030000000000001137","-0.004999999999981242","0.0","-0.0049999999999954525","-0.0049999999999954525"
"ECE 101","0.3200000000000074","-0.045000000000001705","-0.010000000000005116","-0.0049999999999954525","0.0","0.0","0.0","0.0"
"ECE 131","0.3100000000000023","0.2400000000000233","-0.03999999999999204","0.009999999999990905","0.005000000000009663","0.0","0.0","0.0"
"PHYC 160","-0.6900000000000119","-0.03500000000002501","-0.13000000000000966","-0.04999999999998295","-0.015000000000000568","0.0","0.0","0.0"
"ENGL 120","0.0","-0.7700000000000102","-0.17499999999998295","0.0800000000000125","-0.024999999999991473","-0.010000000000005116","0.0","0.0"
"MATH 163","0.0","-0.09500000000001307","0.19999999999998863","-0.04000000000000625","-0.2249999999999659","-0.11999999999999034","0.005000000000009663","-0.010000000000005116"
"PHYC 161","0.0","-1.1149999999999949","-0.25499999999999545","-0.04999999999998295","0.08500000000000796","-0.024999999999991473","-0.01500000000001478","0.0049999999999954525"
"PHYC 161L","0.0","-0.6000000000000085","-0.020000000000010232","-0.10500000000001819","-0.03999999999999204","-0.010000000000005116","0.0","0.0"
"ECE 231","0.0","0.2950000000000017","0.36999999999999034","0.04500000000003013","0.044999999999987494","0.010000000000005116","0.0","0.0"
"ECE 203","0.0","0.0","-0.4049999999999869","0.004999999999967031","0.08499999999999375","-0.1600000000000108","-0.19000000000001194","2.842170943040401e-14"
"ECE 238L","0.0","0.29999999999999716","0.21999999999998465","-0.004999999999981242","0.05999999999998806","0.015000000000000568","0.010000000000005116","0.0"
"Basic Science","9.615000000000009","8.125000000000014","0.7650000000000006","0.06499999999999773","0.010000000000005116","0.0","0.0","0.0"
"Basic Science Lab","0.45999999999997954","0.3999999999999915","-0.10500000000000398","-0.04999999999999716","-0.020000000000010232","0.0","0.0","0.0"
"ENGL 219","0.0","0.0","-0.5950000000000131","-0.23500000000004206","0.014999999999972147","-0.025000000000005684","-0.005000000000009663","0.0"
"ECON 105","0.0","0.7850000000000019","1.0100000000000193","0.16500000000000625","0.0999999999999801","0.03500000000005343","0.01999999999999602","0.009999999999990905"
"ECE 206L","0.0","0.0","0.0","-0.394999999999996","0.005000000000023874","0.11499999999999488","-0.18500000000001648","-0.1950000000000074"
"ECE 300","0.0","0.0","1.440000000000012","0.42499999999999716","-0.09000000000000341","-0.2550000000000523","-0.1600000000000108","0.01999999999998181"
"ECE 213","0.0","0.0","0.0","-0.36000000000000654","0.030000000000001137","0.03500000000003922","-0.12499999999997158","-0.2150000000000034"
"MATH 264","0.0","0.0","2.0300000000000047","1.4749999999999943","0.3800000000000239","-0.22000000000001307","-0.09500000000001307","0.030000000000015348"
"ECE 330","0.0","0.0","1.5","1.190000000000012","0.060000000000044906","0.03999999999999204","0.010000000000005116","0.0"
"ECE 321L","0.0","0.0","0.0","0.0","-0.28999999999999915","0.02499999999994884","-0.025000000000019895","-0.1500000000000199"
"MATH 327","0.0","0.0","-0.14500000000000013","0.9449999999999932","0.25","-0.26000000000003354","-0.04000000000000625","-0.06999999999997897"
"ECE 314","0.0","0.0","0.0","0.0","0.46000000000000085","0.3149999999999977","0.09499999999999886","-0.025000000000005684"
"ECE 340","0.0","0.0","0.0","1.5949999999999918","0.7500000000000142","-0.3149999999999977","-0.26500000000000057","-0.11999999999997613"
"Second Language","0.0","0.0","1.7950000000000017","2.7800000000000082","0.7699999999999818","0.07999999999998408","0.05999999999998806","0.0"
"ECE 335","0.0","0.0","0.0","1.0850000000000044","2.0","0.10999999999998522","0.045000000000001705","0.010000000000005116"
"ECE 331","0.0","0.0","0.0","0.0","1.1199999999999761","0.42499999999998295","-0.2500000000000142","-0.09500000000002728"
"ECE 344L","0.0","0.0","0.0","0.0","0.0","0.014999999999993463","-0.3550000000000324","0.19499999999997897"
"Social Sciences","0.0","0.0","-0.03500000000000003","0.22499999999999787","2.2099999999999937","0.49499999999999034","0.05999999999997385","0.01500000000001478"
"ECE 419","0.0","0.0","0.0","0.129999999999999","0.8999999999999986","1.825000000000017","0.07500000000001705","0.0049999999999954525"
"ECE 437","0.0","0.0","0.0","0.46499999999999897","0.5550000000000015","2.6200000000000188","0.34000000000003183","0.009999999999990905"
"ECE 435","0.0","0.0","0.0","0.0","0.11499999999999999","1.4549999999999912","0.18499999999997385","-0.07000000000000739"
"Tech Elective","0.0","0.0","0.0","-0.07999999999999985","0.33999999999999897","1.125000000000007","0.5700000000000074","-0.005000000000009663"
"Humanities","0.0","0.0","0.0","0.009999999999999998","0.2699999999999996","0.8200000000000021","1.4250000000000256","0.3149999999999693"
"ECE 420","0.0","0.0","0.0","0.0","0.23499999999999943","0.5050000000000017","2.239999999999995","0.21999999999998465"
"ECE 440","0.0","0.0","0.0","0.0","0.10499999999999987","0.46999999999999975","1.295000000000016","0.4649999999999892"
"Tech Elective","0.0","0.0","0.0","0.0","-0.010000000000000002","0.30000000000000004","1.3900000000000077","0.5649999999999693"
"Fine Arts","0.0","0.0","0.0","0.0","0.0","0.275","1.1950000000000038","1.2250000000000085"
"Humanities","0.0","0.0","0.0","0.0","0.0","0.135","0.4750000000000014","0.9949999999999903"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","-4.440892098500626e-16","0.8000000000000114"
