"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"ENGL 110","-0.4099999999999966","-0.0800000000000125","0.0549999999999784","-0.009999999999990905","0.0","0.0","0.0","0.0"
"MATH 162","0.5649999999999977","0.14999999999999147","-0.1449999999999534","-0.07000000000000739","-0.024999999999991473","-0.010000000000005116","-0.010000000000005116","-0.0049999999999954525"
"ECE 101","0.125","-0.03999999999997783","0.0","0.0","0.0","0.0","0.0","0.0"
"ECE 131","-0.5099999999999909","-0.024999999999963052","-0.07999999999998408","-0.009999999999990905","-0.0049999999999954525","-0.0049999999999954525","-0.0049999999999954525","0.0"
"PHYC 160","-0.025000000000005684","0.014999999999986358","-0.09000000000001762","-0.009999999999990905","0.005000000000009663","0.0049999999999954525","0.0","0.0"
"ENGL 120","0.0","-0.4100000000000108","-0.06499999999999773","-0.04000000000000625","-0.024999999999991473","0.0","0.0","0.0"
"MATH 163","0.0","0.6050000000000111","0.4849999999999852","0.1250000000000142","-0.10499999999997556","-0.10999999999999943","-0.010000000000005116","-0.010000000000005116"
"PHYC 161","0.0","-0.5999999999999659","0.03999999999999204","0.09499999999999886","0.125","0.060000000000002274","0.009999999999990905","0.0049999999999954525"
"PHYC 161L","0.0","-0.030000000000015348","0.03999999999996362","-0.05500000000000682","-0.0049999999999954525","0.010000000000005116","0.0049999999999954525","0.0"
"ECE 231","0.0","5.670000000000016","1.3700000000000188","0.18000000000003524","0.03499999999999659","0.0","-0.0049999999999954525","-0.0049999999999954525"
"ECE 203","0.0","0.0","0.08500000000000796","0.23000000000000398","0.21000000000000796","-0.04999999999999716","-0.11499999999999488","-0.009999999999990905"
"ECE 238L","0.0","-0.16500000000002046","-0.14499999999999602","-0.0049999999999954525","0.025000000000005684","0.0049999999999954525","0.005000000000009663","-0.0049999999999954525"
"Basic Science","-0.5149999999999864","-0.3049999999999784","-0.06499999999998352","0.020000000000010232","-0.0049999999999954525","0.0","0.0","0.0"
"Basic Science Lab","0.27000000000002444","0.17500000000001137","0.060000000000016485","-0.009999999999990905","-0.0049999999999954525","0.0","0.0","0.0"
"ENGL 219","0.0","0.0","-0.44000000000004036","-0.10000000000003695","-0.0799999999999983","-0.030000000000001137","-0.005000000000009663","0.0"
"ECON 105","0.0","-0.22499999999999964","0.010000000000019327","0.14999999999999147","0.04000000000000625","0.01500000000002899","0.024999999999991473","0.0049999999999954525"
"ECE 206L","0.0","0.0","0.0","0.09000000000001052","0.19000000000001194","0.2400000000000091","-0.060000000000002274","-0.11499999999999488"
"ECE 300","0.0","0.0","1.3299999999999983","0.5599999999999881","0.20499999999998408","-0.03000000000002956","-0.1150000000000091","0.0049999999999954525"
"ECE 213","0.0","0.0","0.0","0.2249999999999801","0.33500000000000796","0.28000000000002956","-0.09000000000000341","-0.13500000000000512"
"MATH 264","0.0","0.0","1.1500000000000057","0.7849999999999966","0.5200000000000244","-0.029999999999972715","-0.1950000000000074","-0.014999999999986358"
"ECE 330","0.0","0.0","1.8400000000000034","1.634999999999991","0.1950000000000358","0.01999999999998181","0.0","-0.0049999999999954525"
"ECE 321L","0.0","0.0","0.0","0.0","0.28000000000000114","0.4199999999999875","0.24999999999997158","-0.07500000000000284"
"MATH 327","0.0","0.0","-0.3700000000000001","0.46999999999998465","0.45999999999999375","0.014999999999972147","-0.020000000000024443","-0.04000000000000625"
"ECE 314","0.0","0.0","0.0","0.0","0.28000000000000824","0.8400000000000034","0.2599999999999909","-0.21999999999999886"
"ECE 340","0.0","0.0","0.0","1.3449999999999918","0.9400000000000404","0.0899999999999892","-0.024999999999991473","-0.08999999999997499"
"Second Language","0.0","0.0","-0.0799999999999983","0.8649999999999949","0.23999999999999488","-0.01500000000002899","0.014999999999986358","-0.004999999999981242"
"ECE 335","0.0","0.0","0.0","0.6550000000000011","2.0099999999999767","0.21999999999998465","0.024999999999991473","0.0"
"ECE 331","0.0","0.0","0.0","0.0","0.7249999999999943","0.6200000000000045","0.03499999999999659","-0.0700000000000216"
"ECE 344L","0.0","0.0","0.0","0.0","0.0","0.6599999999999966","0.17499999999999716","0.5799999999999841"
"Social Sciences","0.0","0.0","-0.040000000000000036","-0.26500000000000057","0.8149999999999906","0.394999999999996","0.11499999999998067","0.01500000000002899"
"ECE 419","0.0","0.0","0.0","-0.48499999999999943","-0.09499999999999886","1.075000000000017","0.01500000000001478","0.0"
"ECE 437","0.0","0.0","0.0","0.2799999999999989","0.4499999999999993","2.055000000000007","0.3400000000000034","-0.010000000000005116"
"ECE 435","0.0","0.0","0.0","0.0","0.019999999999999907","1.1949999999999932","0.3299999999999841","-0.04000000000000625"
"Tech Elective","0.0","0.0","0.0","-0.2899999999999999","-0.09000000000000075","0.0400000000000027","0.38000000000000966","-0.10500000000000398"
"Humanities","0.0","0.0","0.0","0.009999999999999998","-0.010000000000001119","0.34500000000000064","1.3400000000000176","0.23499999999999943"
"ECE 420","0.0","0.0","0.0","0.0","0.04499999999999993","0.0","1.865000000000009","0.0899999999999892"
"ECE 440","0.0","0.0","0.0","0.0","0.08500000000000008","0.040000000000000036","1.720000000000006","0.43499999999998806"
"Tech Elective","0.0","0.0","0.0","0.0","-0.015","0.1200000000000001","1.0200000000000031","0.5349999999999966"
"Fine Arts","0.0","0.0","0.0","0.0","0.005","0.19499999999999984","0.8700000000000045","0.7700000000000244"
"Humanities","0.0","0.0","0.0","0.0","0.0","0.12","-0.14499999999999957","0.5900000000000176"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","-0.23500000000000032","0.45000000000000284"
