"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"ENGL 110","-0.35000000000002274","-0.12999999999999545","0.05499999999999261","-0.0049999999999954525","0.0","0.0","0.0","0.0"
"MATH 162","0.11499999999998067","-0.025000000000019895","-0.20499999999998408","-0.1150000000000091","-0.03999999999997783","-0.025000000000005684","-0.0049999999999954525","0.0"
"ECE 101","0.160000000000025","-0.03999999999999204","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0"
"ECE 131","0.10000000000000853","0.1150000000000233","-0.06999999999997897","-0.0049999999999954525","1.4210854715202004e-14","0.0","0.0","0.0"
"PHYC 160","-0.30500000000002103","0.05499999999996419","-0.15500000000000114","-0.10499999999998977","-0.03499999999998238","0.0","0.0","0.0"
"ENGL 120","0.0","-0.39999999999997726","-0.2799999999999869","-0.025000000000005684","-0.009999999999990905","0.0","0.0","0.0"
"MATH 163","0.0","-0.5850000000000009","-0.08500000000000796","0.05500000000000682","-0.12499999999998579","-0.10500000000000398","-0.009999999999990905","-0.015000000000000568"
"PHYC 161","0.0","-0.6799999999999784","-0.11999999999997613","-0.18500000000001648","0.015000000000000568","-0.024999999999977263","-0.01500000000001478","-0.005000000000009663"
"PHYC 161L","0.0","-0.3200000000000074","0.024999999999977263","-0.13500000000000512","-0.10500000000000398","-0.029999999999986926","-0.005000000000009663","0.0"
"ECE 231","0.0","-0.24500000000000455","0.07499999999997442","-0.03999999999996362","0.009999999999990905","0.0","-0.0049999999999954525","0.0"
"ECE 203","0.0","0.0","-0.8599999999999923","-0.585000000000008","0.014999999999986358","-0.10000000000000853","-0.15000000000000568","-0.01999999999998181"
"ECE 238L","0.0","0.20000000000001705","0.08500000000000796","0.025000000000005684","0.0350000000000108","0.020000000000010232","0.010000000000005116","0.0"
"Basic Science","-0.19999999999998863","-0.18999999999998352","-0.04000000000000625","0.0","0.005000000000009663","0.0","0.0","0.0"
"Basic Science Lab","0.3650000000000233","0.09500000000001307","-0.06500000000001194","-0.0350000000000108","0.0","0.0","0.0","0.0"
"ENGL 219","0.0","0.0","-0.6550000000000296","-0.49500000000003297","-0.17500000000002558","-0.024999999999991473","-0.009999999999990905","-0.0049999999999954525"
"ECON 105","0.0","-0.3200000000000003","-0.06499999999998352","0.020000000000024443","0.07000000000000739","0.10000000000003695","0.03999999999997783","0.009999999999990905"
"ECE 206L","0.0","0.0","0.0","-0.8899999999999864","-0.5949999999999847","0.044999999999987494","-0.09000000000001762","-0.15500000000000114"
"ECE 300","0.0","0.0","-0.9399999999999906","-0.015000000000000568","-0.16500000000003467","-0.19500000000005002","-0.10500000000000398","0.0049999999999954525"
"ECE 213","0.0","0.0","0.0","-0.70000000000001","-0.4399999999999977","-0.009999999999990905","-0.09999999999999432","-0.18000000000000682"
"MATH 264","0.0","0.0","-0.6049999999999969","-0.2799999999999869","0.14000000000000057","-0.1699999999999875","-0.08000000000004093","-0.01999999999998181"
"ECE 330","0.0","0.0","0.0049999999999954525","0.05000000000002558","-0.03499999999995396","0.009999999999990905","0.0","-0.0049999999999954525"
"ECE 321L","0.0","0.0","0.0","0.0","0.6499999999999986","0.7749999999999773","0.42499999999996874","0.06500000000001194"
"MATH 327","0.0","0.0","-0.04000000000000015","-0.855000000000004","0.2599999999999909","-0.020000000000024443","0.024999999999991473","-0.05499999999999261"
"ECE 314","0.0","0.0","0.0","0.0","-0.7449999999999974","-0.42499999999998295","0.04499999999995907","-0.10500000000001819"
"ECE 340","0.0","0.0","0.0","-1.0100000000000051","0.045000000000015916","-0.29999999999999716","-0.25499999999999545","-0.06999999999996476"
"Second Language","0.0","0.0","0.22500000000000497","0.7149999999999892","0.0899999999999892","0.10999999999997101","0.030000000000001137","-0.0049999999999954525"
"ECE 335","0.0","0.0","0.0","-0.44499999999999673","-0.13500000000000512","-0.005000000000023874","0.015000000000000568","0.0"
"ECE 331","0.0","0.0","0.0","0.0","-1.1900000000000048","0.18500000000000227","-0.05000000000001137","0.01999999999995339"
"ECE 344L","0.0","0.0","0.0","0.0","0.0","0.9749999999999943","0.4399999999999693","0.6850000000000023"
"Social Sciences","0.0","0.0","0.030000000000000027","0.25499999999999545","0.4299999999999997","-0.36000000000001364","-0.045000000000001705","-0.03999999999997783"
"ECE 419","0.0","0.0","0.0","-0.09500000000000064","-0.27500000000000213","0.045000000000001705","0.015000000000000568","0.0049999999999954525"
"ECE 437","0.0","0.0","0.0","-0.07500000000000018","-0.029999999999997584","-0.14500000000001023","0.33500000000000796","-0.010000000000019327"
"ECE 435","0.0","0.0","0.0","0.0","0.010000000000000009","-0.9450000000000074","0.09499999999999886","0.009999999999976694"
"Tech Elective","0.0","0.0","0.0","-0.025000000000000022","-0.10500000000000131","-0.5049999999999955","-0.06999999999997897","-0.03999999999999204"
"Humanities","0.0","0.0","0.0","0.0049999999999999975","0.02499999999999991","0.06999999999999851","0.040000000000020464","0.32499999999998863"
"ECE 420","0.0","0.0","0.0","0.0","0.019999999999999574","-0.08499999999999908","-0.36999999999999034","0.12999999999998124"
"ECE 440","0.0","0.0","0.0","0.0","-0.05500000000000005","0.14500000000000046","-0.24500000000000455","0.29999999999998295"
"Tech Elective","0.0","0.0","0.0","0.0","-0.009999999999999995","0.09499999999999997","-0.490000000000002","-0.1600000000000108"
"Fine Arts","0.0","0.0","0.0","0.0","0.005","0.24500000000000022","0.11500000000000199","0.32500000000000284"
"Humanities","0.0","0.0","0.0","0.0","0.0","0.1399999999999999","-0.09499999999999886","-0.24499999999999034"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","-0.22000000000000064","0.1250000000000142"
