"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"ENGL 110","-0.6249999999999858","-0.10500000000001819","0.03499999999999659","-0.014999999999986358","0.0","0.0","0.0","0.0"
"MATH 162","0.03499999999998238","-0.09500000000001307","0.010000000000019327","-0.0800000000000125","-0.01999999999999602","-0.015000000000000568","-0.0049999999999954525","0.0"
"ECE 101","0.3199999999999932","-0.015000000000000568","-0.010000000000005116","-0.0049999999999954525","0.0","0.0","0.0","0.0"
"ECE 131","-0.32499999999998863","0.06500000000001194","-0.05999999999998806","-0.025000000000019895","-0.004999999999981242","0.0","0.0","0.0"
"PHYC 160","-0.15500000000001535","-0.11000000000001364","-0.14500000000001023","-0.03999999999999204","-0.010000000000005116","0.0049999999999954525","0.0","0.0"
"ENGL 120","0.0","-0.7599999999999909","-0.1349999999999909","1.4210854715202004e-14","-0.030000000000001137","-0.0049999999999954525","0.0","0.0"
"MATH 163","0.0","-0.19500000000000028","0.10999999999999943","0.1150000000000091","0.005000000000023874","-0.07499999999998863","-0.020000000000010232","-0.0049999999999954525"
"PHYC 161","0.0","-0.10499999999997556","0.18999999999999773","-0.07500000000000284","0.030000000000015348","0.0","-0.01500000000001478","0.0049999999999954525"
"PHYC 161L","0.0","-0.23499999999999943","-0.08499999999997954","-0.14499999999999602","-0.024999999999991473","-0.005000000000009663","0.0049999999999954525","0.0"
"ECE 231","0.0","-0.6300000000000097","-0.09000000000000341","-0.05999999999997385","-0.025000000000019895","-0.010000000000005116","-0.0049999999999954525","0.0"
"ECE 203","0.0","0.0","-0.15499999999999403","0.009999999999990905","0.08500000000002217","-0.024999999999991473","-0.05500000000000682","-0.03499999999998238"
"ECE 238L","0.0","-0.06499999999999773","0.19999999999998863","-0.05000000000001137","-0.04000000000000625","0.005000000000009663","0.0","-0.0049999999999954525"
"Basic Science","-0.26500000000000057","-0.029999999999986926","-0.08499999999997954","-0.024999999999991473","0.005000000000009663","0.0","0.0","0.0"
"Basic Science Lab","0.09499999999999886","-0.040000000000020464","-0.005000000000009663","-0.04999999999999716","-0.009999999999990905","0.0","0.0","0.0"
"ENGL 219","0.0","0.0","-0.4450000000000216","-0.28000000000001535","-0.07000000000000739","-0.030000000000001137","-0.005000000000009663","0.0"
"ECON 105","0.0","3.025000000000002","18.58","4.089999999999989","0.9200000000000017","0.2300000000000182","0.06499999999998352","0.014999999999986358"
"ECE 206L","0.0","0.0","0.0","-0.12999999999999545","-0.044999999999973284","0.10999999999998522","-0.0350000000000108","-0.05500000000000682"
"ECE 300","0.0","0.0","0.8049999999999997","0.11499999999999488","-2.842170943040401e-14","0.03499999999996817","-0.025000000000005684","-0.025000000000005684"
"ECE 213","0.0","0.0","0.0","0.09499999999998465","0.22499999999999432","0.060000000000030695","-0.030000000000001137","-0.05499999999999261"
"MATH 264","0.0","0.0","0.10500000000000753","0.6299999999999955","0.12000000000003297","-0.0350000000000108","-0.1349999999999909","-0.05500000000000682"
"ECE 330","0.0","0.0","-0.4200000000000017","1.3799999999999955","-0.049999999999968736","-0.025000000000019895","-0.010000000000005116","-0.0049999999999954525"
"ECE 321L","0.0","0.0","0.0","0.0","0.21999999999999176","0.3149999999999693","0.08499999999999375","-0.0049999999999954525"
"MATH 327","0.0","0.0","-0.01000000000000012","2.3000000000000043","0.7999999999999972","0.1899999999999693","0.07499999999997442","-0.06499999999999773"
"ECE 314","0.0","0.0","0.0","0.0","0.45000000000000284","0.3650000000000091","0.10999999999999943","-0.025000000000019895"
"ECE 340","0.0","0.0","0.0","4.130000000000003","0.7550000000000239","-0.07999999999998408","-0.009999999999990905","-0.014999999999972147"
"Second Language","0.0","0.0","0.975000000000005","5.414999999999999","2.0749999999999886","0.14999999999996305","0.014999999999986358","-0.014999999999972147"
"ECE 335","0.0","0.0","0.0","1.7700000000000031","3.159999999999968","0.01999999999998181","-0.020000000000010232","-0.010000000000005116"
"ECE 331","0.0","0.0","0.0","0.0","4.889999999999986","0.9899999999999807","0.25","0.07999999999996987"
"ECE 344L","0.0","0.0","0.0","0.0","0.0","0.5799999999999841","-0.005000000000023874","0.2699999999999818"
"Social Sciences","0.0","0.0","0.07999999999999996","0.7799999999999976","4.825000000000003","1.6549999999999727","0.26499999999997215","0.01500000000001478"
"ECE 419","0.0","0.0","0.0","1.004999999999999","2.5150000000000077","3.5050000000000097","0.07000000000000739","0.0049999999999954525"
"ECE 437","0.0","0.0","0.0","0.785000000000001","1.084999999999999","5.310000000000002","0.535000000000025","-0.010000000000005116"
"ECE 435","0.0","0.0","0.0","0.0","0.15499999999999986","5.225000000000001","0.7999999999999972","0.09999999999999432"
"Tech Elective","0.0","0.0","0.0","0.3450000000000001","0.6299999999999999","2.9350000000000023","1.515000000000029","0.18000000000000682"
"Humanities","0.0","0.0","0.0","-0.010000000000000002","0.1999999999999993","0.8950000000000031","2.579999999999984","0.539999999999992"
"ECE 420","0.0","0.0","0.0","0.0","0.41999999999999993","0.34000000000000075","4.615000000000009","0.2599999999999909"
"ECE 440","0.0","0.0","0.0","0.0","0.2849999999999998","0.4500000000000002","3.9850000000000136","0.6599999999999824"
"Tech Elective","0.0","0.0","0.0","0.0","0.020000000000000018","0.3450000000000004","3.414999999999999","0.8549999999999898"
"Fine Arts","0.0","0.0","0.0","0.0","0.0","0.17499999999999993","3.100000000000005","2.2800000000000153"
"Humanities","0.0","0.0","0.0","0.0","0.0","0.14","1.1800000000000006","2.3799999999999955"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.5849999999999991","2.385000000000005"
