"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"ENGL 110","9.840000000000003","0.9749999999999943","0.1449999999999818","0.0","0.0","0.0","0.0","0.0"
"MATH 162","-0.17499999999999716","0.16499999999997783","-0.0999999999999659","-0.10999999999998522","-0.04999999999998295","-0.010000000000019327","-0.0049999999999954525","-0.0049999999999954525"
"ECE 101","0.32500000000000284","-0.029999999999986926","0.0","0.0","0.0","0.0","0.0","0.0"
"ECE 131","0.3200000000000074","0.01500000000001478","-0.03999999999999204","0.0","0.010000000000005116","0.0","0.0","0.0"
"PHYC 160","0.1349999999999909","-0.14499999999999602","-0.1600000000000108","-0.044999999999987494","-0.029999999999986926","-0.005000000000009663","0.0","0.0"
"ENGL 120","0.0","8.700000000000003","1.555000000000021","0.23500000000001364","0.010000000000005116","0.0","0.0","0.0"
"MATH 163","0.0","-0.5350000000000108","0.17500000000001137","-0.04000000000000625","-0.20999999999997954","-0.14500000000001023","-0.005000000000009663","-0.005000000000009663"
"PHYC 161","0.0","0.3400000000000176","-0.17499999999999716","-0.07999999999998408","-0.015000000000000568","-0.01999999999999602","-0.025000000000005684","0.0"
"PHYC 161L","0.0","0.16500000000000625","-0.06499999999999773","-0.18500000000000227","-0.04000000000000625","-0.024999999999991473","-0.005000000000009663","0.0"
"ECE 231","0.0","0.19499999999999318","-0.030000000000001137","0.010000000000019327","0.024999999999991473","0.010000000000005116","0.0","0.0"
"ECE 203","0.0","0.0","3.6850000000000023","1.3399999999999892","0.29000000000000625","-0.125","-0.19000000000001194","-0.004999999999967031"
"ECE 238L","0.0","0.535000000000025","0.10000000000000853","-0.0049999999999954525","0.015000000000000568","0.01999999999999602","0.010000000000005116","0.0"
"Basic Science","-0.2799999999999869","-0.24499999999997613","-0.045000000000015916","-0.009999999999976694","0.005000000000009663","0.0","0.0","0.0"
"Basic Science Lab","0.3200000000000216","0.025000000000019895","0.0049999999999954525","-0.044999999999987494","-0.010000000000005116","0.0","0.0","0.0"
"ENGL 219","0.0","0.0","7.80499999999995","2.07499999999996","0.3249999999999744","0.025000000000005684","0.0","0.0"
"ECON 105","0.0","-0.125","0.1799999999999926","-0.18999999999999773","-0.01500000000001478","0.01500000000001478","0.009999999999990905","0.0049999999999954525"
"ECE 206L","0.0","0.0","0.0","3.740000000000009","1.3000000000000256","0.3049999999999926","-0.12499999999998579","-0.19000000000001194"
"ECE 300","0.0","0.0","-1.1600000000000037","-0.27000000000001023","-0.09500000000002728","-0.17000000000003013","-0.140000000000029","-1.4210854715202004e-14"
"ECE 213","0.0","0.0","0.0","3.6199999999999903","1.5100000000000051","0.32500000000003126","-0.10499999999997556","-0.18000000000000682"
"MATH 264","0.0","0.0","-1.4649999999999999","0.044999999999987494","-0.06499999999998352","-0.2950000000000159","-0.17500000000001137","-0.014999999999986358"
"ECE 330","0.0","0.0","-1.750000000000007","-0.2149999999999892","0.005000000000038085","0.024999999999991473","0.010000000000005116","0.0"
"ECE 321L","0.0","0.0","0.0","0.0","3.5649999999999977","1.5449999999999733","0.4399999999999977","-0.06499999999999773"
"MATH 327","0.0","0.0","-0.08000000000000018","-0.11499999999999488","0.4049999999999869","-0.05500000000002103","-0.040000000000034674","-0.03499999999999659"
"ECE 314","0.0","0.0","0.0","0.0","2.905000000000001","1.5200000000000244","0.34499999999999886","-0.05499999999999261"
"ECE 340","0.0","0.0","0.0","-0.4399999999999977","0.005000000000023874","-0.26500000000000057","-0.22999999999998977","-0.1349999999999767"
"Second Language","0.0","0.0","0.730000000000004","-0.16500000000000625","-0.6200000000000045","-0.005000000000009663","0.005000000000009663","-0.005000000000009663"
"ECE 335","0.0","0.0","0.0","-1.1899999999999977","-0.4000000000000199","0.015000000000000568","0.030000000000001137","0.010000000000005116"
"ECE 331","0.0","0.0","0.0","0.0","-0.4550000000000125","0.5","0.024999999999991473","0.0049999999999954525"
"ECE 344L","0.0","0.0","0.0","0.0","0.0","3.5450000000000017","1.5","0.7149999999999892"
"Social Sciences","0.0","0.0","-0.05499999999999999","-0.2749999999999968","-0.8000000000000043","-0.4650000000000176","-0.10000000000000853","-0.03499999999999659"
"ECE 419","0.0","0.0","0.0","0.28499999999999837","-2.1700000000000017","-0.28000000000000114","0.020000000000010232","0.0049999999999954525"
"ECE 437","0.0","0.0","0.0","0.5199999999999996","-0.9049999999999976","-0.06999999999999318","0.2750000000000199","-0.005000000000009663"
"ECE 435","0.0","0.0","0.0","0.0","-0.17000000000000004","-0.7449999999999974","0.17499999999999716","-0.025000000000005684"
"Tech Elective","0.0","0.0","0.0","0.20499999999999996","0.3849999999999998","-1.3299999999999912","-0.17499999999998295","-0.23499999999998522"
"Humanities","0.0","0.0","0.0","-0.010000000000000002","0.16499999999999915","-0.7799999999999994","0.9200000000000159","0.22999999999998977"
"ECE 420","0.0","0.0","0.0","0.0","0.355","-0.34999999999999876","0.6550000000000153","0.09499999999998465"
"ECE 440","0.0","0.0","0.0","0.0","0.21499999999999952","0.04500000000000037","1.0649999999999977","0.2849999999999824"
"Tech Elective","0.0","0.0","0.0","0.0","-0.0049999999999999975","0.31499999999999995","0.14000000000000057","0.18999999999998352"
"Fine Arts","0.0","0.0","0.0","0.0","0.0","0.4099999999999998","0.730000000000004","1.3200000000000216"
"Humanities","0.0","0.0","0.0","0.0","0.0","0.27","0.22000000000000064","0.6149999999999949"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.20499999999999963","1.1550000000000082"
